idannonce,url_annonce,idagence,idtiers,idPublication,type_annonceur,categorie_annonceur,typedebien,naturebien,typedetransaction,codepostal,codeinsee,ville,idQuartier,nomQuartier,adresse,etage,nb_etages,surface,surface_terrain,nb_chambres,nb_pieces,idtypechauffage,chauffage_energie,chauffage_systeme,chauffage_mode,idtypecommerce,idtypecuisine,prix_bien,prix_maison,prix_terrain,mensualiteFinance,si_balcon,si_sdbain,si_sdEau,balcon,surface_balcon,eau,bain,dpeL,dpeC,mapBoundingboxNortheastLatitude,mapBoundingboxNortheastLongitude,mapBoundingboxSouthwestLatitude,mapBoundingboxSouthwestLongitude,mapCoordonneesLatitude,mapCoordonneesLongitude,mapPoly,logoAgence,nomAgence,urlAgence,telNumber,nom_promoteur,nom_programme,nb_photos,date_first_observation,ges_valeur,ges_class,annee_construction,parking,places_parking,cave,exposition,nb_toilettes,nb_terraces,porte_digicode,ascenseur,logement_neuf,nb_logements_copro,charges_copro,visite_virtuelle,piscine,prix_m_carre,annonce_exclusive,nom_du_reseau
immo-facile-adresse-10892397,,,,7777,Pro,Agence,Maison/Villa,,Vente,85000,85155,Mouilleron-le-Captif,,Mouilleron-le-Captif,,,,138,909,3,4,mixte individuel ,,,Individuel,,,420000,,,,,,,,,,1.0,A,32,,,,,46.71265672319576,-1.4614177429825643,,,,,,,,10,2020-01-22 20:19:29.192350,1,A,2018.0,,,,,1,,,,Non,,,NA,,3043.478260869565,Oui,L'ADRESSE
immo-facile-35028002,,,,1611,Pro,Agence,Maison/Villa,,Vente,85800,85088,Le Fenouiller,,Le Fenouiller,,,,137.89,1001,4,5,radiateur gaz individuel ,Gaz,Radiateur,Individuel,,,339440,,,,,,,,,,1.0,C,96,,,,,46.722082451900015,-1.8931665242737046,,,,,,,,8,2020-01-22 20:19:29.192350,22,D,2006.0,,,,,1,,,,Non,,,NA,,2461.6723475233885,Oui,
immo-facile-adresse-10935030,,,,STS763,Pro,Agence,Maison/Villa,,Vente,85260,85108,L'Herbergement,,L'Herbergement,,,1,137,1000,4,5,radiateur individuel ,,Radiateur,Individuel,,,230000,,,,,,,1.0,,1,1.0,C,106,,,,,46.913037337493705,-1.3730708199897257,,,,,,,,12,2020-01-22 20:19:29.192350,6,B,1951.0,,1,,Nord,2,1.0,FALSE,,Non,,,NA,Non,1678.8321167883212,Oui,L'ADRESSE
square-habitat-882A998A-05DE-4CDE-A241-A07A4D6BDB93,,,,BL-54516-SB-1790,Pro,Agence,Maison/Villa,,Vente,85000,85191,La Roche-sur-Yon,,VallÃ©e Verte - LibertÃ©,,,,138,248,6,7,Ã©lectrique individuel ,Ã‰lectrique,,Individuel,,,187900,,,,,,,,,1,1.0,C,144,,,,,46.66012742915119,-1.4360608577772185,,,,,,,,8,2020-01-22 20:19:29.192350,3,A,,,1,FALSE,Sud,2,1.0,FALSE,,Non,,,NA,Non,1282.608695652174,Oui,Square Habitat CrÃ©dit Agricole
immo-facile-adresse-10502069,,,,6863,Pro,Agence,Maison/Villa,,Vente,85300,85047,Challans,,Centre-ville,,,,132.63,891,3,4,gaz ,Gaz,,,,,316900,,,,,,,,,,,C,128,,,,,46.84236182035095,-1.873777787032042,,,,,,,,9,2020-01-22 20:19:29.192350,30,D,1977.0,,,,,,,,,Non,,,NA,,2261.931689662972,Oui,L'ADRESSE
immo-facile-adresse-10879348,,,,1048,Pro,Agence,Maison/Villa,,Vente,85550,85012,La Barre-de-Monts,,La Barre-de-Monts,,,,140,586,3,4,radiateur Ã©lectrique individuel ,Ã‰lectrique,Radiateur,Individuel,,,248250,,,,,,,1.0,,2,,F,341,,,,,46.88894299511026,-2.140613779378412,,,,,,,,11,2020-01-22 20:19:29.192350,21,D,1960.0,,,,,2,,FALSE,,Non,,,NA,Non,1773.2142857142858,Oui,L'ADRESSE
immo-facile-33502425,,,,1325-2,Pro,Agence,Maison/Villa,,Vente,85800,85222,Saint-Gilles-Croix-de-Vie,,Saint-Gilles-Croix-de-Vie,,,,135.88,507,3,5,radiateur gaz individuel ,Gaz,Radiateur,Individuel,,,368000,,,,,,,,,1,,C,141,,,,,46.69356334494477,-1.9102087412427622,,,,,,,,11,2020-01-22 20:19:29.192350,33,D,2002.0,,,,,2,,,,Non,,,NA,,2708.2720047100383,Oui,
immo-facile-adresse-10755384,,,,1586ES,Pro,Agence,Maison/Villa,,Vente,85630,85011,BarbÃ¢tre,,BarbÃ¢tre,,,,140,447,5,7,radiateur fuel individuel ,Fioul,Radiateur,Individuel,,,471800,,,,,,,,,2,,C,129,,,,,46.931466287939365,-2.1717034877322754,,,,,,,,5,2020-01-22 20:19:29.192350,30,D,1975.0,,,,,2,,,,Non,,,Oui,Oui,3214.285714285714,Oui,L'ADRESSE
immo-facile-adresse-10752537,,,,4117,Pro,Agence,Maison/Villa,,Vente,85560,85127,Longeville-sur-Mer,,Longeville-sur-Mer,,,,140,1084,5,7,radiateur gaz individuel ,Gaz,Radiateur,Individuel,,,315900,,,,,,,,,2,,VI,,,,,,46.393242711081946,-1.483283592507535,,,,,,,,18,2020-01-22 20:19:29.192350,,VI,,,,,,2,,,,Non,,,NA,,2256.4285714285716,Oui,L'ADRESSE
hektor-achetezvendeeim-409,,,,1279V,Pro,Agence,Maison/Villa,,Vente,85210,85223,Sainte-Hermine,,Sainte-Hermine,,,2,131.94,214,4,7,radiateur fuel ,Fioul,Radiateur,,,,55640,,,,,,,,,1,,E,239,,,,,46.55700392036697,-1.0583375219171456,,,,,,,,10,2020-01-22 20:19:29.192350,71,F,1900.0,,,FALSE,,2,,,,Non,,,NA,Non,394.1185387297256,Oui,Av Immo Achetez VendÃ©e Immobilier
