idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
hektor-accasa-267;pr;m;l;0;97;4600.0;4;1200;;;0;0;2;0;D;232;41.51445;9.15887;0;3.0;;3.0;;Nord-Est;B;2010.0;2.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;8.0;m;2025-11;2A114;0000;2A1140000;Z;Z;2A11400;2A000;94;2A
hektor-alphagest-2155;pr;a;l;6;55;;2;850;;;0;0;1;0;NS;;41.95027;8.79365;0;;;;False;0;NS;2025.0;;1.0;;;;True;;;;;Individuel;a;n;;a;2025-11;2A271;0000;2A2710000;Z;Z;2A27100;2A000;94;2A
ladresse-1-adresse-14207844;pr;a;l;4;45;;2;770;;;0;0;1;0;A;;41.95126;8.79018;0;7.0;;1.0;;0;VI;2025.0;1.0;1.0;;True;;True;;;;Pompe à chaleur;Individuel;a;n;;a;2025-11;2A271;0000;2A2710000;Z;Z;2A27100;2A000;94;2A
immo-facile-59129531;pr;a;l;0;30;;1;630;;;0;0;0;1;C;122;41.95027;8.79344;0;7.0;;1.0;False;0;A;;1.0;;;True;;True;;;;;Individuel;a;n;;a;2025-11;2A271;0000;2A2710000;Z;Z;2A27100;2A000;94;2A
immo-facile-59347506;pr;a;l;4;30;;1;640;;;0;0;1;0;NS;;42.02408;8.8379;0;7.0;;;;0;VI;;1.0;1.0;;True;;True;;;;;Individuel;a;n;;a;2025-11;2A271;0000;2A2710000;Z;Z;2A27100;2A000;94;2A
immo-facile-59472623;pr;a;l;1;68;;3;1050;;;0;0;1;0;NS;;41.9507;8.79297;0;7.0;;2.0;;0;VI;;1.0;1.0;;True;;True;;;;;Individuel;a;n;;a;2025-11;2A271;0000;2A2710000;Z;Z;2A27100;2A000;94;2A
immo-facile-59461017;pr;a;l;5;47;;2;780;;;0;0;1;0;NS;;41.95508;8.79667;0;7.0;;;;0;VI;;1.0;;;True;;True;;;;;;a;n;6.0;a;2025-11;2A271;0000;2A2710000;Z;Z;2A27100;2A000;94;2A
century-21-202_3164_5319;pr;a;l;2;40;;2;880;;;0;0;1;0;NS;;41.93765;8.73503;0;8.0;;1.0;;0;;;1.0;0.0;;False;;True;;;Électrique;Climatisation révérsible;Individuel;a;n;;a;2025-11;2A004;0602;2A0040602;H;H;2A00401;2A501;94;2A
netty-company34713mnf-appt-7060;pr;a;l;0;64;;3;934;;;0;1;0;1;D;186;41.93801;8.74435;0;;;;;0;D;;;1.0;;;4.0;True;;;Gaz;;;a;n;;a;2025-11;2A004;0602;2A0040602;H;H;2A00401;2A501;94;2A
ag200149-497712260;pr;a;l;2;73;;3;990;;;0;0;1;0;C;121;41.93318;8.7401;0;;;;False;sud-ouest;A;;;;;False;;False;;;;Pompe à chaleur;Individuel;a;n;;a;2025-11;2A004;0602;2A0040602;H;H;2A00401;2A501;94;2A
ag200149-499761335;pr;a;l;5;44;;2;666;;;0;1;1;0;C;126;41.91951;8.73784;0;7.0;;;False;Sud;A;;;;;True;;False;;;Électrique;;Individuel;a;n;;a;2025-11;2A004;0202;2A0040202;H;H;2A00401;2A501;94;2A
ag200050-498136481;pr;a;l;6;98;;2;1761;;;0;0;1;0;E;290;41.91764;8.73736;0;;;;False;0;C;;;;;;;True;;;;;;a;n;;a;2025-11;2A004;0202;2A0040202;H;H;2A00401;2A501;94;2A
century-21-202_3164_5298;pr;a;l;4;35;;2;900;;;0;0;1;0;C;136;41.91804;8.7394;0;5.0;;0.0;;0;A;;1.0;0.0;;False;;False;;;Électrique;Climatisation révérsible;Individuel;a;n;;a;2025-11;2A004;0202;2A0040202;H;H;2A00401;2A501;94;2A
century-21-202_3164_5284;pr;a;l;2;21;;1;650;;;0;0;0;1;NS;;41.91812;8.74008;0;3.0;;0.0;;0;;;1.0;0.0;;False;;False;;;Électrique;Climatisation révérsible;Individuel;a;n;;a;2025-11;2A004;0202;2A0040202;H;H;2A00401;2A501;94;2A
ag200149-496022990;pr;a;l;1;44;;2;764;;;0;0;0;0;D;199;41.91987;8.73507;0;;;;False;0;B;;;;;True;;False;;;Électrique;;Individuel;a;n;;a;2025-11;2A004;0202;2A0040202;H;H;2A00401;2A501;94;2A
hektor-TERRAAJACCIO2021-2511;pr;a;l;1;27;;1;650;;;0;0;1;0;C;142;41.94029;8.75903;0;;;;;Sud;A;1979.0;1.0;;;;;;;;;;;a;n;6.0;a;2025-11;2A004;0803;2A0040803;H;H;2A00401;2A501;94;2A
immo-facile-59505908;pr;a;l;-1;82;;3;1174;;;0;0;1;0;A;46;41.93749;8.76033;0;2.0;;;;0;A;2024.0;1.0;;;;;False;;;;;Individuel;a;n;7.0;a;2025-11;2A004;0803;2A0040803;H;H;2A00401;2A501;94;2A
century-21-202_3164_5330;pr;a;l;4;50;;2;850;;;0;0;0;1;NS;;41.9096;8.71396;0;6.0;;0.0;;0;;2000.0;1.0;1.0;;False;;True;;;Électrique;Radiateur;Individuel;a;n;;a;2025-11;2A004;0401;2A0040401;H;H;2A00401;2A501;94;2A
ag200077-497317673;pr;a;l;1;28;;1;620;;;0;0;1;0;D;162;41.91297;8.72068;0;13.0;;;;0;A;;1.0;;;;;True;;;Électrique;;Individuel;a;n;;a;2025-11;2A004;0401;2A0040401;H;H;2A00401;2A501;94;2A
ag200077-495815063;pr;a;l;2;30;;2;720;;;0;1;1;0;F;371;41.912;8.7198;0;;;;;0;C;;1.0;;;;;False;;;Électrique;;Individuel;a;n;;a;2025-11;2A004;0401;2A0040401;H;H;2A00401;2A501;94;2A
hektor-TERRAAJACCIO2021-2508;pr;a;l;0;54;;2;760;;;0;0;0;1;A;57;41.91031;8.71632;0;;;;;Nord-Est;A;2019.0;1.0;1.0;;;;;;;;;Individuel;a;n;8.0;a;2025-11;2A004;0401;2A0040401;H;H;2A00401;2A501;94;2A
ag200149-500310116;pr;a;l;3;64;;3;780;;;0;1;2;0;E;329;41.93499;8.74135;0;;;;False;0;B;;;;;True;;False;;;;;;a;n;;a;2025-11;2A004;0601;2A0040601;H;H;2A00401;2A501;94;2A
ag200149-499335881;pr;a;l;1;56;;3;930;;;0;1;1;0;B;76;41.93572;8.74335;0;6.0;;;False;0;A;;;;;True;;False;;;Électrique;;Individuel;a;n;6.0;a;2025-11;2A004;0703;2A0040703;H;H;2A00401;2A501;94;2A
hektor-stg-immo_2A-87;pr;a;l;1;44;;2;740;;;0;0;1;0;B;53.9;41.94395;8.7514;0;;;1.0;;0;A;2019.0;1.0;;;;;True;;;Électrique;Radiateur;Individuel;a;n;;a;2025-11;2A004;0903;2A0040903;H;H;2A00401;2A501;94;2A
ag200077-497266154;pr;a;l;3;48;;2;830;;;0;0;1;0;B;92;41.94644;8.73837;0;;;1.0;;0;A;;1.0;;;True;;True;;;;;Individuel;a;n;;a;2025-11;2A004;0903;2A0040903;H;H;2A00401;2A501;94;2A
ifsp6a-4745094;pr;a;l;0;38;;2;790;;;0;0;1;0;E;318;41.94713;8.76248;0;2.0;;1.0;;Sud;B;;1.0;;;;;False;;;Électrique;;Individuel;a;n;20.0;a;2025-11;2A004;0903;2A0040903;H;H;2A00401;2A501;94;2A
ag200050-496325099;pr;a;l;1;29;;1;605;;;0;0;1;0;A;45;41.94406;8.75244;0;;;1.0;False;sud-est;A;;;;;;;True;;;;;;a;n;8.0;a;2025-11;2A004;0903;2A0040903;H;H;2A00401;2A501;94;2A
ag200149-499689923;pr;a;l;3;29;;1;446;;;0;0;1;0;A;58;41.93188;8.73442;0;5.0;;;False;0;A;;;;;True;;True;;;;Pompe à chaleur;Individuel;a;n;6.0;a;2025-11;2A004;0501;2A0040501;H;H;2A00401;2A501;94;2A
ag200050-498605006;pr;a;l;3;72;;3;1120;;;0;0;0;1;A;43;41.93198;8.73448;0;7.0;;1.0;False;0;A;;1.0;;;;;True;;;;;;a;n;;a;2025-11;2A004;0501;2A0040501;H;H;2A00401;2A501;94;2A
immo-facile-59493065;pr;m;l;0;63;;3;1030;;;0;0;1;0;NS;;41.92522;8.73755;0;6.0;;;;0;VI;;1.0;;;;;;;;;;Individuel;a;n;;m;2025-11;2A004;0103;2A0040103;H;H;2A00401;2A501;94;2A
ag200077-497491670;pr;a;l;0;33;157.0;2;1190;;;0;0;1;0;C;167;41.92345;8.73726;0;;;;;0;A;;1.0;;;;;False;;;;;Individuel;a;n;;a;2025-11;2A004;0103;2A0040103;H;H;2A00401;2A501;94;2A
ag200077-497491676;pr;a;l;4;21;;2;850;;;0;0;1;0;C;130;41.92345;8.73726;0;5.0;;;;0;A;;1.0;;;;;False;;;;;Individuel;a;n;;a;2025-11;2A004;0103;2A0040103;H;H;2A00401;2A501;94;2A
ag200050-497468210;pr;a;l;0;48;;2;780;;;0;0;1;0;F;342;41.9264;8.7376;0;;;;;0;C;;1.0;;;;;;;;;;;a;n;14.0;a;2025-11;2A004;0103;2A0040103;H;H;2A00401;2A501;94;2A
hektor-TERRAAJACCIO2021-2506;pr;a;l;0;42;;2;750;;;0;1;0;1;NS;;41.92433;8.73768;0;;;;;Est-Ouest;NS;;1.0;;;;5.0;False;;;;;Individuel;a;n;;a;2025-11;2A004;0103;2A0040103;H;H;2A00401;2A501;94;2A
immo-facile-59578250;pr;a;l;1;55;;3;990;;;0;0;2;0;NS;;41.92329;8.7385;0;5.0;;;;0;VI;;;;;True;;False;;;;;Individuel;a;n;;a;2025-11;2A004;0103;2A0040103;H;H;2A00401;2A501;94;2A
ag200149-499593548;pr;a;l;1;75;;3;935;;;0;1;0;1;D;187;41.92493;8.73401;0;9.0;;;False;0;A;;;;;True;;True;;;Électrique;;Individuel;a;n;;a;2025-11;2A004;0103;2A0040103;H;H;2A00401;2A501;94;2A
guy-hoquet-immo-facile-7424851;pr;a;l;3;49;;2;800;;;0;0;0;0;NS;;41.92776;8.73819;0;6.0;;;;0;VI;;;;;;;;;;;;;a;n;;a;2025-11;2A004;0101;2A0040101;H;H;2A00401;2A501;94;2A
ag200050-500343278;pr;a;l;1;66;;3;761;;;0;1;1;0;D;241;41.93014;8.73865;0;;;;False;0;B;;1.0;;;;;False;;;;;;a;n;;a;2025-11;2A004;0102;2A0040102;H;H;2A00401;2A501;94;2A
hektor-stg-immo_2A-908;pr;a;l;0;72;;3;1130;;;0;0;0;0;C;143;41.93047;8.73846;0;;;;;0;A;;;;;;;;;;;;;a;n;;a;2025-11;2A004;0102;2A0040102;H;H;2A00401;2A501;94;2A
century-21-202_3164_5183;pr;a;l;5;101;;3;1190;;;0;0;0;1;NS;;41.9308;8.73557;0;9.0;;0.0;;0;;;1.0;0.0;;False;;True;;;Gaz;Radiateur;Individuel;a;n;7.0;a;2025-11;2A004;0102;2A0040102;H;H;2A00401;2A501;94;2A
ifsp6a-5073205;pr;a;l;5;47;;2;750;;;0;0;0;1;D;221;41.92984;8.73625;0;8.0;;;;0;B;1948.0;1.0;1.0;;True;;False;;;;Pompe à chaleur;Individuel;a;n;;a;2025-11;2A004;0102;2A0040102;H;H;2A00401;2A501;94;2A
century-21-202_3164_5320;pr;a;l;0;30;;1;700;;;0;0;1;0;D;;41.91674;8.72853;0;;;0.0;;0;B;;1.0;0.0;;False;;True;;;Électrique;Climatisation révérsible;Individuel;a;n;;a;2025-11;2A004;0302;2A0040302;H;H;2A00401;2A501;94;2A
ag200077-499153628;pr;a;l;1;33;;2;850;;;0;0;1;0;C;163;41.91319;8.72784;0;;;;;0;A;;1.0;;;;;False;;;;;Individuel;a;n;;a;2025-11;2A004;0302;2A0040302;H;H;2A00401;2A501;94;2A
ag200077-495815066;pr;a;l;3;85;;3;1396;;;0;0;1;0;B;70;41.91353;8.7277;0;6.0;;1.0;;0;A;;1.0;;;True;;True;;;;;Individuel;a;n;21.0;a;2025-11;2A004;0302;2A0040302;H;H;2A00401;2A501;94;2A
