type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG
pr;m;l;0;89;300.0;3;705;;;0;0;0;1;D;224;47.47161;0.61025;0;;;2.0;;0;C;;;;;;;;;;;;Individuel;a;n;m;2020-08;37059;0000;370590000;Z;37;24.0
pr;m;l;0;75;;4;700;;;0;0;0;0;0;;47.08037;0.45413;Non;;;;;0;;;;;;;;;;;;;;a;;m;2020-08;37071;0000;370710000;Z;37;24.0
pr;m;l;0;85;;3;600;;;0;0;0;0;0;;47.18426;1.11559;Non;;;;;0;;;;;;;;;;;;;;a;;m;2020-08;37111;0000;371110000;Z;37;24.0
pr;a;l;0;113;;4;1000;;;0;0;0;0;C;141;47.38426;0.68919;Oui;;;;;0;D;;;;;;;;;;;;;a;;a;2020-08;37261;0204;372610204;H;37;24.0
pr;a;l;0;59;;2;480;;;0;0;1;0;D;224.0;47.38406;0.69053;0;1.0;;;;0;E;1950.0;1.0;1.0;;;;;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;37261;0204;372610204;H;37;24.0
pr;a;l;3;17;;1;348;;;0;0;0;1;E;304;47.38327;0.6898;0;3.0;;1.0;;0;F;;;;;;;True;;;;;Collectif;a;n;a;2020-08;37261;0204;372610204;H;37;24.0
pr;a;l;1;113;;4;1050;;;0;0;0;1;E;231;47.38426;0.68919;0;2.0;;1.0;;0;E;;;;;;;;;;;;Individuel;a;n;a;2020-08;37261;0204;372610204;H;37;24.0
pr;a;l;2;51;;3;580;;;0;1;0;1;D;215.7;47.38388;0.66487;0;5.0;;;True;0;E;;;;;False;;True;;;Gaz;;Collectif;a;n;a;2020-08;37195;0103;371950103;H;37;24.0
pr;a;l;0;38;;1;400;;;0;0;0;0;B;56;47.38655;0.66591;Oui;;;;;0;C;;;;;;;;;;;;;a;;a;2020-08;37195;0103;371950103;H;37;24.0
pr;a;l;0;90;;4;600;;;0;0;0;0;G;451;47.28079;0.22854;Non;;;;;0;G;;;;;;;;;;;;;a;;a;2020-08;37193;0000;371930000;Z;37;24.0
pr;a;l;0;66;;3;800;;;0;0;0;0;0;;47.36726;0.70504;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-08;37261;2102;372612102;H;37;24.0
pr;a;l;0;50;;2;500;;;0;0;0;0;A;15;47.56894;0.89542;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-08;37276;0000;372760000;Z;37;24.0
pr;a;l;0;62;;3;600;;;0;0;0;0;C;126;47.41601;0.66366;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-08;37214;0106;372140106;A;37;24.0
pr;a;l;0;50;;2;600;;;0;0;0;0;D;230;47.38909;0.70184;Oui;;;;;0;E;;;;;;;;;;;;;a;;a;2020-08;37261;1002;372611002;H;37;24.0
pr;a;l;2;29;;2;399;;;0;0;0;1;D;184.0;47.39134;0.70191;0;2.0;;;;0;B;;;;;;;;;;;;Individuel;a;n;a;2020-08;37261;1002;372611002;H;37;24.0
pr;m;l;0;61;;3;600;;;0;0;0;0;0;;47.45932;0.7042;Non;;;;;0;;;;;;;;;;;;;;a;;m;2020-08;37172;0000;371720000;Z;37;24.0
pr;m;l;0;112;;4;1100;;;0;0;0;0;0;;47.4464;0.49733;Oui;;;;;0;;;;;;;;;;;;;;a;;m;2020-08;37182;0000;371820000;Z;37;24.0
pr;a;l;0;73;;3;800;;;0;0;0;0;A;48;47.37416;0.69638;Non;;;;;0;C;;;;;;;;;;;;;a;;a;2020-08;37261;1202;372611202;H;37;24.0
pr;a;l;2;45;;2;536;;;0;1;1;0;A;49;47.37451;0.69776;0;;;1.0;;0;C;;;0.0;;;;True;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;37261;1202;372611202;H;37;24.0
pr;a;l;4;32;;1;630;;;0;0;1;0;C;131.0;47.37443;0.69626;0;7.0;;0.0;;0;A;;;0.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37261;1202;372611202;H;37;24.0
pr;a;l;5;22;;1;529;;;0;0;1;0;C;120;47.37443;0.69626;0;7.0;;0.0;;Sud;A;;;0.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37261;1202;372611202;H;37;24.0
pr;a;l;2;21;;1;362;;;0;0;1;0;D;213;47.38777;0.6971;0;;;1.0;;0;B;;;0.0;;;;True;;;Électrique;Radiateur;Individuel;a;n;a;2020-08;37261;1101;372611101;H;37;24.0
pr;a;l;1;14;;1;395;;;0;0;1;0;E;291;47.38561;0.69588;0;;;0.0;;0;C;;;0.0;;;;False;;;;Radiateur;Collectif;a;n;a;2020-08;37261;1101;372611101;H;37;24.0
pr;a;l;2;61;;3;805;;;0;1;0;1;E;249;47.38477;0.70057;0;;;1.0;;Est;C;;;0.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37261;1101;372611101;H;37;24.0
pr;m;l;0;83;;4;1015;;;0;0;0;1;VI;;47.43335;0.67786;0;0.0;;0.0;False;0;VI;;;0.0;;;;;;;Électrique;;Individuel;a;n;m;2020-08;37261;1801;372611801;H;37;24.0
pr;m;l;0;47;105.0;2;410;;;0;0;0;1;0;;47.66327;0.75428;0;;;2.0;;0;;;;;;;;;;;;;Individuel;a;n;m;2020-08;37116;0000;371160000;Z;37;24.0
pr;m;l;0;93;;4;843;;;0;0;0;1;C;106;47.34789;0.62389;0;1.0;;1.0;False;0;D;;;0.0;;;;;;;Gaz;Radiateur;Individuel;a;n;m;2020-08;37018;0103;370180103;H;37;24.0
pr;a;l;1;63;;3;695;;;0;1;1;0;A;47;47.35978;0.73584;0;2.0;;2.0;;Sud-Ouest;C;;;0.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37208;0104;372080104;H;37;24.0
pr;a;l;0;73;;3;710;;;0;0;0;1;VI;;47.38802;0.83656;0;;;1.0;;0;VI;;;1.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37156;0103;371560103;H;37;24.0
pr;a;l;2;50;;2;523;;;0;1;0;1;0;;47.40746;0.98408;0;;;1.0;;0;;;;0.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37003;0102;370030102;H;37;24.0
pr;a;l;2;74;;3;600;;;0;0;0;0;0;;47.32554;0.40589;0;;;;;0;;;;;;;;;;;;Convecteur;;a;n;a;2020-08;37123;0000;371230000;Z;37;24.0
pr;a;l;0;62;;2;649;;;0;1;0;0;D;;47.33623;0.61341;0;2.0;;1.0;;0;C;;;0.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37018;0102;370180102;H;37;24.0
pr;a;l;2;85;;4;897;;;0;1;0;1;0;;47.34186;0.61567;0;;;1.0;;0;;;;0.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37018;0102;370180102;H;37;24.0
pr;a;l;0;28;;1;430;;;0;0;1;0;E;294;47.38378;0.64881;0;2.0;;;;Nord-Sud;C;1970.0;1.0;;;;;False;;;Électrique;Radiateur;Collectif;a;n;a;2020-08;37195;0104;371950104;H;37;24.0
pr;m;l;0;167;600.0;6;1035;;;0;0;1;0;D;179;47.26968;0.58893;0;;;;False;Nord-Sud;B;2012.0;;2.0;;;;;;;Électrique;;Individuel;a;n;m;2020-08;37006;0000;370060000;Z;37;24.0
pr;a;l;1;60;;3;687;;;0;0;0;1;D;183;47.42785;0.68157;0;;;0.0;;0;E;;;0.0;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-08;37261;1701;372611701;H;37;24.0
pr;a;l;1;77;;4;670;;;0;1;1;0;0;;47.42622;0.68353;0;;;;;Est;;;;;;False;;False;;;;;;a;n;a;2020-08;37261;1701;372611701;H;37;24.0
pr;a;l;0;49;;2;565;;;0;1;1;0;B;55;47.41811;0.68586;0;;;1.0;;0;C;;;0.0;;;;True;;;Gaz;Radiateur;;a;n;a;2020-08;37261;1705;372611705;H;37;24.0
pr;a;l;7;45;;2;509;;;0;0;0;1;D;229.0;47.37778;0.68186;0;;;;;0;E;;;;;False;;False;;;Gaz;;Collectif;a;n;a;2020-08;37261;0801;372610801;H;37;24.0
pr;a;l;0;48;;2;565;;;0;0;0;1;E;313;47.36865;0.68384;0;;;1.0;;0;C;;;1.0;;;;False;;;Électrique;Radiateur;Individuel;a;n;a;2020-08;37261;2201;372612201;H;37;24.0
pr;a;l;2;43;;2;585;;;0;0;0;1;D;225;47.36927;0.68569;0;4.0;;1.0;;0;B;;;;;;;True;;;;;Individuel;a;n;a;2020-08;37261;2201;372612201;H;37;24.0
pr;a;l;0;59;;3;600;;;0;0;0;0;0;;47.37122;0.67843;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-08;37261;2201;372612201;H;37;24.0
pr;a;l;0;43;;2;500;;;0;0;0;0;D;225;47.36891;0.68507;Oui;;;;;0;B;;;;;;;;;;;;;a;;a;2020-08;37261;2201;372612201;H;37;24.0
pr;a;l;1;53;;3;700;;;0;1;0;1;F;436;47.36921;0.68591;0;;;1.0;;0;D;;;1.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37261;2201;372612201;H;37;24.0
pr;a;l;3;73;;3;760;;;0;0;0;1;E;252;47.36952;0.68408;0;3.0;;0.0;;0;C;;;2.0;;;;True;;;Électrique;Radiateur;Individuel;a;n;a;2020-08;37261;2201;372612201;H;37;24.0
pr;a;l;1;51;;2;590;;;0;0;0;1;D;210;47.3692;0.68307;0;3.0;;1.0;;0;B;;;;;;;True;;;;;Individuel;a;n;a;2020-08;37261;2201;372612201;H;37;24.0
pr;a;l;0;66;;3;600;;;0;0;0;0;A;37;47.43017;0.70268;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-08;37261;1802;372611802;H;37;24.0
pr;a;l;6;59;;3;660;;;0;0;0;0;0;;47.37113;0.67872;0;;;1.0;False;0;;2016.0;;;;False;;False;;;Gaz;;Collectif;a;n;a;2020-08;37261;2201;372612201;H;37;24.0
pr;a;l;1;42;;2;564;;;0;1;0;1;NS;;47.3675;0.68112;0;;;1.0;False;0;;;;;;;;True;;;Électrique;;Individuel;a;n;a;2020-08;37261;2201;372612201;H;37;24.0
pr;a;l;2;66;;3;682;;;0;1;0;1;A;37;47.43071;0.70316;0;;;1.0;False;0;B;2012.0;;;;False;6.0;False;;;;;;a;n;a;2020-08;37261;1802;372611802;H;37;24.0
pr;m;l;0;95;474.0;5;1100;;;0;0;0;1;B;;47.43383;0.69955;0;;;;;Est-Ouest;D;;2.0;1.0;;;;;;;Gaz;Radiateur;Individuel;a;n;m;2020-08;37261;1802;372611802;H;37;24.0
pr;a;l;0;67;;3;790;;;0;0;0;1;D;194;47.3681;0.68421;0;;;2.0;;0;B;;;1.0;;;;True;;;Électrique;Radiateur;Individuel;a;n;a;2020-08;37261;2201;372612201;H;37;24.0
pr;a;l;1;48;;2;628;;;0;0;1;0;C;148;47.36795;0.67899;0;5.0;;0.0;;0;D;;;1.0;;;;True;;;;Radiateur;Collectif;a;n;a;2020-08;37261;2201;372612201;H;37;24.0
pr;m;l;0;58;;3;610;;;0;0;1;0;D;174;47.1288;0.99643;0;1.0;;;True;0;B;;1.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-08;37132;0000;371320000;Z;37;24.0
pr;a;l;0;48;;2;422;;;0;0;0;1;D;203.0;47.11986;0.99909;0;;;1.0;;0;B;;;1.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37132;0000;371320000;Z;37;24.0
pr;a;l;2;63;;3;640;;;0;1;0;1;D;189;47.41715;0.70562;0;2.0;;1.0;;0;B;;;0.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;1;65;;3;740;;;0;1;0;1;C;96;47.41544;0.70999;0;2.0;;1.0;;0;D;2012.0;;0.0;;False;;False;;;Gaz;Radiateur, Chaudière;;a;n;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;2;55;;3;510;;;0;0;1;0;D;;47.12807;0.99825;0;;;;;0;VI;;1.0;;;;;;;;;;Individuel;a;n;a;2020-08;37132;0000;371320000;Z;37;24.0
pr;a;l;2;57;;3;650;;;0;0;1;0;NS;;47.41946;0.70673;0;;;1.0;;0;NS;;;0.0;;;;True;;;;;;a;n;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;2;60;;3;670;;;0;0;0;0;NS;;47.41946;0.70673;0;;;1.0;;Sud;NS;;;0.0;;;;True;;;Gaz;;Individuel;a;n;a;2020-08;37261;1503;372611503;H;37;24.0
pr;a;l;1;60;;3;645;;;0;0;0;1;D;226;47.39157;0.71732;0;3.0;;1.0;;0;C;;;;;;;;;;;;Individuel;a;n;a;2020-08;37233;0107;372330107;H;37;24.0
pr;a;l;0;61;;3;710;;;0;0;0;1;NS;;47.3875;0.72023;0;;;;False;0;;;;;;;;True;;;Gaz;;Individuel;a;n;a;2020-08;37233;0107;372330107;H;37;24.0
pr;a;l;0;60;;3;600;;;0;0;0;0;D;226;47.39157;0.71732;Oui;;;;;0;C;;;;;;;;;;;;;a;;a;2020-08;37233;0107;372330107;H;37;24.0
pr;a;l;0;62;;3;710;;;0;0;1;0;B;54;47.38779;0.72042;0;3.0;;1.0;;0;C;;;1.0;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-08;37233;0107;372330107;H;37;24.0
pr;m;l;0;85;50.0;4;715;;;0;0;0;1;0;;47.2239;0.57915;0;;;1.0;;0;;;;;;;;;;;;;Individuel;a;n;m;2020-08;37257;0000;372570000;Z;37;24.0
pr;a;l;1;63;;3;635;;;0;0;0;1;VI;;47.39136;0.71763;0;;;1.0;;Est;VI;;;0.0;;;;False;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;37233;0107;372330107;H;37;24.0
pr;a;l;2;47;;2;530;;;0;0;1;0;F;420.3;47.38968;0.72224;0;2.0;;0.0;;0;D;;1.0;0.0;;False;;False;;;;;Individuel;a;n;a;2020-08;37233;0107;372330107;H;37;24.0
pr;a;l;437;31;;1;405;;;0;0;0;1;0;;47.38401;0.67643;0;8.0;;;;0;;;;;;False;;True;;;;;;a;n;a;2020-08;37261;0601;372610601;H;37;24.0
pr;a;l;3;42;;2;576;;;0;0;0;1;A;41;47.37965;0.67025;0;4.0;;1.0;;0;C;;;;;;;True;;;;;Individuel;a;n;a;2020-08;37261;0601;372610601;H;37;24.0
pr;a;l;0;52;;3;680;;;0;0;0;1;0;;47.37875;0.70693;0;;;0.0;;0;;;;0.0;;;;False;;;Gaz;;Individuel;a;n;a;2020-08;37261;1201;372611201;H;37;24.0
pr;a;l;0;100;;5;300;;;0;0;0;0;F;;47.37888;0.70772;Non;;;;;0;F;;;;;;;;;;;;;a;;a;2020-08;37261;1201;372611201;H;37;24.0
pr;a;l;2;18;;2;430;;;0;0;1;0;VI;;47.38015;0.7084;0;;;0.0;;0;VI;;;0.0;;;;False;;;Gaz;Radiateur;Collectif;a;n;a;2020-08;37261;1201;372611201;H;37;24.0
pr;a;l;4;71;;3;791;;;0;0;0;1;D;199;47.38431;0.69149;0;;;0.0;;0;B;;;0.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-08;37261;0203;372610203;H;37;24.0
pr;m;l;0;55;;2;525;;;0;0;0;1;F;413;47.42085;0.849;0;;;;;0;D;;;;;;;;;;;;Individuel;a;n;m;2020-08;37270;0000;372700000;Z;37;24.0
