idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
ag250180-382269016;pr;a;l;1;68;;3;769;;;0;0;0;1;E;325;47.2906;5.77279;0;;;;;0;B;;;;;;;;;;;;Individuel;a;n;;a;2023-04;70334;0000;703340000;Z;Z;7033400;70000;27;70
nexity-FL0766429;pr;a;l;3;117;;4;681;;;0;0;0;1;C;122;47.62217;6.15602;0;3.0;;;False;0;C;;2.0;;;False;;False;;;;;;a;n;;a;2023-04;70550;0106;705500106;H;H;7055001;70401;27;70
nexity-FL0767998;pr;a;l;7;48;;2;517;;;0;0;0;1;F;361;47.61913;6.15699;0;8.0;;1.0;True;0;G;;;;;False;;True;;;;;;a;n;22.0;a;2023-04;70550;0105;705500105;H;H;7055001;70401;27;70
nexity-FL0765713;pr;a;l;5;75;;4;922;;;0;1;0;1;D;195;47.6223;6.15849;0;6.0;;;True;0;D;;;;;False;;True;;;;;;a;n;;a;2023-04;70550;0105;705500105;H;H;7055001;70401;27;70
nexity-FL0766629;pr;m;l;0;120;;5;799;;;0;1;0;1;E;319;47.62488;6.16783;0;1.0;;;False;0;E;;2.0;;;False;;;;;;;;a;n;8.0;m;2023-04;70550;0104;705500104;H;H;7055001;70401;27;70
nexity-FL0767977;pr;a;l;4;83;;4;825;;;0;1;0;1;D;217;47.62163;6.16408;0;5.0;;;True;0;D;;;;;False;;True;;;;;;a;n;;a;2023-04;70550;0104;705500104;H;H;7055001;70401;27;70
nexity-FL0771891;pr;a;l;1;52;;2;490;;;0;1;1;0;E;238;47.61906;6.15007;0;4.0;;;True;0;C;;;;;False;6.0;True;;;;;;a;n;15.0;a;2023-04;70550;0107;705500107;H;H;7055001;70401;27;70
nexity-FL0765764;pr;a;l;1;64;;3;601;;;0;0;0;1;D;249;47.61575;6.1558;0;3.0;;;False;0;B;;;;;False;;True;;;;;;a;n;;a;2023-04;70550;0107;705500107;H;H;7055001;70401;27;70
ag700070-381234732;pr;a;l;0;65;;3;403;;;0;0;0;1;D;;47.83849;6.56244;0;;;1.0;;0;E;;1.0;;;;;;;;Gaz;;Collectif;a;n;;a;2023-04;70227;0000;702270000;Z;Z;7022700;70000;27;70
ag700070-382807275;pr;a;l;1;78;;4;364;;;0;0;0;1;NS;;47.87743;6.39177;0;;;1.0;;0;;;1.0;;;;;;;;Gaz;;Individuel;a;n;8.0;a;2023-04;70245;0000;702450000;Z;Z;7024500;70104;27;70
ag700070-381226074;pr;a;l;0;46;;2;316;;;0;0;0;1;D;;47.88594;6.40944;0;;;1.0;;0;E;;1.0;;;;;;;;Gaz;;Individuel;a;n;22.0;a;2023-04;70245;0000;702450000;Z;Z;7024500;70104;27;70
ag700070-382810125;pr;m;l;0;117;;4;714;;;0;1;0;1;D;;47.8163;6.68352;0;;;1.0;True;0;F;;1.0;;;;;;;;Gaz;;Individuel;a;n;;m;2023-04;70489;0000;704890000;Z;Z;7048900;70000;27;70
