idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
visiteonline-p_5511929;pr;an;v;0;67;;4;500000;;;0;0;0;0;0;;41.59211;9.27615;0;;False;0.0;;0;;;;;;;;;;;;;;b;o;;a;2023-01;2A247;0101;2A2470101;H;H;2A24701;2A301;94;2A;13.41;3.0;0.022;13.41;5.0;0.022;7462.69
visiteonline-p_5511922;pr;an;v;0;80;;4;455000;;;0;0;0;0;0;;41.59211;9.27615;0;;False;0.0;;0;;;;;;;;;;;;;;b;o;;a;2023-01;2A247;0101;2A2470101;H;H;2A24701;2A301;94;2A;13.41;3.0;0.028;13.41;5.0;0.028;5687.5
visiteonline-p_5511933;pr;an;v;0;78;;4;450000;;;0;0;0;0;0;;41.59211;9.27615;0;;False;0.0;;0;;;;;;;;;;;;;;b;o;;a;2023-01;2A247;0101;2A2470101;H;H;2A24701;2A301;94;2A;13.41;3.0;0.028;13.41;5.0;0.028;5769.23
ag340369-363826153;pr;a;v;2;41;;2;130000;;;0;0;1;1;NS;;41.59211;9.27615;Non;2.0;;0.0;True;sud-ouest;;;1.0;;;;;True;40.0;;Électrique;Climatisation révérsible;;m;n;;a;2023-01;2A247;0101;2A2470101;H;H;2A24701;2A301;94;2A;18.54;9.0;0.07;18.54;15.0;0.07;3170.73
ag340369-363800005;pr;a;v;0;45;;2;150000;;;0;0;0;0;NS;;41.59211;9.27615;Non;2.0;;0.0;True;sud-ouest;;;1.0;;;;;True;40.0;;Électrique;Climatisation révérsible;;m;n;;a;2023-01;2A247;0101;2A2470101;H;H;2A24701;2A301;94;2A;18.54;9.0;0.067;18.54;15.0;0.067;3333.33
immo-facile-99938236109;pr;m;vp;0;131;1200.0;4;1314000;;;0;0;3;0;VI;;41.59211;9.27615;Non;;;;;Ouest;VI;2021.0;4.0;2.0;;;;;7.0;500.0;;;;a;n;8.0;m;2023-01;2A247;0101;2A2470101;H;H;2A24701;2A301;94;2A;12.08;1.0;0.014;16.04;2.0;0.019;10030.53
ag340369-369251731;pr;a;v;2;87;;4;525000;;;0;1;0;0;NS;;41.62132;9.2924;Non;;;2.0;;Nord;;;;;;;;;;;;;;m;n;;a;2023-01;2A247;0201;2A2470201;H;H;2A24701;2A301;94;2A;14.18;1.0;0.028;13.41;5.0;0.027;6034.48
ag340369-369251734;pr;a;v;2;55;;3;335000;;;0;1;0;0;NS;;41.62132;9.2924;Non;;;2.0;;Nord;;;;;;;;;;;;;;m;n;;a;2023-01;2A247;0201;2A2470201;H;H;2A24701;2A301;94;2A;13.82;5.0;0.027;13.94;16.0;0.027;6090.91
immo-facile-adresse-13186748;pr;a;v;0;42;;2;253000;;;0;0;0;0;VI;;41.58278;9.26577;Non;;;;;0;VI;;;;;;;;;;;;;a;n;10.0;a;2023-01;2A247;0201;2A2470201;H;H;2A24701;2A301;94;2A;17.93;5.0;0.036;18.54;15.0;0.037;6023.81
immo-facile-adresse-13197466;pr;a;v;1;34;;2;210000;;;0;0;0;0;VI;;41.58278;9.26577;Non;2.0;;;;0;VI;;;;;;;;;;;;;a;n;;a;2023-01;2A247;0201;2A2470201;H;H;2A24701;2A301;94;2A;17.93;5.0;0.035;18.54;15.0;0.036;6176.47
immo-facile-adresse-13197467;pr;a;v;2;54;;3;325000;;;0;0;0;0;VI;;41.58278;9.26577;Non;2.0;;;;0;VI;;;;;;;;;;;;;a;n;;a;2023-01;2A247;0201;2A2470201;H;H;2A24701;2A301;94;2A;13.82;5.0;0.028;13.94;16.0;0.028;6018.52
visiteonline-p_5511930;pr;an;v;0;21;;1;149000;;;0;0;0;0;0;;41.59211;9.27615;0;;False;0.0;;0;;;;;;;;;;;;;;b;o;;a;2023-01;2A247;0101;2A2470101;H;H;2A24701;2A301;94;2A;;;;18.33;7.0;0.031;7095.24
ag340369-363817993;pr;a;v;1;23;;1;110000;;;0;1;0;1;NS;;41.59211;9.27615;Non;2.0;;0.0;;sud-ouest;;;1.0;;;;;True;40.0;;Électrique;Climatisation révérsible;;m;n;10.0;a;2023-01;2A247;0101;2A2470101;H;H;2A24701;2A301;94;2A;;;;18.33;7.0;0.046;4782.61
ag340369-363818002;pr;a;v;1;38;;2;160000;;;0;0;0;1;NS;;41.59211;9.27615;Non;2.0;;0.0;;sud-ouest;;;1.0;;;;;True;40.0;;Électrique;Climatisation révérsible;;m;n;;a;2023-01;2A247;0101;2A2470101;H;H;2A24701;2A301;94;2A;18.54;9.0;0.053;18.54;15.0;0.053;4210.53
orpi-1-018110E2FBDL;pr;m;v;0;100;700.0;2;549000;;;0;1;1;1;A;10;41.59096;9.20518;Oui;2.0;;2.0;False;Est;A;2008.0;;1.0;;False;;;;;;;;a;n;;m;2023-01;2A247;0202;2A2470202;H;H;2A24701;2A301;94;2A;18.75;1.0;0.041;18.75;3.0;0.041;5490.0
ag340369-369029146;pr;a;v;1;103;;4;464000;;;0;0;2;0;C;159;41.58529;9.28412;Non;1.0;;2.0;;sud-ouest;A;;1.0;;;;;;5.0;138.0;Électrique;Climatisation révérsible;;m;n;;a;2023-01;2A247;0102;2A2470102;H;H;2A24701;2A301;94;2A;12.82;1.0;0.034;13.41;5.0;0.036;4504.85
