idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
immo-facile-adresse-12428987;pr;a;v;0;33;;3;118469;;;0;0;0;0;VI;;42.6045;9.00913;Non;;;;;0;VI;;;;;;;;;;;;;a;n;;a;2021-02;2B034;0000;2B0340000;Z;Z;2B03400;2B000;94;2B;;;;;;;3589.97
era-394039;pr;a;v;0;56;95.0;3;120000;;;0;0;0;0;A;;42.54622;9.41852;Oui;;;0.0;;0;;;;;;;;;;;;;;a;n;;a;2021-02;2B148;0000;2B1480000;Z;Z;2B14800;2B301;94;2B;10.56;15.0;0.059;10.56;15.0;0.059;2142.86
immo-facile-99935945214;pr;m;v;0;83;526.0;4;274000;;;0;0;1;0;VI;;42.50348;9.46525;Non;;;3.0;;Sud-Ouest;VI;2020.0;1.0;2.0;;;;;;;;;Individuel;a;n;;m;2021-02;2B346;0000;2B3460000;Z;Z;2B34600;2B301;94;2B;12.28;2.0;0.045;12.28;2.0;0.045;3301.2
ag333464-287398262;pr;a;v;0;64;;3;337432;;;0;0;0;1;VI;;42.54997;8.75749;Non;3.0;;2.0;;Sud;;;1.0;;;;;True;31.0;;;;;a;n;;a;2021-02;2B050;0102;2B0500102;H;H;2B05001;2B201;94;2B;12.68;3.0;0.029;12.04;6.0;0.027;5272.38
immo-facile-43715766;pr;a;v;0;32;;1;120000;;;0;0;0;1;D;229.0;42.31546;9.52091;Oui;2.0;;1.0;True;0;B;1980.0;1.0;;;False;;False;;360.0;Électrique;Radiateur;Individuel;a;n;;a;2021-02;2B303;0000;2B3030000;Z;Z;2B30300;2B000;94;2B;17.19;1.0;0.055;17.19;1.0;0.055;3750.0
immo-facile-43680818;pr;a;v;1;85;;3;209000;;;0;0;2;0;C;120.0;42.39392;9.53059;Oui;1.0;;2.0;;0;A;2013.0;2.0;;;;;False;9.0;768.0;;;Individuel;a;n;;a;2021-02;2B307;0000;2B3070000;Z;Z;2B30700;2B202;94;2B;10.27;1.0;0.05;10.27;1.0;0.05;2458.82
laforet-immo-facile-19856255;pr;m;v;0;136;639.0;6;631600;;;0;0;1;1;D;168;42.71775;9.44385;Non;;;3.0;;0;B;1991.0;4.0;1.0;;;;;36.0;915.0;;;Individuel;a;n;;m;2021-02;2B353;0000;2B3530000;Z;Z;2B35300;2B501;94;2B;;;;;;;4644.12
ag340369-262190980;pr;a;v;2;95;;4;497280;;;0;0;1;0;NS;;42.63225;8.93809;Non;;;1.0;;sud-ouest;;;;;;;;;;;;;;network;n;;a;2021-02;2B134;0000;2B1340000;Z;Z;2B13400;2B103;94;2B;13.48;1.0;0.031;13.48;1.0;0.031;5234.53
ag340369-262198114;pr;a;v;1;68;;3;259000;;;0;0;0;0;NS;;42.63225;8.93809;Non;;;1.0;;sud-ouest;;;;;;;;;;;;;;network;n;;a;2021-02;2B134;0000;2B1340000;Z;Z;2B13400;2B103;94;2B;13.27;1.0;0.042;13.27;1.0;0.042;3808.82
century-21-202_3365_479;pr;a;v;2;57;;4;274000;;;0;0;2;0;E;316;42.63339;8.93678;Oui;3.0;;0.0;;0;C;;2.0;0.0;;False;;False;1.0;1.0;Électrique;Climatisation révérsible;Individuel;a;n;;a;2021-02;2B134;0000;2B1340000;Z;Z;2B13400;2B103;94;2B;13.48;1.0;0.034;13.48;1.0;0.034;4807.02
