type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;m;v;0;297;70186.0;10;756000;;;0;0;0;3;NS;;43.92303;4.73147;Oui;;;;True;Sud;;;3.0;;;;;;;;;;;a;n;m;2020-08;30012;0000;300120000;Z;30;76.0;;;;;;;2545.45
pr;m;v;0;200;940.0;8;558600;;;0;1;2;1;C;122;43.96613;4.66624;Non;1.0;;;True;0;A;2008.0;4.0;;;;;;;;Électrique;;;m;n;m;2020-08;30217;0101;302170101;H;30;76.0;;;;;;;2793.0
pr;a;v;1;78;;4;125000;;;0;0;0;1;C;104.0;43.83949;4.31565;Non;9.0;;;;Nord-Ouest;D;;1.0;;;False;;False;84.0;1450.0;Gaz;;Individuel;m;n;a;2020-08;30189;1201;301891201;H;30;76.0;;;;9.2;183.0;0.069;1602.56
pr;m;v;0;81;251.0;3;145000;;;0;0;1;1;0;;43.9713;3.60324;Oui;;;;False;0;;;1.0;;;;;;;;Gaz;;;a;n;m;2020-08;30026;0000;300260000;Z;30;76.0;;;;;;;1790.12
pr;m;v;0;90;14.0;4;187000;;;0;0;1;0;NS;;43.75633;4.51442;Oui;2.0;;;False;Est;NS;;1.0;1.0;;;;;;;;Radiateur;Individuel;a;n;m;2020-08;30034;0101;300340101;H;30;76.0;9.0;1.0;0.052;9.8;2.0;0.057;2077.78
pr;a;v;0;200;;4;180000;;;0;0;0;0;D;173;43.99379;3.50308;Oui;;;1.0;True;0;B;;;;;False;;False;5.0;30.0;Électrique;Radiateur;Individuel;m;n;a;2020-08;30025;0000;300250000;Z;30;76.0;;;;;;;900.0
pr;m;v;0;83;476.0;4;270000;;;0;0;0;1;C;120;43.98301;4.70574;Oui;;;7.0;;0;;;;;;;;;;;;;Individuel;a;n;m;2020-08;30217;0102;302170102;H;30;76.0;12.96;5.0;0.048;10.33;11.0;0.038;3253.01
pr;m;v;0;90;;4;315000;;;0;0;0;0;C;132;43.92289;4.60917;Non;2.0;;;;0;D;;1.0;;;;;;;;Gaz;Radiateur;Individuel;a;n;m;2020-08;30116;0000;301160000;Z;30;76.0;;;;;;;3500.0
pr;a;v;3;80;;4;225000;;;0;1;1;0;C;109.0;43.95309;4.75283;Non;3.0;;;;0;A;;;;;;;;48.0;780.0;Électrique;;Individuel;a;n;a;2020-08;30011;0105;300110105;H;30;76.0;7.88;1.0;0.034;10.3;4.0;0.044;2812.5
pr;m;v;0;90;10.0;5;184000;;;0;0;0;0;D;200;44.12226;4.28079;Non;2.0;;;True;Sud;B;;;1.0;;;;;;;;;Individuel;a;n;m;2020-08;30320;0000;303200000;Z;30;76.0;;;;;;;2044.44
