idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
ag820344-350317762;pr;m;v;0;148;1500.0;4;246100;;;0;0;0;1;0;;44.07137;1.45191;Oui;;;1.0;False;Nord-Ouest;;;1.0;;;;;;;;;;;a;n;;m;2022-07;82002;0000;820020000;Z;Z;8200200;82000;76;82;8.22;10.0;0.059;8.22;10.0;0.059;1662.84
ag820344-348735459;pr;m;v;0;170;780.0;6;312700;;;0;0;0;1;C;161;44.08943;1.44379;Non;1.0;;2.0;False;Nord-Ouest;A;;1.0;;;;;;;;;;;a;n;;m;2022-07;82002;0000;820020000;Z;Z;8200200;82000;76;82;;;;;;;1839.41
ag060811-350122942;pr;m;v;0;150;2334.0;5;271500;;;0;0;0;1;C;123;44.0978;0.94866;Oui;;;4.0;;Sud;A;;1.0;;;;;;;;Électrique;Climatisation révérsible;;m;n;;m;2022-07;82141;0000;821410000;Z;Z;8214100;82202;76;82;;;;;;;1810.0
entities-1039525-2604189;pr;m;v;0;73;454.0;4;195754;;;0;0;0;0;A;;43.90016;1.13527;0;;;;;0;;;;;;;;;;;;;;cm;o;;m;2022-07;82173;0000;821730000;Z;Z;8217300;82000;76;82;7.28;4.0;0.033;7.28;4.0;0.033;2681.56
mgc-20477396-20477396;pr;m;v;0;88;549.0;3;190724;;;0;0;0;0;0;;43.8995;1.13292;0;;;;;0;;;;;;;;;;;;;;cm;o;8.0;m;2022-07;82173;0000;821730000;Z;Z;8217300;82000;76;82;8.77;2.0;0.049;8.77;2.0;0.049;2167.32
orpi-1-126006E2CKE6;pr;m;v;0;75;79672.0;2;280000;;;0;0;0;1;0;;43.93729;0.76726;Non;;;2.0;;0;G;;;0.0;;;;;;;;;Individuel;a;n;;m;2022-07;82074;0000;820740000;Z;Z;8207400;82000;76;82;;;;;;;3733.33
iad-france-1172218;pr;m;v;0;145;1785.0;6;210000;;;0;0;0;0;E;316;44.09794;1.16592;Oui;;;;False;0;C;1938.0;;;;False;;;;;;;;m;n;;m;2022-07;82012;0000;820120000;Z;Z;8201200;82000;76;82;;;;;;;1448.28
ag750949-350099854;pr;m;v;0;150;758.0;7;210000;;;0;1;0;1;E;295;43.95064;0.91578;Non;1.0;;4.0;False;0;F;;2.0;;;;;;;;Fioul;;;network;n;;m;2022-07;82097;0000;820970000;Z;Z;8209700;82000;76;82;;;;;;;1400.0
entities-1041771-3607270;pr;m;v;0;90;820.0;4;230000;;;0;0;0;1;0;;43.98948;1.27645;0;;;1.0;;0;;;;;;;;;;;;;;cm;o;8.0;m;2022-07;82085;0000;820850000;Z;Z;8208500;82501;76;82;7.5;2.0;0.035;7.5;2.0;0.035;2555.56
mgc-20477380-20477380;pr;m;v;0;90;;4;221350;;;0;0;0;0;0;;43.9025;1.07111;0;;;;;0;;;;;;;;;;;;;;cm;o;8.0;m;2022-07;82015;0000;820150000;Z;Z;8201500;82000;76;82;;;;;;;2459.44
