REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
94.0;2A;2A001;pr;a;a;l;2;0;37.0;715.0;0.0;1.0;0.0;2
94.0;2A;2A001;pr;a;a;l;2;A;50.0;680.0;0.0;0.0;1.0;1
94.0;2A;2A001;pr;a;a;l;2;C;52.0;850.0;0.0;1.0;0.0;1
94.0;2A;2A001;pr;a;a;l;2;VI;42.0;790.0;0.0;1.0;0.0;1
94.0;2A;2A001;pr;a;a;l;3;D;77.0;700.0;0.0;0.0;0.0;1
94.0;2A;2A004;pa;a;a;l;1;0;30.0;600.0;0.0;0.0;0.17;6
94.0;2A;2A004;pa;a;a;l;2;0;50.0;750.0;0.33;0.0;0.0;3
94.0;2A;2A004;pa;a;a;l;2;D;32.0;635.0;0.0;1.0;0.0;1
94.0;2A;2A004;pa;a;a;l;3;0;75.0;950.0;1.0;0.0;0.8;5
94.0;2A;2A004;pa;a;a;l;4;0;70.0;1200.0;0.0;0.0;0.0;1
94.0;2A;2A004;pa;a;a;l;4;C;127.0;1650.0;0.0;0.0;1.0;1
94.0;2A;2A004;pr;a;a;l;1;0;28.5;597.5;0.08;0.44;0.31;36
94.0;2A;2A004;pr;a;a;l;1;A;27.0;486.0;0.25;0.88;0.0;8
94.0;2A;2A004;pr;a;a;l;1;B;24.5;618.0;0.0;0.75;0.0;4
94.0;2A;2A004;pr;a;a;l;1;C;29.5;580.0;0.1;0.7;0.1;10
94.0;2A;2A004;pr;a;a;l;1;D;31.0;550.0;0.09;0.45;0.27;22
94.0;2A;2A004;pr;a;a;l;1;E;31.0;537.5;0.07;0.36;0.5;14
94.0;2A;2A004;pr;a;a;l;1;F;17.0;350.0;0.0;1.0;0.0;1
94.0;2A;2A004;pr;a;a;l;1;NS;26.0;524.0;0.17;0.67;0.17;6
94.0;2A;2A004;pr;a;a;l;1;VI;27.5;535.0;0.12;0.75;0.25;8
94.0;2A;2A004;pr;a;a;l;2;0;46.0;700.0;0.06;0.32;0.36;81
94.0;2A;2A004;pr;a;a;l;2;A;44.5;780.5;0.0;0.67;0.11;18
