REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
94;2B;2B009;pr;a;a;l;1;D;25.0;410.0;0.0;0.5;0.0;2
94;2B;2B009;pr;a;a;l;2;0;44.0;522.5;0.0;0.0;0.0;2
94;2B;2B009;pr;a;a;l;2;C;49.0;535.0;0.0;0.0;0.0;1
94;2B;2B009;pr;a;a;l;2;D;52.0;532.5;0.0;0.5;0.0;2
94;2B;2B009;pr;a;a;l;2;E;31.0;550.0;0.0;0.0;0.0;1
94;2B;2B009;pr;a;a;l;3;0;70.0;635.0;0.5;0.25;0.25;4
94;2B;2B009;pr;a;a;l;3;C;70.0;660.0;0.0;0.0;0.0;3
94;2B;2B009;pr;a;a;l;3;D;52.0;620.0;0.0;0.0;1.0;1
94;2B;2B009;pr;a;a;l;3;VI;55.0;450.0;0.0;1.0;0.0;1
94;2B;2B009;pr;a;a;l;4;0;95.0;812.5;0.0;0.5;0.0;2
94;2B;2B009;pr;a;a;l;4;C;89.0;760.0;0.0;0.0;0.0;2
94;2B;2B009;pr;a;a;l;4;D;70.0;720.0;0.0;0.0;0.0;1
94;2B;2B009;pr;a;m;l;3;0;50.0;595.0;0.0;0.0;0.0;1
94;2B;2B009;pr;a;m;l;3;D;70.0;710.0;0.0;0.0;0.0;1
94;2B;2B009;pr;a;m;l;3;VI;70.0;715.0;0.0;1.0;0.0;1
94;2B;2B009;pr;a;m;l;4;0;84.0;885.0;0.0;0.0;0.0;1
94;2B;2B009;pr;a;m;l;4;C;113.0;1095.0;0.0;0.0;0.0;1
94;2B;2B009;pr;a;m;l;4;D;90.0;900.0;0.0;0.0;0.0;1
94;2B;2B009;pr;a;m;l;5;D;111.0;1000.0;0.0;0.0;0.0;1
94;2B;2B010;pr;a;a;l;2;C;41.0;630.0;0.0;0.0;0.0;1
94;2B;2B010;pr;a;a;l;4;C;87.0;1000.0;0.0;0.0;0.0;1
94;2B;2B029;pr;a;a;l;2;G;52.0;735.0;0.0;0.0;0.0;2
94;2B;2B029;pr;a;a;l;2;NS;57.0;720.0;0.0;0.0;0.0;1
94;2B;2B033;pa;a;a;l;1;0;25.0;450.0;0.0;0.0;1.0;1
94;2B;2B033;pa;a;a;l;2;0;45.0;600.0;0.4;0.4;0.0;5
94;2B;2B033;pa;a;a;l;3;0;92.0;800.0;1.0;0.33;1.0;3
94;2B;2B033;pa;a;a;l;4;0;72.0;990.0;0.0;0.0;0.0;1
94;2B;2B033;pa;a;a;l;4;B;82.0;925.0;1.0;0.0;1.0;1
94;2B;2B033;pa;a;m;l;2;0;35.0;750.0;0.0;0.0;0.0;1
94;2B;2B033;pr;a;a;l;1;0;29.0;495.0;0.09;0.3;0.26;23
94;2B;2B033;pr;a;a;l;1;A;23.0;450.0;0.0;0.33;0.0;3
94;2B;2B033;pr;a;a;l;1;C;31.0;495.0;0.0;0.18;0.09;11
94;2B;2B033;pr;a;a;l;1;D;30.0;500.0;0.21;0.43;0.11;28
