REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
11.0;77;77001;pa;a;m;l;2;0;26.0;400.0;0.0;1.0;0.0;1
11.0;77;77001;pr;a;m;l;6;VI;120.0;1390.0;1.0;1.0;1.0;1
11.0;77;77002;pr;a;a;l;3;NS;100.0;727.0;0.0;0.0;1.0;1
11.0;77;77005;pa;a;m;l;5;A;120.0;1680.0;0.0;1.0;1.0;1
11.0;77;77005;pr;a;a;l;1;F;30.0;430.0;0.0;0.0;1.0;1
11.0;77;77005;pr;a;a;l;2;0;33.0;700.0;0.0;0.0;0.0;1
11.0;77;77005;pr;a;a;l;2;F;37.0;720.0;0.0;0.0;1.0;1
11.0;77;77005;pr;a;a;l;2;G;41.0;706.0;0.0;0.0;1.0;1
11.0;77;77005;pr;a;m;l;2;D;39.0;700.0;0.0;0.0;1.0;1
11.0;77;77005;pr;a;m;l;5;A;110.0;1600.0;0.0;0.0;0.0;1
11.0;77;77005;pr;a;m;l;6;A;120.0;1700.0;0.0;0.0;0.0;1
11.0;77;77006;pr;a;a;l;2;0;51.0;570.0;0.0;0.0;1.0;1
11.0;77;77006;pr;a;m;l;2;F;38.0;710.0;0.0;0.0;1.0;1
11.0;77;77008;pr;a;a;l;2;D;32.5;523.0;0.0;0.0;1.0;4
11.0;77;77008;pr;a;a;l;3;D;52.0;725.0;0.0;0.0;1.5;2
11.0;77;77008;pr;a;m;l;4;D;93.0;1150.0;0.0;0.0;1.0;1
11.0;77;77012;pr;a;m;l;6;D;127.0;995.0;0.0;0.0;1.0;1
11.0;77;77014;pa;a;a;l;1;C;23.0;650.0;0.0;1.0;0.0;1
11.0;77;77014;pa;a;a;l;2;0;45.5;790.0;0.5;0.0;1.0;2
11.0;77;77014;pa;a;a;l;2;D;51.0;840.0;1.0;0.0;1.0;1
11.0;77;77014;pa;a;a;l;2;F;41.0;675.0;0.5;0.5;0.5;2
11.0;77;77014;pa;a;a;l;3;B;59.0;865.0;0.0;0.0;1.0;1
11.0;77;77014;pa;a;a;l;4;0;66.5;670.0;0.0;0.0;0.5;2
11.0;77;77014;pa;a;a;l;7;D;85.0;500.0;0.0;1.0;1.0;1
11.0;77;77014;pr;a;a;l;1;0;19.0;490.0;0.17;0.67;0.0;6
11.0;77;77014;pr;a;a;l;1;A;30.0;571.5;0.0;1.0;0.0;2
11.0;77;77014;pr;a;a;l;1;B;29.0;535.0;0.0;0.27;0.45;11
11.0;77;77014;pr;a;a;l;1;D;28.0;530.0;0.1;0.3;0.4;10
11.0;77;77014;pr;a;a;l;1;E;27.0;545.0;0.0;0.67;0.33;9
11.0;77;77014;pr;a;a;l;1;F;28.0;550.0;0.0;0.44;0.56;9
11.0;77;77014;pr;a;a;l;1;G;40.0;582.0;0.0;0.0;1.0;1
11.0;77;77014;pr;a;a;l;1;VI;21.5;540.0;0.0;1.0;0.0;2
11.0;77;77014;pr;a;a;l;2;0;41.0;672.0;0.08;0.17;0.58;12
11.0;77;77014;pr;a;a;l;2;B;46.0;745.0;0.0;0.2;0.4;5
11.0;77;77014;pr;a;a;l;2;C;47.0;762.5;0.25;0.5;0.0;4
