REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
94;2A;2A001;pr;a;a;v;3;0;73.0;315000.0;4315.07;12.76;0.035;0.0;0.0;1.0;1
94;2A;2A001;pr;a;a;v;3;B;92.0;315000.0;3423.91;12.76;0.045;0.0;0.0;1.0;1
94;2A;2A001;pr;a;a;v;3;C;93.0;315000.0;3387.1;12.76;0.045;0.0;0.0;1.0;1
94;2A;2A001;pr;a;a;v;4;B;95.0;298000.0;3136.84;;;0.0;0.0;0.0;1
94;2A;2A001;pr;a;a;v;4;C;115.0;350000.0;3043.48;;;0.0;0.0;0.0;1
94;2A;2A001;pr;a;a;v;4;NS;95.0;299000.0;3147.37;;;0.0;1.0;0.0;1
94;2A;2A001;pr;a;a;v;7;VI;181.0;727000.0;4016.57;;;0.0;2.0;0.0;1
94;2A;2A001;pr;a;m;v;10;0;324.0;1880000.0;5802.47;;;0.0;0.0;0.0;1
94;2A;2A001;pr;a;m;v;11;C;248.0;843000.0;3399.19;;;2.0;6.5;0.0;2
94;2A;2A001;pr;a;m;v;14;D;256.0;725000.0;2832.03;;;0.0;7.0;0.0;1
94;2A;2A001;pr;a;m;v;3;VI;74.5;376950.0;4992.51;;;0.0;0.5;1.0;2
94;2A;2A001;pr;a;m;v;4;A;170.0;724500.0;4261.76;;;0.0;2.0;1.0;1
94;2A;2A001;pr;a;m;v;4;C;123.0;457500.0;3698.36;;;0.0;1.0;1.0;2
94;2A;2A001;pr;a;m;v;4;D;167.0;549900.0;3292.81;;;0.0;0.0;1.0;1
94;2A;2A001;pr;a;m;v;4;E;95.5;430000.0;4503.73;;;0.0;0.5;0.5;2
94;2A;2A001;pr;a;m;v;5;C;156.0;655000.0;4198.72;9.93;0.028;0.0;1.0;1.0;1
94;2A;2A001;pr;a;m;v;5;D;109.0;435000.0;3991.58;9.93;0.03;0.0;0.5;1.5;2
94;2A;2A001;pr;a;m;v;5;E;112.0;525000.0;4687.5;9.93;0.025;0.0;0.0;0.0;1
94;2A;2A001;pr;a;m;v;6;C;190.0;820000.0;3987.07;;;0.0;2.33;0.67;3
94;2A;2A001;pr;a;m;v;7;0;186.0;727000.0;3908.6;;;0.0;0.0;2.0;1
94;2A;2A001;pr;a;m;v;7;C;309.0;684200.0;2214.24;;;0.0;0.0;0.0;1
94;2A;2A001;pr;a;m;v;7;NS;274.0;815000.0;2974.45;;;0.0;2.0;1.0;1
94;2A;2A001;pr;a;m;v;9;C;324.0;1880000.0;5802.47;;;0.0;2.0;3.0;1
