REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
94;2B;2B002;pr;a;a;v;3;C;73.0;179140.0;2453.97;;;0.0;0.0;1.0;1
94;2B;2B007;pr;a;m;v;16;0;400.0;294000.0;735.0;;;0.0;0.0;0.0;1
94;2B;2B007;pr;a;m;v;3;NS;52.0;85000.0;1634.62;;;0.0;0.0;1.0;1
94;2B;2B009;pr;a;a;v;2;D;56.0;149500.0;2669.64;12.4;0.052;0.0;0.67;0.0;3
94;2B;2B009;pr;a;a;v;3;C;70.0;189000.0;2700.0;9.43;0.042;0.0;0.0;0.0;1
94;2B;2B009;pr;a;a;v;3;E;64.0;95000.0;1484.38;9.43;0.076;0.0;0.0;0.0;1
94;2B;2B009;pr;a;m;v;10;0;200.0;270000.0;1350.0;;;0.0;0.0;0.0;1
94;2B;2B009;pr;a;m;v;2;C;55.0;183750.0;3340.91;;;0.0;1.0;0.0;1
94;2B;2B009;pr;a;m;v;4;0;90.0;260000.0;2888.89;10.0;0.042;0.0;0.0;0.0;1
94;2B;2B009;pr;a;m;v;4;C;113.5;343750.0;3025.82;10.0;0.04;0.0;0.0;0.0;2
94;2B;2B009;pr;a;m;v;5;B;173.0;438750.0;2395.96;9.01;0.044;0.25;0.5;0.5;4
94;2B;2B009;pr;a;m;v;5;C;175.0;720000.0;4114.29;9.01;0.026;0.0;0.0;0.0;1
94;2B;2B009;pr;a;m;v;6;0;153.0;480000.0;3137.25;;;0.0;0.0;3.0;1
94;2B;2B009;pr;network;a;v;2;D;41.0;136500.0;3329.27;12.4;0.045;0.0;1.0;0.0;1
94;2B;2B009;pr;network;a;v;3;D;78.0;190000.0;2435.9;9.43;0.046;0.0;1.0;0.0;1
94;2B;2B009;pr;network;m;v;4;D;110.0;297000.0;2700.0;10.0;0.044;0.0;1.0;0.0;1
94;2B;2B010;pr;a;a;v;2;C;41.0;162500.0;3963.41;15.37;0.047;0.0;1.0;0.0;1
94;2B;2B010;pr;a;a;v;3;0;54.5;230000.0;4082.88;;;0.0;1.0;0.5;2
94;2B;2B010;pr;a;a;v;3;B;74.0;317200.0;4286.49;;;0.0;0.0;1.0;1
94;2B;2B010;pr;a;a;v;5;E;100.0;493500.0;4935.0;;;0.0;0.0;0.0;1
94;2B;2B010;pr;a;m;v;5;D;153.0;1050000.0;6862.75;;;0.0;2.0;1.0;1
94;2B;2B010;pr;a;m;v;5;E;114.0;595000.0;5219.3;;;0.0;0.0;1.0;1
94;2B;2B010;pr;a;m;v;9;B;360.0;2038950.0;5663.75;;;0.0;3.0;2.0;1
94;2B;2B010;pr;a;m;vp;4;C;139.0;1490000.0;10719.42;;;0.0;2.0;1.0;1
94;2B;2B010;pr;a;m;vp;4;D;145.0;1490000.0;10275.86;;;0.0;2.0;1.0;1
94;2B;2B020;pr;a;a;v;1;D;23.0;88600.0;3843.18;;;0.0;0.5;0.5;2
94;2B;2B020;pr;a;a;v;2;D;42.0;135000.0;3214.29;;;0.0;0.0;1.0;1
94;2B;2B020;pr;a;a;v;2;E;38.5;135525.0;3542.27;;;0.5;0.5;0.5;2
