REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
84;73;73001;pr;a;a;v;1;F;18.0;57000.0;3166.67;20.0;0.076;0.0;0.0;1.0;1
84;73;73001;pr;a;a;v;2;F;30.5;61100.0;2070.61;16.0;0.096;0.0;1.0;0.0;2
84;73;73001;pr;a;a;v;2;VI;29.0;87900.0;3031.03;16.0;0.063;0.0;0.0;1.0;1
84;73;73001;pr;a;a;v;3;E;51.0;164000.0;3210.84;10.7;0.04;0.5;1.0;0.0;2
84;73;73001;pr;a;a;v;3;NS;45.0;111000.0;2466.67;10.7;0.052;0.0;1.0;0.0;1
84;73;73001;pr;a;m;v;10;F;400.0;460000.0;1150.0;;;0.0;0.0;0.0;1
84;73;73001;pr;a;m;v;3;D;62.0;204480.0;3298.06;;;1.0;1.0;0.0;1
84;73;73001;pr;a;m;v;6;E;164.0;460000.0;2804.88;;;0.0;1.0;0.0;1
84;73;73001;pr;cm;m;v;4;0;109.0;383110.0;3528.94;;;0.0;0.0;1.5;2
84;73;73001;pr;cm;m;v;5;0;83.0;324000.0;3903.61;;;0.0;0.0;0.0;1
84;73;73001;pr;cm;mn;v;1;0;131.0;419700.0;3203.82;;;0.0;1.0;0.0;1
84;73;73001;pr;cm;mn;v;4;0;95.0;300000.0;3195.88;;;0.0;0.0;0.0;3
84;73;73001;pr;cm;mn;v;5;0;111.0;340000.0;3063.06;;;0.0;0.33;0.0;3
84;73;73003;pr;a;a;v;1;0;29.0;86000.0;2965.52;19.41;0.079;1.0;0.0;1.0;1
84;73;73003;pr;a;a;v;1;D;21.0;45000.0;2142.86;19.41;0.109;0.0;0.0;0.0;1
84;73;73003;pr;a;a;v;1;E;30.0;78250.0;3372.22;19.41;0.087;0.5;1.0;0.5;2
84;73;73003;pr;a;a;v;1;F;15.0;58000.0;3866.67;19.41;0.06;1.0;1.0;0.0;1
84;73;73003;pr;a;a;v;2;0;44.0;150900.0;3571.43;13.0;0.044;0.0;0.0;1.0;3
84;73;73003;pr;a;a;v;2;B;42.0;163700.0;3897.62;13.0;0.04;0.0;0.0;1.0;1
84;73;73003;pr;a;a;v;2;E;24.0;82100.0;3420.83;13.0;0.044;0.0;0.0;0.25;4
84;73;73003;pr;a;a;v;2;F;44.0;74000.0;1681.82;13.0;0.086;0.33;0.33;0.33;3
84;73;73003;pr;a;a;v;2;NS;44.5;192000.0;4313.38;13.0;0.036;0.0;0.0;1.0;4
84;73;73003;pr;a;a;v;2;VI;44.0;164350.0;3713.12;13.0;0.041;0.38;0.0;0.88;8
84;73;73003;pr;a;a;v;3;0;68.0;204900.0;3158.73;10.32;0.038;0.6;0.0;0.8;10
84;73;73003;pr;a;a;v;3;B;68.0;268050.0;3941.91;10.32;0.032;0.5;0.0;0.5;2
84;73;73003;pr;a;a;v;3;D;66.5;210000.0;3134.33;10.32;0.043;0.25;0.0;0.25;4
84;73;73003;pr;a;a;v;3;E;61.0;186000.0;3049.18;10.32;0.041;1.0;0.0;1.0;1
84;73;73003;pr;a;a;v;3;F;71.0;136000.0;1915.49;10.32;0.065;0.0;0.0;1.0;1
84;73;73003;pr;a;a;v;3;NS;64.0;205000.0;3213.11;10.32;0.038;0.2;0.0;0.6;10
84;73;73003;pr;a;a;v;3;VI;63.5;201950.0;3235.34;10.32;0.038;0.67;0.0;0.92;12
84;73;73003;pr;a;a;v;4;0;118.0;253000.0;2144.07;9.58;0.054;0.0;0.0;1.0;1
