type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;m;v;20137;;0;95;;5;380000;;;1600;0;0;0;C;121;41.5929;9.2535;Non;;;;;0;A;;;;;;;;;;;;;a;;m;2020-04;2A247;0201;2A2470201;H;2A
pr;m;v;20169;2A041;0;202;4833.0;9;519950;;;0;0;1;2;C;136;41.40572;9.1625;Non;;;3.0;;Sud;B;;2.0;;;False;;;;;;;Individuel;m;n;m;2020-03;2A041;0000;2A0410000;Z;2A
pr;a;v;20169;2A041;6;117;;2;260000;;;0;0;0;0;NS;;41.39432;9.1558;Non;;;;False;0;NS;;;;;;;False;;;;;;a;n;a;2020-03;2A041;0000;2A0410000;Z;2A
pr;m;v;20144;2A362;0;94;;4;618000;;;0;0;0;0;NS;;41.69675;9.33801;Non;;;;;0;;;;;;False;;;;;;;;m;n;m;2020-03;2A362;0000;2A3620000;Z;2A
pr;m;v;20144;2A362;0;74;1408.0;3;478354;;;0;0;1;0;D;202;41.69534;9.35385;Non;;;1.0;;sud-ouest;B;;1.0;;;False;;;;;;;Individuel;m;n;m;2020-03;2A362;0000;2A3620000;Z;2A
pr;m;v;20144;2A362;0;90;780.0;5;468701;;;0;0;2;2;D;189.0;41.66781;9.38359;Non;1.0;;1.0;;0;B;;2.0;;;False;;;;;;;Individuel;m;n;m;2020-03;2A362;0000;2A3620000;Z;2A
pr;m;v;20144;2A362;0;112;837.0;4;496000;;;0;0;0;2;NS;;41.70876;9.31344;Oui;;;2.0;;0;;;1.0;;;False;;;41.0;400.0;;;Individuel;m;n;m;2020-03;2A362;0000;2A3620000;Z;2A
pr;m;v;20144;2A362;0;135;1321.0;5;549000;;;0;0;1;0;C;142;41.69986;9.33669;Non;2.0;;2.0;True;Sud;B;2015.0;2.0;1.0;;;;;;;;Sol;Individuel;a;n;m;2020-03;2A362;0000;2A3620000;Z;2A
pr;m;v;20144;2A362;0;115;757.0;5;553000;;;0;0;3;0;NS;;41.70757;9.3196;Oui;;;2.0;;0;;;2.0;;;False;;;45.0;150.0;;;Individuel;m;n;m;2020-03;2A362;0000;2A3620000;Z;2A
pr;m;v;20144;2A362;0;180;2000.0;7;724325;;;0;0;4;0;C;141;41.68121;9.35862;Non;;;;;0;B;;4.0;;;False;;;;;;;Individuel;m;n;m;2020-03;2A362;0000;2A3620000;Z;2A
pr;m;v;20144;2A362;0;250;2000.0;6;1162860;;;0;0;5;0;C;129;41.68549;9.35948;Non;1.0;;;;0;B;;5.0;;;False;;;;;;;Individuel;m;n;m;2020-03;2A362;0000;2A3620000;Z;2A
pr;a;v;20090;2A004;0;55;;2;168000;;;0;0;0;1;D;158;41.94487;8.76282;Non;2.0;;1.0;False;Est-Ouest;A;2007.0;1.0;1.0;;;;False;72.0;780.68;;Radiateur;Individuel;a;n;a;2020-03;2A004;0902;2A0040902;H;2A
pr;a;v;20000;;0;25;;1;99000;;;0;0;0;0;0;;41.9545;8.77332;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2A004;0902;2A0040902;H;2A
pr;a;v;20000;;0;44;;2;169000;;;0;0;0;0;0;;41.9545;8.77332;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2A004;0902;2A0040902;H;2A
pr;a;v;20000;;0;67;;3;267000;;;0;0;0;0;0;;41.9545;8.77332;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2A004;0902;2A0040902;H;2A
pr;a;v;20000;;0;28;;1;122000;;;0;0;0;0;0;;41.9545;8.77332;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2A004;0902;2A0040902;H;2A
pr;a;v;20000;;0;73;;3;252000;;;0;0;0;0;0;;41.9545;8.77332;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2A004;0902;2A0040902;H;2A
pr;a;v;20000;;0;66;;3;259000;;;0;0;0;0;0;;41.9545;8.77332;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2A004;0902;2A0040902;H;2A
pr;a;v;20000;;0;62;;3;185900;;;0;0;0;0;0;;41.92802;8.6661;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2A004;0402;2A0040402;H;2A
pr;a;v;20000;;0;67;;3;197000;;;0;0;0;0;0;;41.92802;8.6661;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2A004;0402;2A0040402;H;2A
pr;a;v;20000;;0;81;;4;197000;;;0;0;0;0;0;;41.92802;8.6661;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2A004;0402;2A0040402;H;2A
pr;a;v;20000;;0;86;;4;249900;;;0;0;0;0;0;;41.92802;8.6661;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2A004;0402;2A0040402;H;2A
pr;a;l;20000;2A004;0;40;;2;610;;;0;0;0;1;E;;41.91085;8.71053;0;;;;;0;C;;;;;;;;;;;;;a;n;a;2020-03;2A004;0402;2A0040402;H;2A
pr;a;l;20000;2A004;4;42;;2;650;;;0;3;0;1;C;131;41.91863;8.67067;0;;;;False;0;D;1997.0;1.0;;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-03;2A004;0402;2A0040402;H;2A
pr;a;l;20000;2A004;7;54;;2;740;;;0;0;0;1;0;;41.91849;8.67106;0;8.0;;1.0;;0;;;;;;;;True;;;;;Individuel;a;n;a;2020-03;2A004;0402;2A0040402;H;2A
pr;a;v;20000;2A004;0;118;;4;588000;;;0;0;1;1;C;91.0;41.91941;8.66835;Non;3.0;;;;Sud;A;;;;;;;;;;;;Individuel;a;n;a;2020-03;2A004;0402;2A0040402;H;2A
pr;a;l;20090;2A004;0;55;;2;749;;;0;0;0;1;VI;;41.91819;8.67073;0;1.0;;;;0;VI;;;;;;;;;;;;;a;n;a;2020-03;2A004;0402;2A0040402;H;2A
pr;a;l;20000;;0;29;;2;500;;;0;0;0;0;0;;41.92434;8.7373;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A004;0103;2A0040103;H;2A
pr;a;v;20090;;0;31;;1;90000;;;417;0;0;0;D;215;41.9256;8.7364;Oui;;;;;0;E;;;;;;;;98.0;;;;;a;n;a;2020-03;2A004;0103;2A0040103;H;2A
pr;a;v;20000;2A004;0;47;;2;220000;;;0;0;0;0;0;;41.92405;8.73772;Oui;;;0.0;;0;;;;;;;;;10.0;600.0;;;;a;n;a;2020-03;2A004;0103;2A0040103;H;2A
