type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;mn;v;39120;;0;73;806.0;5;152000;120566.0;31434.0;0;0;0;0;0;;46.92351;5.51364;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;39525;0000;395250000;Z;39
pr;mn;v;39700;;0;151;;6;328000;;;0;0;2;0;0;;47.15719;5.63208;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;39285;0000;392850000;Z;39
pr;mn;v;39380;;0;92;686.0;6;163000;136900.0;26100.0;0;0;0;0;0;;46.96859;5.59929;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;39365;0000;393650000;Z;39
pr;mn;v;39290;;0;155;750.0;6;325000;;;0;0;2;0;0;;47.26336;5.50685;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;39096;0000;390960000;Z;39
pr;mn;v;39700;;0;126;2000.0;6;307000;;;0;0;1;0;0;;47.16475;5.74408;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;39190;0000;391900000;Z;39
pr;a;l;39100;39198;1;104;;4;826;;;0;0;0;1;D;210;47.09237;5.48858;0;2.0;;;;0;E;;;;;False;;False;;;Gaz;;Individuel;a;n;a;2020-03;39198;0106;391980106;H;39
pr;m;v;39100;39198;0;80;750.0;4;199500;;;0;0;0;1;A;;47.09601;5.48814;0;1.0;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39198;0106;391980106;H;39
pr;m;v;39100;;0;105;;4;160000;;;681;0;0;0;F;403;47.09534;5.49081;Oui;;;;;0;D;;;;;;;;;;;;;a;n;m;2020-03;39198;0106;391980106;H;39
pr;m;v;39100;39198;0;90;980.0;5;214500;;;0;0;0;1;A;;47.09601;5.48814;0;1.0;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39198;0106;391980106;H;39
pr;a;v;39220;39059;0;55;;3;120000;;;0;0;1;0;E;317;46.52953;6.12;Oui;1.0;;2.0;;0;B;1950.0;;0.0;;False;;False;9.0;600.0;Électrique, Bois;Poêle à Bois;Individuel;a;n;a;2020-03;39059;0000;390590000;Z;39
pr;a;l;39000;39300;2;74;;4;653;;;0;1;0;1;NS;;46.67801;5.54727;0;;;2.0;;0;NS;;;0.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-03;39300;0108;393000108;H;39
pr;an;v;39000;39300;0;87;;4;227900;;;0;0;0;0;0;;46.68147;5.55089;0;;False;0.0;True;0;;;;;False;False;;False;;;;;;ca;o;a;2020-03;39300;0108;393000108;H;39
pr;mn;v;39100;;0;80;750.0;4;199500;143250.0;56250.0;0;0;0;0;0;;47.08041;5.49248;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39198;0110;391980110;H;39
pr;mn;v;39100;;0;88;990.0;4;210000;154000.0;56000.0;0;0;0;0;0;;47.08041;5.49248;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39198;0110;391980110;H;39
pr;mn;v;39100;;0;78;607.0;4;172900;127900.0;45000.0;0;0;1;0;0;;47.08041;5.49248;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39198;0110;391980110;H;39
pr;mn;v;39100;;0;150;500.0;5;313000;;;0;0;0;0;0;;47.08041;5.49248;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39198;0110;391980110;H;39
pr;mn;v;39100;;0;155;;6;357900;;;0;0;0;0;0;;47.08041;5.49248;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39198;0110;391980110;H;39
pr;mn;v;39100;;0;90;1000.0;5;216000;141000.0;75000.0;0;0;0;0;0;;47.08041;5.49248;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39198;0110;391980110;H;39
pr;m;v;39100;39198;0;141;918.0;5;225000;;;0;0;0;0;0;;47.07168;5.4912;Oui;2.0;;;;0;;;;;;;;;;;Bois;;Individuel, Central;a;n;m;2020-03;39198;0110;391980110;H;39
pr;mn;v;39100;;0;94;750.0;4;210000;150000.0;60000.0;0;0;0;0;0;;47.08041;5.49248;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39198;0110;391980110;H;39
pr;m;pi;39370;;0;400;;8;190000;;;792;0;0;0;E;283;46.29427;5.80444;Non;;;;;0;A;;;;;;;;;;;;;a;n;m;2020-03;39068;0000;390680000;Z;39
pr;m;v;39370;39068;0;400;8472.0;8;190000;;;0;0;0;3;E;283;46.29951;5.81327;Non;25.0;;5.0;;0;A;;3.0;;;False;;;;;Bois;;Individuel;m;n;m;2020-03;39068;0000;390680000;Z;39
pr;m;v;39120;39128;0;100;;6;189000;;;0;0;0;0;E;294.0;46.95758;5.41952;Oui;1.0;;;;0;C;;;;;;;;;;Bois;Convecteur;Individuel;a;n;m;2020-03;39128;0000;391280000;Z;39
pr;a;v;39000;39300;5;83;;4;98000;;;0;0;0;1;D;161;46.68215;5.56928;Oui;5.0;;;;0;C;;1.0;;;False;;False;205.0;2400.0;;;;m;n;a;2020-03;39300;0106;393000106;H;39
pr;a;l;39000;39300;3;38;;2;439;;;0;0;0;0;VI;;46.67735;5.55526;0;3.0;;;True;0;VI;;;;False;False;;False;;;;;;a;n;a;2020-03;39300;0106;393000106;H;39
