type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;l;5;90;;3;1011;;;0;0;0;1;0;;41.93023;8.73897;0;5.0;;;;0;;;;;;;;;;;;;Individuel;a;n;a;2020-04;2A004;0102;2A0040102;H;2A
pr;a;l;4;80;;3;720;;;0;0;0;1;E;267.0;41.92696;8.7373;0;4.0;;;;Sud;B;;1.0;;;;;;;;Électrique;;Individuel;a;n;a;2020-03;2A004;0101;2A0040101;H;2A
pr;a;l;0;88;;4;1000;;;0;0;0;0;0;;41.93273;8.73719;Oui;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A004;0102;2A0040102;H;2A
pr;a;l;2;40;;2;698;;;0;0;0;1;NS;;41.92841;8.73669;0;2.0;;;False;0;;;1.0;;;;;False;;;;;;a;n;a;2020-03;2A004;0102;2A0040102;H;2A
pr;a;l;0;52;;2;750;;;0;0;1;0;VI;;41.93157;8.73657;0;;;;;0;VI;;;;;;;;;;;;;a;n;a;2020-03;2A004;0102;2A0040102;H;2A
pr;a;l;0;52;;2;750;;;0;0;1;0;VI;;41.9301;8.7373;0;6.0;;1.0;True;0;NS;1970.0;1.0;1.0;;True;;True;;;;;Individuel;a;n;a;2020-03;2A004;0102;2A0040102;H;2A
pr;a;l;0;52;;2;700;;;0;0;0;0;0;;41.9303;8.73771;Oui;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A004;0102;2A0040102;H;2A
pr;a;l;1;59;;3;1180;;;0;0;1;0;A;1.0;41.87069;8.9636;0;1.0;;;;0;A;;;2.0;;False;;False;;;;;Individuel;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A
pr;a;l;0;40;;2;600;;;0;0;0;0;E;;41.93492;8.70135;Oui;;;;;0;C;;;;;;;;;;;;;a;n;a;2020-03;2A004;0503;2A0040503;H;2A
pr;a;l;9;73;;3;875;;;0;0;0;1;D;222.0;41.93656;8.73896;0;9.0;;1.0;;0;E;;1.0;;;;;True;;;Gaz;;Individuel;a;n;a;2020-03;2A004;0602;2A0040602;H;2A
pr;a;l;1;38;;2;650;;;0;0;1;0;D;216;41.93225;8.74032;0;;;;False;0;B;;1.0;;;;;True;;;Électrique;;;a;n;a;2020-03;2A004;0602;2A0040602;H;2A
pr;a;l;0;56;;3;900;;;0;0;0;0;A;;41.9451;8.75603;Oui;;;;;0;A;;;;;;;;;;;;;a;n;a;2020-03;2A004;0903;2A0040903;H;2A
pr;a;l;0;43;;2;700;;;0;0;0;0;0;;41.94474;8.75122;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A004;0903;2A0040903;H;2A
pr;a;l;0;56;;3;949;;;0;0;1;0;A;;41.94504;8.75641;0;;;;;0;A;;;;;;;;;;;;;a;n;a;2020-03;2A004;0903;2A0040903;H;2A
pr;a;l;0;42;;2;700;;;0;0;1;0;B;78;41.94474;8.7516;0;6.0;;;;0;A;2015.0;1.0;;;;;;;;;;;a;n;a;2020-03;2A004;0903;2A0040903;H;2A
pr;a;l;2;77;;3;980;;;0;0;1;0;D;210.0;41.67645;8.90527;0;0.0;;;;0;;;1.0;1.0;;False;;False;;;Électrique;;Individuel;a;n;a;2020-03;2A249;0000;2A2490000;Z;2A
pr;a;l;0;77;;3;900;;;0;0;0;0;D;210;41.66;8.9;Oui;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A249;0000;2A2490000;Z;2A
pr;a;l;3;87;;4;1350;;;0;0;1;0;0;;41.90898;8.7199;0;4.0;;0.0;;0;;;1.0;0.0;;True;;False;;;Électrique;Climatisation révérsible;Individuel;a;n;a;2020-03;2A004;0401;2A0040401;H;2A
pr;a;l;1;39;;2;650;;;0;0;1;0;C;137;41.93997;8.84222;0;1.0;;;False;0;B;2013.0;;1.0;;;;;;;Électrique;;Individuel;a;n;a;2020-03;2A032;0000;2A0320000;Z;2A
pr;m;l;0;140;1600.0;5;1600;;;0;0;1;1;0;;41.9253;8.8435;0;;;0.0;;0;;1950.0;2.0;0.0;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-03;2A032;0000;2A0320000;Z;2A
pr;a;l;0;45;;2;800;;;0;0;0;0;0;;41.64158;8.93379;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A272;0000;2A2720000;Z;2A
pr;m;l;0;200;;6;1525;;;0;0;1;1;E;280.0;41.62361;8.97584;0;;;;;0;D;;2.0;1.0;;;;;;;Électrique;;Individuel;a;n;m;2020-03;2A272;0000;2A2720000;Z;2A
pr;a;l;4;38;;1;630;;;0;0;1;0;NS;;41.92243;8.73606;0;;;;False;0;;;1.0;;;;;True;;;;;;a;n;a;2020-03;2A004;0201;2A0040201;H;2A
pr;a;l;2;47;;2;800;;;0;0;1;0;D;166;41.9212;8.73844;0;4.0;;0.0;;0;A;;1.0;0.0;;False;;False;;;;;;a;n;a;2020-03;2A004;0201;2A0040201;H;2A
pr;a;l;3;131;;4;1650;;;0;0;1;1;B;70.0;41.91858;8.72923;0;4.0;;1.0;False;Sud;C;1989.0;1.0;1.0;;;;True;;;Gaz;;Individuel;a;n;a;2020-03;2A004;0301;2A0040301;H;2A
pr;a;l;4;140;;4;1626;;;0;0;1;1;C;91.0;41.92044;8.7272;0;5.0;;;;0;C;2001.0;;1.0;;;;True;;;;;Individuel;a;n;a;2020-03;2A004;0301;2A0040301;H;2A
pr;a;l;0;29;;2;500;;;0;0;0;0;0;;41.92434;8.7373;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A004;0103;2A0040103;H;2A
pr;a;l;5;47;;2;798;;;0;0;0;1;B;90;41.93047;8.75774;0;6.0;;1.0;;0;C;;;;;;;True;;;;;Individuel;a;n;a;2020-03;2A004;0801;2A0040801;H;2A
pr;a;l;0;43;;2;705;;;0;0;1;0;B;;41.93041;8.76269;0;;;;;0;A;;;;;;;;;;;;;a;n;a;2020-03;2A004;0801;2A0040801;H;2A
pr;a;l;0;47;;2;700;;;0;0;0;0;B;90;41.93047;8.75774;Oui;;;;;0;C;;;;;;;;;;;;;a;n;a;2020-03;2A004;0801;2A0040801;H;2A
pr;a;l;0;43;;2;700;;;0;0;0;0;0;;41.93024;8.7622;Oui;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A004;0801;2A0040801;H;2A
pr;a;l;0;40;;2;610;;;0;0;0;1;E;;41.91085;8.71053;0;;;;;0;C;;;;;;;;;;;;;a;n;a;2020-03;2A004;0402;2A0040402;H;2A
pr;a;l;4;42;;2;650;;;0;3;0;1;C;131;41.91863;8.67067;0;;;;False;0;D;1997.0;1.0;;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-03;2A004;0402;2A0040402;H;2A
pr;a;l;7;54;;2;740;;;0;0;0;1;0;;41.91849;8.67106;0;8.0;;1.0;;0;;;;;;;;True;;;;;Individuel;a;n;a;2020-03;2A004;0402;2A0040402;H;2A
pr;a;l;0;55;;2;749;;;0;0;0;1;VI;;41.91819;8.67073;0;1.0;;;;0;VI;;;;;;;;;;;;;a;n;a;2020-03;2A004;0402;2A0040402;H;2A
pr;a;l;0;72;;3;830;;;0;0;0;1;0;;41.93455;8.74848;0;6.0;;0.0;;0;;;1.0;0.0;;True;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-03;2A004;0701;2A0040701;H;2A
pr;a;l;2;95;;5;1260;;;0;1;1;1;D;200;41.93673;8.75018;0;6.0;;0.0;;0;;;1.0;1.0;;False;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-03;2A004;0701;2A0040701;H;2A
pr;a;l;2;45;;2;720;;;0;1;1;0;D;174;41.91263;8.7276;0;5.0;;;;0;B;2004.0;;;;;;False;;;Électrique;Climatisation révérsible;;a;n;a;2020-03;2A004;0302;2A0040302;H;2A
pr;a;l;5;93;;4;1150;;;0;0;0;0;C;109.0;41.91999;8.73504;0;0.0;;;;0;D;1970.0;;;;;;False;;;;;;a;n;a;2020-03;2A004;0202;2A0040202;H;2A
pr;a;l;3;100;;5;1154;;;0;0;0;1;0;;41.90945;8.69621;0;3.0;;1.0;;0;;;;;;;;;;;;;Individuel;a;n;a;2020-02;2A004;0402;2A0040402;H;2A
pr;a;l;0;36;;2;700;;;0;0;0;0;0;;41.90546;8.67214;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0402;2A0040402;H;2A
pr;a;l;0;54;;2;825;;;0;0;0;1;A;;41.90926;8.6498;0;;;;;0;A;;;;;;;True;;;;;;a;n;a;2020-02;2A004;0402;2A0040402;H;2A
pr;a;l;4;48;;1;665;;;0;0;1;1;E;251;41.91018;8.68275;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0402;2A0040402;H;2A
