type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;m;l;0;70;;3;800;;;0;0;0;0;0;;42.49302;9.43864;Non;;;;;0;;;;;;;;;;;;;;a;;m;2020-04;2B346;0000;2B3460000;Z;2B
pr;a;l;2;34;;1;480;;;0;0;0;0;C;112;42.68019;9.42777;0;0.0;;1.0;;0;D;1911.0;;;;;;False;;;;;;a;n;a;2020-04;2B033;0201;2B0330201;H;2B
pr;a;l;4;54;;3;590;;;0;0;0;0;C;136;42.68136;9.43787;0;0.0;;;;0;A;1956.0;;;;;;False;;;;;;a;n;a;2020-04;2B033;0301;2B0330301;H;2B
pr;a;l;0;57;;2;500;;;0;0;0;0;E;271;42.55127;9.41824;Non;;;;;0;C;;;;;;;;;;;;;a;;a;2020-04;2B042;0101;2B0420101;H;2B
pr;a;l;2;43;;2;595;;;0;0;0;0;C;144.38;42.67229;9.43388;0;0.0;;1.0;;0;C;1911.0;;;;;;False;;;;;;a;n;a;2020-04;2B033;0502;2B0330502;H;2B
pr;a;l;0;53;;2;730;;;0;0;0;0;C;146;42.30639;9.15567;0;;;;False;0;A;2011.0;;;;;;True;;;;;;a;n;a;2020-04;2B096;0102;2B0960102;H;2B
pr;m;l;0;155;;5;1880;;;0;0;0;0;D;185;42.70082;9.44494;0;0.0;;;False;0;E;1950.0;;;;;;;;;;;;a;n;m;2020-03;2B033;0604;2B0330604;H;2B
pr;a;l;0;65;;4;1000;;;0;0;0;0;B;60;42.55347;8.78971;Non;;;;;0;B;;;;;;;;;;;;;a;n;a;2020-03;2B050;0102;2B0500102;H;2B
pr;a;l;1;77;;3;735;;;0;0;0;1;E;266;42.69264;9.44404;0;6.0;;1.0;;0;F;;;;;;;True;;;;;Individuel;a;n;a;2020-03;2B033;0202;2B0330202;H;2B
pr;a;l;2;23;;1;498;;;0;0;0;0;E;287;42.31303;9.14991;0;4.0;;;;0;C;;;;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-03;2B096;0102;2B0960102;H;2B
pr;a;l;0;51;;3;580;;;0;0;0;0;C;136;42.31566;9.14821;0;;;;;0;A;;;;;;;;;;Électrique;Climatisation révérsible;Individuel;a;n;a;2020-03;2B096;0102;2B0960102;H;2B
pr;a;l;0;26;;1;500;;;0;0;0;0;E;327;42.29699;9.15876;0;;;;;0;C;;;;;;;;;;Électrique;;Individuel;a;n;a;2020-03;2B096;0102;2B0960102;H;2B
pr;m;l;0;94;;4;790;;;0;0;0;0;NS;;42.70079;9.36343;0;;;1.0;;0;;;;;;;;;;;;;;a;n;m;2020-03;2B205;0000;2B2050000;Z;2B
pr;m;l;0;84;;4;830;;;0;0;0;0;C;138;41.97634;9.36695;0;0.0;;;;Est;B;;;;;;;;;;;Convecteur;;a;n;m;2020-03;2B277;0000;2B2770000;Z;2B
pr;a;l;0;85;;3;600;;;0;0;0;0;0;;42.47056;9.48584;Oui;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2B077;0000;2B0770000;Z;2B
pr;a;l;0;63;;3;700;;;0;0;0;0;B;81;42.49302;9.43864;Non;;;;;0;A;;;;;;;;;;;;;a;n;a;2020-03;2B346;0000;2B3460000;Z;2B
pr;a;l;0;43;;2;600;;;0;0;0;0;C;142;42.55994;9.44874;Oui;;;;;0;A;;;;;;;;;;;;;a;n;a;2020-03;2B042;0101;2B0420101;H;2B
pr;a;l;0;40;;2;400;;;0;0;0;0;0;;42.55127;9.41824;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2B042;0101;2B0420101;H;2B
pr;m;l;0;150;1100.0;5;2500;;;0;0;1;2;D;154;42.55946;9.43601;0;1.0;;3.0;False;0;D;1981.0;3.0;4.0;;False;;;;;Électrique;;Individuel;a;n;m;2020-03;2B042;0101;2B0420101;H;2B
pr;a;l;0;46;;2;500;;;0;0;0;0;C;126;42.55127;9.41824;Non;;;;;0;A;;;;;;;;;;;;;a;n;a;2020-03;2B042;0101;2B0420101;H;2B
pr;a;l;1;53;;3;660;;;0;0;0;1;D;197;42.6848;9.44432;0;5.0;;;;0;B;;;;;;;;;;;;Individuel;a;n;a;2020-03;2B033;0201;2B0330201;H;2B
pr;a;l;0;61;;3;730;;;0;0;0;1;E;243;42.68954;9.43394;0;2.0;;;;0;C;2015.0;;;;;;;;;;;Individuel;a;n;a;2020-03;2B033;0201;2B0330201;H;2B
pr;a;l;0;95;;3;1000;;;0;0;0;0;C;125;42.418;9.28429;Non;;;;;0;A;;;;;;;;;;;;;a;n;a;2020-03;2B122;0000;2B1220000;Z;2B
pr;a;l;0;66;;3;700;;;0;0;0;0;D;156;42.418;9.28429;Non;;;;;0;A;;;;;;;;;;;;;a;n;a;2020-03;2B122;0000;2B1220000;Z;2B
pr;m;l;0;93;;5;1000;;;0;0;0;0;C;148;42.418;9.28429;Non;;;;;0;B;;;;;;;;;;;;;a;n;m;2020-03;2B122;0000;2B1220000;Z;2B
pr;a;l;0;65;;3;700;;;0;0;0;0;D;202;42.418;9.28429;Non;;;;;0;B;;;;;;;;;;;;;a;n;a;2020-03;2B122;0000;2B1220000;Z;2B
pr;a;l;0;29;;1;400;;;0;0;0;0;C;146;42.55065;9.45202;Oui;;;;;0;A;;;;;;;;;;;;;a;n;a;2020-03;2B148;0000;2B1480000;Z;2B
pr;a;l;0;48;;2;500;;;0;0;0;0;E;232;42.53829;9.50817;Oui;;;;;0;C;;;;;;;;;;;;;a;n;a;2020-03;2B148;0000;2B1480000;Z;2B
pr;a;l;3;46;;2;685;;;0;0;0;0;0;;42.72349;9.45537;0;6.0;;;;Sud-Est;;;;;;;;;;;Électrique;Radiateur;Individuel;a;n;a;2020-03;2B305;0000;2B3050000;Z;2B
pr;a;l;0;53;;2;560;;;0;0;0;1;0;;42.69851;9.44449;0;5.0;;1.0;True;Est;;;1.0;1.0;;;;True;;;;;;a;n;a;2020-03;2B033;0601;2B0330601;H;2B
pr;a;l;4;90;;4;1050;;;0;0;1;0;0;;42.69971;9.4497;0;;;;False;0;;;1.0;;;;;True;;;;;;a;n;a;2020-03;2B033;0601;2B0330601;H;2B
pr;m;l;0;65;;3;900;;;0;0;0;0;0;;42.61951;9.42373;Non;;;;;0;;;;;;;;;;;;;;a;n;m;2020-03;2B037;0101;2B0370101;H;2B
pr;a;l;0;40;;2;456;;;0;1;1;0;A;27;42.6659;9.31672;0;0.0;;;;0;A;2016.0;;;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-03;2B185;0000;2B1850000;Z;2B
pr;m;l;0;90;;4;1000;;;0;0;0;1;E;239;42.65549;9.41754;0;;;2.0;;0;F;;;;;;;;;;;;Individuel;a;n;m;2020-03;2B120;0000;2B1200000;Z;2B
pr;a;l;0;34;;1;566;;;0;0;1;0;D;190;42.70592;9.453;0;8.0;;;;0;B;;;;;;;;;;;;Individuel;a;n;a;2020-03;2B033;0701;2B0330701;H;2B
pr;a;l;0;20;;1;300;;;0;0;0;0;0;;42.70311;9.45093;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2B033;0701;2B0330701;H;2B
pr;a;l;2;81;;4;730;;;0;0;0;1;C;139;42.74666;9.43321;0;;;1.0;True;Nord-Sud;D;;1.0;;;;;False;;;Gaz;;Collectif;a;n;a;2020-02;2B309;0000;2B3090000;Z;2B
pr;a;l;1;85;;4;830;;;0;0;0;1;0;;42.74881;9.45784;0;1.0;;1.0;;0;;;;;;;;;;;;;Individuel;a;n;a;2020-02;2B309;0000;2B3090000;Z;2B
pr;a;l;4;90;;4;926;;;0;0;0;0;D;170;42.30812;9.14997;0;5.0;;;;Est-Ouest;B;;;;;;;;;;Électrique;Convecteur;Individuel;a;n;a;2020-02;2B096;0101;2B0960101;H;2B
pr;a;l;0;29;;1;498;;;0;0;0;0;E;245;42.31268;9.15056;0;3.0;;;;0;B;;;;;;;True;;;Électrique;;Individuel;a;n;a;2020-02;2B096;0102;2B0960102;H;2B
pr;a;l;0;39;;2;490;;;0;0;0;1;E;305;42.81125;9.46754;0;1.0;;1.0;;0;C;;;;;;;;;;;;Individuel;a;n;a;2020-02;2B281;0000;2B2810000;Z;2B
pr;m;l;0;117;;6;1100;;;0;0;0;0;C;143;42.80944;9.48695;0;0.0;;;False;0;D;1930.0;;;;;;;;;;;;a;n;m;2020-02;2B281;0000;2B2810000;Z;2B
pr;a;l;0;61;59.0;3;650;;;0;0;0;0;C;;42.77964;9.4788;0;;;0.0;;0;;;;;;;;;;;;;;a;n;a;2020-02;2B043;0000;2B0430000;Z;2B
pr;a;l;5;80;;4;800;;;0;0;0;0;C;113.35;42.68981;9.43333;0;0.0;;;;0;D;;;;;;;False;;;;;;a;n;a;2020-02;2B033;0201;2B0330201;H;2B
pr;a;l;3;58;;2;605;;;0;0;0;0;D;156.62;42.68028;9.4275;0;0.0;;;;0;B;;;;;;;False;;;;;;a;n;a;2020-02;2B033;0201;2B0330201;H;2B
pr;a;l;0;46;;2;640;;;0;0;0;0;0;;42.64688;9.43671;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2B120;0000;2B1200000;Z;2B
pr;a;l;2;45;;2;520;;;0;1;0;1;A;40;42.66109;9.31954;0;0.0;;;;0;A;2015.0;;1.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-02;2B185;0000;2B1850000;Z;2B
pr;a;l;0;92;;4;1110;;;0;0;1;0;C;93;42.70878;9.45144;0;5.0;;1.0;;0;A;2013.0;1.0;2.0;;True;;True;;;Électrique;;Individuel;a;n;a;2020-02;2B033;0701;2B0330701;H;2B
