type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;l;1;56;;3;615;;;0;1;0;1;0;;45.61819;5.20411;0;3.0;;;;0;;;;;;False;;False;;;Électrique;Convecteur;;a;n;a;2020-04;38193;0101;381930101;H;38
pr;m;l;0;103;;5;985;;;0;0;1;1;D;183;45.59198;4.91057;0;2.0;;;;0;B;;;;;False;;;;;Électrique;Convecteur;;a;n;m;2020-04;38558;0000;385580000;Z;38
pr;a;l;0;49;;3;500;;;0;0;0;0;E;289;45.81629;5.40139;Non;;;;;0;C;;;;;;;;;;;;;a;;a;2020-04;38247;0000;382470000;Z;38
pr;a;l;2;103;;5;732;;;0;1;0;1;F;370.0;45.6081;5.17582;0;;;0.0;;0;D;1981.0;;0.0;;;;False;;;Électrique;Convecteur;;a;n;a;2020-04;38553;0107;385530107;H;38
pr;m;l;0;70;33.0;3;704;;;0;0;0;1;D;204;45.58445;5.6096;0;0.0;;1.0;False;0;B;;;0.0;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-04;38012;0000;380120000;Z;38
pr;m;l;0;73;;3;800;;;0;0;0;1;E;238.0;45.51517;5.26365;0;;;1.0;;0;F;;;;;False;;;;;Fioul;;;a;n;m;2020-04;38512;0000;385120000;Z;38
pr;a;l;2;62;;3;890;;;0;0;0;1;E;298;45.18423;5.79864;0;4.0;;;;0;C;2009.0;;2.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;38179;0102;381790102;H;38
pr;a;l;2;35;;1;455;;;0;0;0;1;B;80;45.18351;5.78921;0;;;0.0;;0;C;;;0.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;38179;0101;381790101;H;38
pr;a;l;0;74;;3;400;;;0;0;0;0;0;;44.94359;5.81663;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;38396;0000;383960000;Z;38
pr;a;l;0;64;;4;900;;;0;0;0;0;0;;45.16304;5.71206;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;38185;0310;381850310;H;38
pr;a;l;0;85;;4;600;;;0;0;0;0;C;131;45.37241;6.04735;Oui;;;;;0;E;;;;;;;;;;;;;a;;a;2020-04;38439;0000;384390000;Z;38
pr;a;l;4;50;;2;573;;;0;1;0;1;F;403.0;45.18234;5.73675;0;4.0;;0.0;;0;D;;;0.0;;;;False;;;;;;a;n;a;2020-04;38185;0405;381850405;H;38
pr;a;l;0;66;;3;608;;;0;0;0;1;E;312;45.14422;5.7018;0;4.0;;;True;0;F;1968.0;1.0;;;;;False;;;;;;a;n;a;2020-04;38151;0104;381510104;H;38
pr;a;l;2;65;;3;605;;;0;1;0;1;C;125.64;45.52998;4.88203;0;;;;;0;C;;;;;False;;False;;;Électrique;Convecteur;;a;n;a;2020-04;38544;0301;385440301;H;38
pr;a;l;3;64;;3;880;;;0;1;0;1;B;52;45.23139;5.68448;0;4.0;;1.0;False;Sud;C;;1.0;;;;;True;;;Gaz;Radiateur;;a;n;a;2020-04;38382;0201;383820201;H;38
pr;a;l;0;63;;3;568;;;0;0;0;1;E;284;45.56621;5.44604;0;4.0;;0.0;;Ouest;C;;;1.0;;;;True;;;Électrique;Radiateur;Individuel;a;n;a;2020-04;38509;0103;385090103;H;38
pr;a;l;3;40;;3;469;;;0;0;0;1;D;199;45.38629;5.73498;0;3.0;;;True;0;E;;1.0;;;;;;;;Gaz;;;a;n;a;2020-04;38412;0000;384120000;Z;38
pr;a;l;0;25;;1;338;;;0;0;1;0;F;432;45.18352;5.71091;0;;;;False;0;D;1949.0;1.0;;;;;False;;;;;;a;n;a;2020-04;38185;0110;381850110;H;38
pr;a;l;2;35;;1;467;;;0;0;0;1;D;223;45.19381;5.72242;0;;;;False;0;B;;;;;;;False;;;;;;a;n;a;2020-04;38185;0201;381850201;H;38
pr;a;l;1;31;;1;288;;;0;0;0;1;G;657;45.41687;5.55191;0;2.0;;;;0;E;1948.0;1.0;;;;;;;;Électrique;;Individuel;a;n;a;2020-04;38105;0000;381050000;Z;38
pr;a;l;0;20;;1;450;;;0;1;1;0;VI;;45.25652;5.99463;0;;;0.0;;0;VI;;;0.0;;;;False;;;Électrique;Radiateur;Individuel;a;n;a;2020-04;38002;0000;380020000;Z;38
pr;a;l;7;15;;1;325;;;0;0;1;0;G;638;45.18865;5.73074;0;7.0;;0.0;;0;E;;;0.0;;;;True;;;Électrique;;Individuel;a;n;a;2020-04;38185;0212;381850212;H;38
pr;a;l;8;29;;1;499;;;0;0;1;0;D;219.0;45.18759;5.72921;0;8.0;;;False;0;B;;1.0;;;;;True;;;;;Individuel;a;n;a;2020-04;38185;0212;381850212;H;38
