type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG
pr;m;l;0;20;;2;500;;;0;0;0;1;D;229.0;44.08955;6.02473;0;;;1.0;;0;D;;;;;;;;;;;;Individuel;a;n;m;2020-04;04079;0000;040790000;Z;04;93.0
pr;m;l;0;63;;3;750;;;0;0;0;0;VI;;44.39199;6.61553;0;;;;False;0;VI;;2.0;;;;;;;;Électrique;;;a;n;m;2020-04;04195;0000;041950000;Z;04;93.0
pr;m;l;0;87;;4;1880;;;0;0;0;1;D;151;43.30275;5.44852;0;;;1.0;False;0;D;;2.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-04;13212;0102;132120102;H;13;93.0
pr;m;l;0;113;;4;2080;;;0;0;1;1;D;151.0;43.303;5.44874;0;;;1.0;False;0;D;;2.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-04;13212;0102;132120102;H;13;93.0
pr;m;l;0;87;;4;1910;;;0;0;0;1;D;151;43.30281;5.4484;0;;;1.0;False;0;D;;2.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-04;13212;0102;132120102;H;13;93.0
pr;m;l;0;65;213.0;3;895;;;0;0;1;0;B;60;43.74587;5.08435;0;1.0;;;;Est;B;2013.0;1.0;;;False;;;;;;;Individuel;a;n;m;2020-04;13105;0102;131050102;H;13;93.0
pr;m;l;0;113;100.0;4;2346;;;0;0;0;2;D;151;43.24838;5.43602;0;;;1.0;False;0;D;;2.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-04;13209;0902;132090902;D;13;93.0
pr;m;l;0;109;500.0;4;1396;;;0;0;0;0;C;94;43.43295;5.42671;0;2.0;;;;0;D;;;;;;;;;;;;;a;n;m;2020-04;13107;0101;131070101;H;13;93.0
pr;a;l;0;90;;3;1300;;;0;0;0;0;D;;43.59266;7.12203;Non;;;;;0;E;;;;;;;;;;;;;a;;a;2020-04;06004;0112;060040112;H;06;93.0
pr;a;l;1;30;;2;620;;;0;0;0;1;E;320;43.5934;7.12028;0;3.0;;;;0;C;;;;;;;True;;;;;Individuel;a;n;a;2020-04;06004;0112;060040112;H;06;93.0
pr;a;l;0;30;;2;600;;;0;0;0;0;E;320;43.5934;7.12026;Oui;;;;;0;C;;;;;;;;;;;;;a;;a;2020-04;06004;0112;060040112;H;06;93.0
