type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;a;v;0;67;;3;380000;;;1591;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;;;;;;;5671.64
pr;a;v;0;96;;4;540000;;;2259;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;;;;;;;5625.0
pr;a;v;0;69;;3;390000;;;1620;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;;;;;;;5652.17
pr;a;v;0;71;;3;400000;;;1678;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;;;;;;;5633.8
pr;a;v;0;68;;3;390000;;;1633;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;;;;;;;5735.29
pr;a;v;0;47;;2;260000;;;1109;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;;;;;;;5531.91
pr;a;v;0;92;;4;520000;;;2177;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;;;;;;;5652.17
pr;a;v;0;49;;2;280000;;;1175;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;;;;;;;5714.29
pr;a;v;0;111;;4;630000;;;2605;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;;;;;;;5675.68
pr;a;v;0;48;;2;270000;;;1138;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;;;;;;;5625.0
pr;a;v;0;112;;4;630000;;;2626;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;;;;;;;5625.0
pr;m;v;0;74;1408.0;3;450000;;;0;0;1;0;D;202;41.69534;9.35385;Non;;;1.0;;sud-ouest;B;;1.0;;;False;;;;;;;Individuel;m;n;m;2020-04;2A362;0000;2A3620000;Z;2A;;;;;;;6081.08
pr;an;v;0;45;;2;125900;;;0;0;0;0;0;;41.85248;8.80689;0;;True;1.0;;0;;;;;False;False;;False;54.0;;;;;ca;o;a;2020-04;2A228;0000;2A2280000;Z;2A;;;;;;;2797.78
pr;a;v;0;146;;5;629000;;;0;0;0;2;C;95.0;41.56348;9.31526;Oui;1.0;;1.0;False;Sud-Est;A;;2.0;2.0;;;;False;;;Électrique;;Individuel;a;n;a;2020-04;2A247;0202;2A2470202;H;2A;;;;;;;4308.22
pr;m;v;0;95;1200.0;5;386000;;;0;0;0;1;C;121;41.55964;9.27557;Oui;;;2.0;;Sud;A;;1.0;;;False;;;;;Électrique;;;m;n;m;2020-04;2A247;0202;2A2470202;H;2A;;;;;;;4063.16
pr;m;v;0;110;1350.0;5;460000;;;0;0;0;2;VI;;41.58215;9.28098;Oui;;;1.0;;Sud;;;2.0;;;False;;;;;;;;m;n;m;2020-04;2A247;0201;2A2470201;H;2A;;;;;;;4181.82
pr;m;v;0;95;;5;380000;;;1600;0;0;0;C;121;41.5929;9.2535;Non;;;;;0;A;;;;;;;;;;;;;a;;m;2020-04;2A247;0201;2A2470201;H;2A;;;;;;;4000.0
pr;m;v;0;136;2860.0;6;420000;;;0;0;0;1;VI;;41.58215;9.28098;Oui;;;;;Sud;;;;;;False;;;;;;;;m;n;m;2020-04;2A247;0201;2A2470201;H;2A;;;;;;;3088.24
pr;a;v;0;45;;2;225000;;;0;0;1;0;A;;41.88823;8.80856;Oui;3.0;;;;0;A;2020.0;1.0;1.0;;;;True;20.0;1000.0;;;Individuel;a;n;a;2020-04;2A130;0000;2A1300000;Z;2A;20.22;4.0;0.049;20.22;4.0;0.049;5000.0
pr;m;v;0;190;1700.0;6;1180000;;;0;0;4;0;C;150.0;41.89212;8.80717;Non;1.0;;4.0;True;0;E;1997.0;5.0;4.0;;;;;;;;;Individuel;a;n;m;2020-04;2A130;0000;2A1300000;Z;2A;;;;;;;6210.53
pr;a;v;1;65;;2;172900;;;0;0;0;1;D;207;41.92872;8.73374;Non;5.0;;;True;Nord-Est;C;1955.0;;2.0;;;;False;45.0;880.0;Électrique;Radiateur;Individuel;a;n;a;2020-04;2A004;0102;2A0040102;H;2A;14.42;9.0;0.065;16.3;128.0;0.074;2660.0
pr;m;v;0;110;;5;460000;;;1905;0;0;0;0;;41.58311;9.28328;Non;;;;;0;;;;;;;;;;;;;;a;;m;2020-04;2A247;0102;2A2470102;H;2A;;;;;;;4181.82
pr;m;v;0;92;1915.0;5;467900;;;0;0;0;1;F;446;41.79278;8.75097;Non;;;;;0;E;;;;;False;;;;;;;;m;n;m;2020-03;2A098;0000;2A0980000;Z;2A;;;;;;;5085.87
pr;a;v;0;95;;4;515000;;;0;0;0;0;VI;;41.86159;8.79374;Non;4.0;;;;Ouest;VI;;;;;;;;;;;;;a;n;a;2020-03;2A008;0000;2A0080000;Z;2A;17.48;1.0;0.039;17.48;1.0;0.039;5421.05
pr;m;v;0;55;50.0;3;255000;;;0;0;1;0;C;100;41.85326;8.7999;Non;1.0;;;;Sud-Est;C;;1.0;;;;;;;;;;Individuel;a;n;m;2020-03;2A008;0000;2A0080000;Z;2A;;;;;;;4636.36
pr;m;v;0;226;950.0;12;568000;;;0;1;0;3;D;176;41.77916;9.39458;Oui;2.0;;6.0;;0;B;;3.0;;;False;;;43.0;;Bois;;;m;n;m;2020-03;2A269;0000;2A2690000;Z;2A;;;;;;;2513.27
pr;a;v;0;42;;1;160000;;;0;0;1;0;VI;;42.15353;8.63095;Non;2.0;;;;0;G;;1.0;;;True;;False;8.0;;;;Individuel;a;n;a;2020-03;2A065;0000;2A0650000;Z;2A;;;;;;;3809.52
pr;a;v;0;68;;3;274000;;;0;0;1;0;VI;;42.14409;8.64243;Non;2.0;;;;0;G;;1.0;;;True;;False;8.0;;;;Individuel;a;n;a;2020-03;2A065;0000;2A0650000;Z;2A;;;;;;;4029.41
pr;a;v;0;54;;2;214000;;;0;0;1;0;VI;;42.15;8.63622;Non;2.0;;;;Sud-Est;G;;1.0;;;True;;False;8.0;;;;Individuel;a;n;a;2020-03;2A065;0000;2A0650000;Z;2A;;;;;;;3962.96
pr;m;v;0;234;1500.0;7;941000;;;0;0;1;2;C;102;41.59352;9.27575;Non;2.0;;3.0;False;Sud;C;1999.0;1.0;3.0;;;;;;;Électrique;;;a;n;m;2020-03;2A247;0101;2A2470101;H;2A;;;;;;;4021.37
pr;a;v;0;94;;3;567000;;;0;0;0;0;C;133.0;41.58876;9.28692;Non;;;;False;Est;A;2015.0;;;;;;True;;;;;Individuel;a;n;a;2020-03;2A247;0101;2A2470101;H;2A;;;;14.23;2.0;0.028;6031.91
pr;a;v;0;88;;3;270000;;;1142;0;0;0;0;;41.9291;8.73799;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A004;0102;2A0040102;H;2A;11.51;2.0;0.045;12.86;109.0;0.05;3068.18
pr;a;v;0;115;;3;335000;;;0;3;0;1;E;243.0;41.92855;8.73532;Non;7.0;;1.0;;0;C;1966.0;2.0;;;;;True;;961.0;Électrique;;;a;n;a;2020-03;2A004;0102;2A0040102;H;2A;11.51;2.0;0.047;12.86;109.0;0.053;2913.04
pr;a;v;0;70;;3;165000;;;0;0;0;1;D;187;41.9314;8.73872;Oui;5.0;;;;0;B;;;;;;;False;25.0;592.0;;;;a;n;a;2020-03;2A004;0102;2A0040102;H;2A;11.51;2.0;0.059;12.86;109.0;0.065;2357.14
pr;a;v;0;74;;3;210000;;;0;0;0;1;VI;;41.93041;8.73899;Oui;6.0;;;;0;VI;;;;;;;True;18.0;800.0;;;;a;n;a;2020-03;2A004;0102;2A0040102;H;2A;11.51;2.0;0.049;12.86;109.0;0.054;2837.84
pr;a;v;0;56;;2;240000;;;1019;0;0;0;0;;41.92893;8.7384;Non;;;;;0;;;;;;;;;;;;;;a;n;a;2020-03;2A004;0102;2A0040102;H;2A;14.42;9.0;0.04;16.3;128.0;0.046;4285.71
pr;a;v;0;19;;1;130000;;;565;0;0;0;E;260;41.8861;8.81416;Oui;;;;;0;B;;;;;;;;;;;;;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A;23.12;3.0;0.041;23.12;3.0;0.041;6842.11
pr;a;v;0;49;;3;290000;;;1241;0;0;0;F;424;41.87678;8.78623;Non;;;;;0;D;;;;;;;;;;;;;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A;19.64;4.0;0.04;19.64;4.0;0.04;5918.37
pr;m;v;0;222;2200.0;5;1283000;;;0;0;4;0;C;124;41.88742;8.81316;Non;2.0;;6.0;;Ouest;A;;4.0;;;False;;;;;;;Individuel;m;n;m;2020-03;2A130;0000;2A1300000;Z;2A;;;;;;;5779.28
pr;a;v;0;68;;3;315000;;;0;0;0;0;NS;;41.88091;8.80469;Non;;;;;0;;;;;;False;;False;;;;;;m;n;a;2020-03;2A130;0000;2A1300000;Z;2A;19.64;4.0;0.051;19.64;4.0;0.051;4632.35
pr;a;v;0;64;;3;310000;;;0;0;1;0;A;5.0;41.88317;8.79622;Non;1.0;;;;Sud;A;2019.0;1.0;1.0;;;;False;;;;;Individuel;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A;19.64;4.0;0.049;19.64;4.0;0.049;4843.75
pr;a;v;0;33;;1;174850;;;0;0;0;0;0;;41.89139;8.8047;0;;;;;Sud;;;;;;;;True;;;;;;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A;23.12;3.0;0.052;23.12;3.0;0.052;5298.48
pr;a;v;0;48;;2;239000;;;0;0;1;0;A;30.0;41.88341;8.78385;Non;1.0;;;;Sud;A;2019.0;1.0;;;;;;;;;;Individuel;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A;20.22;4.0;0.049;20.22;4.0;0.049;4979.17
pr;a;v;0;33;;2;145000;;;0;0;0;1;0;;41.8863;8.80992;Oui;1.0;;10.0;;0;;;;;;;;;181.0;59.88;;;;a;n;a;2020-03;2A130;0000;2A1300000;Z;2A;20.22;4.0;0.055;20.22;4.0;0.055;4393.94
