type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;m;v;0;96;660.0;5;223000;;;0;0;0;1;0;;44.63316;3.47801;Oui;;;3.0;;0;;;;;;;;;;;;;Individuel;a;n;m;2020-04;48127;0000;481270000;Z;48;;;;;;;2322.92
pr;m;v;0;63;470.0;4;66000;;;0;0;0;1;0;;44.78579;3.39284;Oui;;;2.0;;0;;;;;;;;;;;;;Individuel;a;n;m;2020-04;48132;0000;481320000;Z;48;;;;;;;1047.62
pr;m;v;0;145;1000.0;6;239000;;;0;0;0;0;D;158;44.72078;3.28212;Oui;1.0;;;False;0;D;2006.0;;;;False;;;;;Fioul;;;m;n;m;2020-04;48009;0000;480090000;Z;48;;;;;;;1648.28
pr;mn;v;0;90;696.0;5;197860;156100.0;41760.0;0;0;0;0;0;;44.43963;3.57675;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48147;0000;481470000;Z;48;;;;;;;2198.44
pr;mn;v;0;80;696.0;3;193820;152060.0;41760.0;0;0;0;0;0;;44.43963;3.57675;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48147;0000;481470000;Z;48;;;;;;;2422.75
pr;mn;v;0;90;926.0;4;217830;139120.0;78710.0;0;0;0;0;0;;44.45364;3.33797;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48039;0000;480390000;Z;48;;;;;;;2420.33
pr;mn;v;0;90;840.0;4;194712;144312.0;50400.0;0;0;0;0;0;;44.49282;3.58856;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48081;0000;480810000;Z;48;;;;;;;2163.47
pr;m;v;0;200;1000.0;6;35000;;;0;0;0;0;VI;;44.70337;3.38855;Oui;;;;True;0;;;;;;;;;;;;;;a;n;m;2020-04;48188;0000;481880000;Z;48;;;;;;;175.0
pr;mn;v;0;100;933.0;5;209840;153860.0;55980.0;0;0;0;0;0;;44.47912;3.36904;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48056;0000;480560000;Z;48;;;;;;;2098.4
pr;mn;v;0;100;627.0;4;204620;157620.0;47000.0;0;0;0;0;0;;44.51963;3.41006;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48018;0000;480180000;Z;48;;;;;;;2046.2
pr;mn;v;0;90;591.0;4;189820;145520.0;44300.0;0;0;0;0;0;;44.51963;3.41006;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48018;0000;480180000;Z;48;;;;;;;2109.11
pr;mn;v;0;100;842.0;5;229400;149400.0;80000.0;0;0;0;0;0;;44.53071;3.48398;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48095;0101;480950101;H;48;;;;;;;2294.0
pr;mn;v;0;120;842.0;5;243740;163740.0;80000.0;0;0;0;0;0;;44.53071;3.48398;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48095;0101;480950101;H;48;;;;;;;2031.17
pr;mn;v;0;100;1084.0;5;211040;146000.0;65040.0;0;0;0;0;0;;44.5403;3.55412;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48013;0000;480130000;Z;48;7.14;1.0;0.041;7.14;1.0;0.041;2110.4
pr;mn;v;0;80;600.0;4;201760;147760.0;54000.0;0;0;0;0;0;;44.5403;3.55412;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48013;0000;480130000;Z;48;;;;;;;2522.0
pr;mn;v;0;90;600.0;4;204400;139400.0;65000.0;0;0;0;0;0;;44.5403;3.55412;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48013;0000;480130000;Z;48;;;;;;;2271.11
pr;mn;v;0;90;876.0;4;214630;148780.0;65850.0;0;0;0;0;0;;44.56605;3.49043;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48042;0000;480420000;Z;48;;;;;;;2384.78
pr;mn;v;0;110;921.0;4;223310;160002.0;63308.0;0;0;0;0;0;;44.56605;3.49043;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48042;0000;480420000;Z;48;;;;;;;2030.09
pr;mn;v;0;100;729.0;5;201440;162440.0;39000.0;0;0;0;0;0;;44.51233;3.22437;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48099;0000;480990000;Z;48;;;;;;;2014.4
pr;mn;v;0;90;712.0;4;193740;155740.0;38000.0;0;0;0;0;0;;44.51233;3.22437;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48099;0000;480990000;Z;48;;;;;;;2152.67
pr;mn;v;0;100;509.0;5;202610;162908.0;39702.0;0;0;0;0;0;;44.56605;3.49043;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48042;0000;480420000;Z;48;;;;;;;2026.1
pr;mn;v;0;80;509.0;4;197742;158040.0;39702.0;0;0;0;0;0;;44.56605;3.49043;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;48042;0000;480420000;Z;48;;;;;;;2471.78
pr;m;v;0;120;250.0;4;89000;;;0;0;0;0;VI;;44.72092;3.28416;Oui;2.0;;;False;0;VI;1850.0;;;;False;;;;;Fioul;Radiateur;;m;n;m;2020-03;48009;0000;480090000;Z;48;;;;;;;741.67
pr;m;v;0;127;;11;116000;;;0;0;0;0;0;;44.77789;3.39023;Oui;2.0;;;;Sud;;;;;;;;;;;Fioul;Radiateur;Individuel;a;n;m;2020-03;48132;0000;481320000;Z;48;;;;;;;913.39
pr;m;v;0;340;1540.0;13;399000;;;0;0;5;0;F;418.8;44.72039;3.8615;Non;2.0;;;False;Sud;D;;5.0;;;;;;;;;;Individuel;a;n;m;2020-03;48080;0000;480800000;Z;48;;;;;;;1173.53
pr;m;v;0;480;2400.0;15;480000;;;0;0;0;4;C;150;44.86335;3.36376;Non;3.0;;;False;Sud;E;1608.0;3.0;;;;;;;;Gaz;Radiateur;;a;n;m;2020-03;48089;0000;480890000;Z;48;;;;;;;1000.0
pr;a;v;1;44;;2;79900;;;0;0;0;1;D;225;44.55139;3.29239;Oui;2.0;;;;0;C;;;;;;;;40.0;200.0;;;Individuel;a;n;a;2020-03;48092;0101;480920101;H;48;9.5;1.0;0.063;9.5;1.0;0.063;1815.91
pr;m;v;0;122;;6;120000;;;524;0;0;0;0;;44.55013;3.28989;Oui;;;;;0;;;;;;;;;;;;;;a;n;m;2020-03;48092;0101;480920101;H;48;;;;;;;983.61
pr;m;v;0;300;1391.0;10;389000;;;0;0;0;8;E;277;44.37077;3.52673;Non;4.0;;5.0;False;Sud;E;;8.0;2.0;;;;;;;Fioul;Radiateur;;a;n;m;2020-03;48146;0000;481460000;Z;48;;;;;;;1296.67
pr;mn;v;0;100;636.0;3;203920;153040.0;50880.0;0;0;0;0;0;;44.47313;3.49112;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;48137;0000;481370000;Z;48;;;;;;;2039.2
pr;mn;v;0;90;691.0;4;204360;149080.0;55280.0;0;0;0;0;0;;44.47313;3.49112;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;48137;0000;481370000;Z;48;;;;;;;2270.67
pr;mn;v;0;90;663.0;4;204840;143844.0;60996.0;0;0;0;0;0;;44.42908;3.17904;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;48017;0000;480170000;Z;48;;;;;;;2276.0
pr;m;v;0;95;1200.0;4;182000;;;0;0;0;1;0;;44.46846;3.34216;Oui;;;3.0;;0;;;;;;;;;;;;;Individuel;a;n;m;2020-03;48039;0000;480390000;Z;48;;;;;;;1915.79
pr;mn;v;0;100;926.0;5;215150;141065.0;74085.0;0;0;0;0;0;;44.45364;3.33797;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;48039;0000;480390000;Z;48;;;;;;;2151.5
pr;mn;v;0;110;888.0;5;211960;149860.0;62100.0;0;0;0;0;0;;44.51963;3.41006;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;48018;0000;480180000;Z;48;;;;;;;1926.91
pr;mn;v;0;80;709.0;3;211830;130295.0;81535.0;0;0;0;0;0;;44.53071;3.48398;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;48095;0101;480950101;H;48;;;;10.56;2.0;0.048;2647.88
pr;mn;v;0;110;729.0;5;206350;167350.0;39000.0;0;0;0;0;0;;44.51233;3.22437;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;48099;0000;480990000;Z;48;;;;;;;1875.91
pr;m;v;0;90;10.0;4;35500;;;0;1;1;0;VI;;44.59569;3.30223;Oui;1.0;;;True;0;;;1.0;;;;;;;;;;;a;n;m;2020-03;48168;0000;481680000;Z;48;;;;;;;394.44
pr;m;v;0;90;350.0;5;220000;;;0;1;1;0;VI;;44.30571;3.32966;Non;1.0;;1.0;True;0;;;;;;;;;;;;;;a;n;m;2020-03;48088;0000;480880000;Z;48;;;;;;;2444.44
pr;m;v;0;87;165.0;4;145000;;;0;0;0;2;0;;44.4846;3.9686;Oui;;;3.0;;0;;;;;;;;;;;;;Individuel;a;n;m;2020-03;48015;0000;480150000;Z;48;;;;;;;1666.67
