type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;m;v;0;110;2400.0;5;135900;;;0;0;1;0;D;225.0;48.12874;-3.06348;Non;1.0;;1.0;False;0;B;;1.0;;;;;;;;;;;a;n;m;2020-04;56041;0000;560410000;Z;56;53.0;5.56;1.0;0.054;5.56;1.0;0.054;1235.45
pr;a;v;0;72;;3;249000;;;0;0;1;0;A;;48.05108;-1.611;Non;;;;;0;;;1.0;;;;;;;;;;;a;n;a;2020-04;35352;0102;353520102;H;35;53.0;;;;;;;3458.33
pr;m;v;0;170;2000.0;6;248000;;;0;0;2;0;D;191;48.44807;-2.71864;Oui;2.0;;4.0;False;0;E;1978.0;2.0;;;;;;;;;;;a;n;m;2020-04;22176;0102;221760102;H;22;53.0;;;;;;;1458.82
pr;a;v;0;43;;2;192500;;;0;0;1;0;VI;;48.15708;-1.77157;Non;4.0;;1.0;;0;VI;;1.0;;;True;;;35.0;;Gaz;;Individuel;a;n;a;2020-04;35210;0102;352100102;H;35;53.0;;;;11.83;3.0;0.032;4476.74
pr;mn;v;0;65;1130.0;3;167488;;;0;0;1;0;0;;48.02467;-3.81795;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;29281;0000;292810000;Z;29;53.0;;;;;;;2576.74
pr;mn;v;0;100;1130.0;4;186488;;;0;0;1;0;0;;48.02467;-3.81795;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;29281;0000;292810000;Z;29;53.0;;;;;;;1864.88
pr;mn;v;0;126;1130.0;6;231988;;;0;0;1;0;0;;48.02467;-3.81795;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;29281;0000;292810000;Z;29;53.0;;;;;;;1841.17
pr;mn;v;0;110;1130.0;5;211488;;;0;0;1;0;0;;48.02467;-3.81795;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;29281;0000;292810000;Z;29;53.0;;;;;;;1922.62
pr;mn;v;0;83;1130.0;4;176488;;;0;0;1;0;0;;48.02467;-3.81795;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;29281;0000;292810000;Z;29;53.0;;;;;;;2126.36
pr;m;v;0;100;;5;270000;;;1122;0;0;0;E;270;48.04211;-4.09022;Oui;;;;;0;C;;;;;;;;;;;;;a;;m;2020-04;29232;0135;292320135;H;29;53.0;;;;8.18;7.0;0.036;2700.0
pr;mn;v;0;100;780.0;5;269745;;;0;0;0;0;0;;47.78956;-3.57562;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;29031;0000;290310000;Z;29;53.0;;;;;;;2697.45
pr;mn;v;0;141;780.0;5;389745;;;0;0;1;0;0;;47.78956;-3.57562;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;29031;0000;290310000;Z;29;53.0;;;;;;;2764.15
pr;mn;v;0;99;780.0;4;294745;;;0;0;1;0;0;;47.78956;-3.57562;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;29031;0000;290310000;Z;29;53.0;9.19;1.0;0.037;9.19;1.0;0.037;2977.22
