type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;m;v;20200;;0;89;;3;240000;;;1031;0;0;0;0;;42.68629;9.42519;Non;;;;;0;;;;;;;;;;;;;;a;;m;2020-04;2B033;0201;2B0330201;H;2B;;;;;;;2696.63
pr;m;v;20214;;0;85;;4;379000;;;0;0;0;0;0;;42.51138;8.86531;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;2B049;0000;2B0490000;Z;2B;;;;;;;4458.82
pr;a;v;20260;;0;61;;3;358500;;;0;0;0;0;0;;42.546;8.75275;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2B050;0102;2B0500102;H;2B;12.42;1.0;0.025;11.99;2.0;0.024;5877.05
pr;a;v;20260;;0;44;;2;260500;;;0;0;0;0;0;;42.546;8.75275;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2B050;0102;2B0500102;H;2B;;;;;;;5920.45
pr;a;v;20260;;0;52;;2;243500;;;0;0;0;0;0;;42.546;8.75275;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2B050;0102;2B0500102;H;2B;;;;;;;4682.69
pr;a;v;20260;;0;62;;3;287500;;;0;0;0;0;0;;42.546;8.75275;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2B050;0102;2B0500102;H;2B;12.42;1.0;0.032;11.99;2.0;0.031;4637.1
pr;a;v;20260;2B050;1;24;;1;110000;;;0;0;1;0;D;214.0;42.55491;8.74877;Non;1.0;;1.0;;0;B;;1.0;1.0;;False;;False;;;Électrique;Radiateur;Individuel;a;n;a;2020-03;2B050;0102;2B0500102;H;2B;19.26;1.0;0.05;19.26;1.0;0.05;4583.33
pr;m;v;20260;2B050;0;220;1300.0;9;1080000;;;0;0;0;0;0;;42.55671;8.75989;0;;;;;Nord-Est;;;;;;;;;;;Électrique;Climatisation révérsible;;a;n;m;2020-03;2B050;0102;2B0500102;H;2B;;;;;;;4909.09
pr;a;v;20260;2B050;0;93;;4;365000;;;0;0;1;1;C;132;42.54925;8.75696;Non;0.0;;0.0;;0;A;2012.0;1.0;0.0;;False;;False;147.0;1440.0;;;;a;n;a;2020-03;2B050;0102;2B0500102;H;2B;15.38;1.0;0.047;13.440000000000001;2.0;0.041;3924.73
pr;a;v;20260;;0;71;;3;415500;;;0;0;0;0;0;;42.546;8.75275;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2B050;0102;2B0500102;H;2B;12.42;1.0;0.025;11.99;2.0;0.025;5852.11
pr;m;v;20230;2B319;0;79;450.0;3;215000;;;0;0;0;0;0;;42.41807;9.50777;Non;;;0.0;;0;;;;;;;;;;;;;;a;n;m;2020-03;2B319;0000;2B3190000;Z;2B;11.43;1.0;0.05;11.43;1.0;0.05;2721.52
pr;a;v;20200;;0;72;;3;250000;;;1047;0;0;0;0;;42.70481;9.44195;Oui;;;;;0;;;;;;;;;0.0;;;;;a;n;a;2020-03;2B033;0603;2B0330603;H;2B;11.24;2.0;0.039;10.55;32.0;0.036;3472.22
pr;m;v;20226;2B034;0;102;;7;212000;;;0;1;1;0;0;;42.58734;9.01674;Oui;;;0.0;;0;;1782.0;1.0;1.0;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-03;2B034;0000;2B0340000;Z;2B;;;;;;;2078.43
pr;a;v;20230;2B307;0;32;;1;79000;;;0;0;0;1;E;301;42.39285;9.53212;Non;4.0;;;False;0;C;1980.0;1.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;a;2020-03;2B307;0000;2B3070000;Z;2B;16.85;1.0;0.082;16.85;1.0;0.082;2468.75
pr;a;v;20230;;0;44;;2;130000;;;555;0;0;0;0;;42.366;9.51789;Oui;;;;;0;;;;;;;;;15.0;;;;;a;n;a;2020-03;2B313;0000;2B3130000;Z;2B;14.29;1.0;0.058;14.29;1.0;0.058;2954.55
pr;a;v;20230;;0;44;;2;130000;;;563;0;0;0;0;;42.366;9.51802;Oui;;;;;0;;;;;;;;;15.0;;;;;a;n;a;2020-03;2B313;0000;2B3130000;Z;2B;14.29;1.0;0.058;14.29;1.0;0.058;2954.55
pr;a;v;20230;2B313;0;28;;2;86000;;;0;0;1;0;D;215;42.36902;9.53184;Oui;;;;False;0;B;2007.0;1.0;1.0;;;;;;;;;;a;n;a;2020-03;2B313;0000;2B3130000;Z;2B;14.29;1.0;0.056;14.29;1.0;0.056;3071.43
pr;a;v;20290;2B042;2;70;;4;140000;;;0;2;0;0;D;160;42.55327;9.44099;Non;;;;True;Nord-Sud;A;;;;;;;;;840.0;;;;a;n;a;2020-03;2B042;0101;2B0420101;H;2B;8.565000000000001;2.0;0.051;8.56;3.0;0.051;2000.0
pr;m;v;20290;2B042;0;92;300.0;4;260000;;;0;0;0;1;A;1;42.5547;9.44491;Non;1.0;;;False;Est;A;2020.0;1.0;;;;;;2.0;;;;;a;n;m;2020-03;2B042;0101;2B0420101;H;2B;10.96;1.0;0.047;10.96;1.0;0.047;2826.09
pr;m;v;20290;2B042;0;155;836.0;7;399000;;;0;0;2;1;C;102;42.55335;9.44622;Oui;;;;;0;C;1983.0;4.0;1.0;;False;;;;;;;Individuel;a;n;m;2020-03;2B042;0101;2B0420101;H;2B;;;;;;;2574.19
pr;m;v;20290;2B042;0;242;1100.0;8;999000;;;0;0;1;2;D;154;42.55816;9.43514;Oui;;;3.0;False;0;D;1981.0;3.0;4.0;;False;;;;;Électrique;;Individuel;a;n;m;2020-03;2B042;0101;2B0420101;H;2B;;;;;;;4128.1
pr;m;v;20200;2B033;0;170;400.0;5;579600;;;0;0;0;0;VI;;42.69294;9.44575;Non;;;;;0;VI;1993.0;;;;;;;;;;;;a;n;m;2020-03;2B033;0202;2B0330202;H;2B;;;;12.13;1.0;0.043;3409.41
pr;a;v;20600;;0;88;;5;160000;;;709;0;0;0;C;101;42.69123;9.44545;Oui;;;;;0;D;;;;;;;;80.0;;;;;a;n;a;2020-03;2B033;0202;2B0330202;H;2B;;;;;;;1818.18
pr;m;v;20214;2B049;0;120;;6;260000;;;0;0;2;1;F;381;42.50185;8.86458;Non;;;0.0;;0;D;;3.0;1.0;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-03;2B049;0000;2B0490000;Z;2B;;;;;;;2166.67
pr;a;v;20200;2B033;0;71;;4;220000;;;0;0;0;0;C;;42.70795;9.45223;Oui;;;0.0;;0;;;;;;;;;32.0;720.0;;;;a;n;a;2020-03;2B033;0701;2B0330701;H;2B;12.91;2.0;0.05;11.12;15.0;0.043;3098.59
pr;a;v;20200;2B033;0;96;;4;320000;;;0;0;0;0;0;;42.70124;9.45034;Oui;;;0.0;;0;;;;;;;;;12.0;1210.0;;;;a;n;a;2020-03;2B033;0701;2B0330701;H;2B;12.91;2.0;0.046;11.12;15.0;0.04;3333.33
pr;a;v;20200;2B033;0;58;;2;125000;;;0;0;0;0;D;187.0;42.7071;9.45114;Oui;;;;False;0;E;;;;;False;;False;14.0;796.0;Gaz;;Collectif;m;n;a;2020-03;2B033;0701;2B0330701;H;2B;12.15;4.0;0.068;13.61;45.0;0.076;2155.17
pr;a;v;95300;;0;67;;2;160000;;;705;0;0;0;E;295;42.7344;9.46021;Non;;;;;0;B;;;;;;;;20.0;;;;;a;n;a;2020-03;2B305;0000;2B3050000;Z;2B;14.89;3.0;0.075;14.89;3.0;0.075;2388.06
pr;a;v;20200;2B305;2;127;;4;599000;;;0;0;2;0;0;;42.73032;9.45453;Non;4.0;;1.0;False;Est-Ouest;;2019.0;2.0;1.0;;;45.0;True;26.0;;;Radiateur;Individuel;a;n;a;2020-03;2B305;0000;2B3050000;Z;2B;;;;;;;4716.54
pr;m;v;20200;2B305;0;180;1000.0;5;572000;;;0;0;0;0;0;;42.73208;9.45593;0;;;;;Nord Sud Est Ouest;;;;;;;;;;;Électrique;Climatisation révérsible;Individuel;a;n;m;2020-03;2B305;0000;2B3050000;Z;2B;;;;;;;3177.78
pr;m;v;20200;2B305;0;50;;3;262500;;;0;0;0;0;0;;42.73097;9.44869;0;;;;;Nord-Est;;;;;;;;;;;Électrique;Climatisation révérsible;Individuel;a;n;m;2020-03;2B305;0000;2B3050000;Z;2B;;;;;;;5250.0
pr;a;v;20200;2B033;0;80;50.0;4;225000;;;0;0;0;0;E;;42.70095;9.44911;Oui;;;0.0;;0;;;;;;;;;14.0;628.0;Gaz;;;a;n;a;2020-03;2B033;0702;2B0330702;H;2B;;;;11.12;15.0;0.047;2812.5
pr;a;v;20200;2B033;0;87;;4;235000;;;0;0;0;0;0;;42.70401;9.45037;Non;;;0.0;;0;;;;;;;;;10.0;739.48;;;;a;n;a;2020-03;2B033;0702;2B0330702;H;2B;;;;11.12;15.0;0.049;2701.15
pr;a;v;20600;2B033;2;85;;3;268000;;;0;0;1;0;B;84.0;42.68963;9.44129;Non;2.0;;;False;Est;A;2013.0;2.0;1.0;;;;True;15.0;1200.0;;;Individuel;a;n;a;2020-03;2B033;0201;2B0330201;H;2B;11.97;3.0;0.046;10.55;32.0;0.04;3152.94
pr;m;v;20200;2B033;0;285;800.0;7;750000;;;0;0;0;0;D;;42.68531;9.42887;Non;;;4.0;;0;;;;;;;;;;;;;;a;n;m;2020-03;2B033;0201;2B0330201;H;2B;;;;;;;2631.58
pr;m;v;20200;;0;185;;6;830000;;;3450;0;0;0;E;307;42.68967;9.42991;Oui;;;;;0;C;;;;;;;;;;;;;a;n;m;2020-03;2B033;0201;2B0330201;H;2B;;;;15.0;1.0;0.04;4486.49
pr;a;v;20213;;0;44;;2;127000;;;0;0;0;0;0;;42.45256;9.50599;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2B207;0000;2B2070000;Z;2B;9.51;3.0;0.04;9.51;3.0;0.04;2886.36
pr;m;v;20213;2B207;0;152;804.0;6;343200;;;0;0;2;0;B;88;42.45332;9.50241;Non;;;3.0;True;sud-est;A;;2.0;;;False;;;;;Électrique;;Individuel;m;n;m;2020-03;2B207;0000;2B2070000;Z;2B;;;;;;;2257.89
pr;m;v;20290;2B042;0;37;30.0;3;135990;;;0;0;1;0;E;248;42.59032;9.50413;Non;1.0;;;;Ouest;C;;1.0;;;False;;;130.0;477.0;Électrique;;Individuel;m;n;m;2020-03;2B042;0102;2B0420102;H;2B;12.45;3.0;0.041;12.45;3.0;0.041;3675.41
pr;a;v;20260;2B050;2;36;;2;165000;;;0;1;1;0;D;201;42.56335;8.75341;Non;4.0;;0.0;;0;B;1991.0;0.0;0.0;;False;;False;9.0;1200.0;Électrique;Radiateur;Individuel;a;n;a;2020-03;2B050;0101;2B0500101;H;2B;;;;;;;4583.33
pr;a;v;20260;2B050;2;61;;3;295000;;;0;0;1;1;D;167.0;42.56335;8.75341;Non;4.0;;0.0;;0;B;1991.0;0.0;1.0;;False;;True;9.0;1012.0;Électrique;Radiateur;Individuel;a;n;a;2020-03;2B050;0101;2B0500101;H;2B;11.56;1.0;0.029;11.99;2.0;0.03;4836.07
pr;m;v;20217;2B298;0;196;2100.0;5;778000;;;0;0;1;1;C;102.0;42.67234;9.28169;Non;;;0.0;;0;D;1976.0;2.0;1.0;;;;;40.0;1000.0;Fioul;Radiateur;Individuel;a;n;m;2020-03;2B298;0000;2B2980000;Z;2B;;;;;;;3969.39
pr;m;v;20217;2B298;0;142;1900.0;6;749000;;;0;0;0;2;E;264;42.6676;9.2782;Non;;;0.0;;0;C;1994.0;2.0;0.0;;;;;30.0;1500.0;Électrique, Bois;Radiateur, Poêle à Bois;Individuel;a;n;m;2020-03;2B298;0000;2B2980000;Z;2B;;;;;;;5274.65
pr;m;v;20230;2B143;0;79;399.0;3;239200;;;0;0;1;0;D;167;42.20331;9.52979;Non;;;1.0;;sud-ouest;A;;1.0;;;False;;;;;;;Individuel;m;n;m;2020-03;2B143;0000;2B1430000;Z;2B;;;;;;;3027.85
pr;a;v;20230;2B143;0;22;;1;59000;;;0;0;0;1;NS;;42.19366;9.55019;Non;;;1.0;False;0;NS;2019.0;1.0;1.0;;;;;;;;;Individuel;a;n;a;2020-03;2B143;0000;2B1430000;Z;2B;;;;;;;2681.82
pr;an;v;20230;2B143;0;22;;1;112450;;;0;0;0;0;0;;42.26446;9.47364;0;;;;False;0;;;;;;False;;False;;;;;;ca;o;a;2020-03;2B143;0000;2B1430000;Z;2B;;;;;;;5111.36
pr;an;v;20230;2B143;0;31;;2;103000;;;0;0;0;0;0;;42.20109;9.55518;0;;True;1.0;False;0;;;;;False;False;;False;;;;;;ca;o;a;2020-03;2B143;0000;2B1430000;Z;2B;;;;;;;3322.58
pr;a;v;20200;2B033;0;54;;2;168000;;;0;0;0;0;D;;42.6942;9.44951;Oui;;;0.0;;0;;;;;;;;;8.0;848.0;Électrique;Radiateur;;a;n;a;2020-03;2B033;0101;2B0330101;H;2B;11.715;2.0;0.045;13.61;45.0;0.052;3111.11
pr;a;v;20215;;0;65;;3;140000;;;586;0;0;0;C;134;42.50752;9.45631;Oui;;;;;0;A;;;;;;;;;;;;;a;n;a;2020-03;2B346;0000;2B3460000;Z;2B;11.11;1.0;0.062;11.11;1.0;0.062;2153.85
pr;m;v;20215;2B346;0;80;695.0;4;249000;;;0;0;2;0;NS;;42.49856;9.4562;Non;;;1.0;;sud-ouest;;;;;;False;;;20.0;50.0;;;Individuel;m;n;m;2020-03;2B346;0000;2B3460000;Z;2B;8.55;1.0;0.033;8.55;1.0;0.033;3112.5
pr;m;v;20215;2B346;0;93;694.0;4;268000;;;0;0;0;1;NS;;42.49856;9.4562;Non;;;;;sud-ouest;;;1.0;;;False;;;;;;;Individuel;m;n;m;2020-03;2B346;0000;2B3460000;Z;2B;8.55;1.0;0.036;8.55;1.0;0.036;2881.72
pr;m;v;20215;2B346;0;90;700.0;4;250000;;;0;0;1;0;NS;;42.50691;9.4595;Non;1.0;;2.0;;sud-est;;;;;;False;;;;;;;Individuel;m;n;m;2020-03;2B346;0000;2B3460000;Z;2B;8.55;1.0;0.037;8.55;1.0;0.037;2777.78
pr;m;v;20215;2B346;0;120;800.0;5;357000;;;0;0;0;0;0;;42.51547;9.4736;Non;;;4.0;;0;;;;;;;;;;;;;;a;n;m;2020-03;2B346;0000;2B3460000;Z;2B;;;;;;;2975.0
pr;m;v;20290;;0;172;;5;210000;;;891;0;0;0;0;;42.46314;9.38806;Oui;;;;;0;;;;;;;;;;;;;;a;n;m;2020-03;2B166;0000;2B1660000;Z;2B;;;;;;;1220.93
pr;m;v;20290;2B166;0;90;700.0;4;265000;;;0;0;1;0;NS;;42.51697;9.44881;Non;1.0;;;;Sud;;;;;;False;;;;;;;Individuel;m;n;m;2020-03;2B166;0000;2B1660000;Z;2B;;;;;;;2944.44
