type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;a;v;69100;;0;80;;4;408000;;;0;0;0;0;0;;45.77706;4.88156;Non;;;;;0;;;;;;;;;;;;;;ca;;a;2020-04;69266;0901;692660901;H;69;9.765;2.0;0.023;13.16;146.0;0.031;5100.0
pr;m;v;69100;;0;95;;5;401000;;;0;0;0;0;0;;45.75825;4.90113;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;69266;1501;692661501;H;69;;;;;;;4221.05
pr;mn;v;69840;;0;75;452.0;4;159317;104417.0;54900.0;0;0;1;0;0;;46.22487;4.67961;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69082;0000;690820000;Z;69;;;;;;;2124.23
pr;mn;v;69840;;0;83;452.0;4;169605;114705.0;54900.0;0;0;1;0;0;;46.22487;4.67961;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69082;0000;690820000;Z;69;;;;;;;2043.43
pr;mn;v;69840;;0;80;709.0;3;186894;121994.0;64900.0;0;0;1;0;0;;46.22487;4.67961;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69082;0000;690820000;Z;69;;;;;;;2336.18
pr;mn;v;69840;;0;100;452.0;5;188452;133552.0;54900.0;0;0;1;0;0;;46.22487;4.67961;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69082;0000;690820000;Z;69;;;;;;;1884.52
pr;mn;v;69960;;0;100;500.0;4;365000;;;0;0;0;0;0;;45.66449;4.91293;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69273;0104;692730104;H;69;13.25;1.0;0.044;13.25;1.0;0.044;3650.0
pr;m;v;69170;;0;84;;4;183032;;;0;0;0;0;0;;45.89904;4.43557;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;69243;0101;692430101;H;69;;;;7.745;2.0;0.043;2178.95
pr;m;v;69170;;0;66;;4;90000;;;405;0;0;0;E;271;45.89676;4.43342;Oui;;;;;0;E;;;;;;;;;;;;;a;;m;2020-04;69243;0101;692430101;H;69;;;;7.745;2.0;0.068;1363.64
pr;mn;v;69150;;0;100;437.0;4;410000;;;0;0;2;0;0;;45.76714;4.95682;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69275;0101;692750101;H;69;12.86;1.0;0.038;13.34;3.0;0.039;4100.0
