INSEE_COM;CODE_IRIS;typedebien_lite;nb_pieces;loyer_m2_median;nb_log;cle1
01001;010010000;m;4;9.315000000000001;2;01001-010010000-m-4
01004;010040101;m;4;9.39;1;01004-010040101-m-4
01004;010040102;a;2;10.87;5;01004-010040102-a-2
01004;010040102;a;3;8.575;6;01004-010040102-a-3
01004;010040102;a;4;9.87;2;01004-010040102-a-4
01004;010040201;a;1;12.405000000000001;2;01004-010040201-a-1
01004;010040201;a;2;11.32;5;01004-010040201-a-2
01004;010040201;a;3;9.36;6;01004-010040201-a-3
01004;010040201;a;4;8.24;3;01004-010040201-a-4
01004;010040201;m;4;8.49;1;01004-010040201-m-4
01004;010040201;m;6;2.53;1;01004-010040201-m-6
01004;010040202;a;1;8.31;1;01004-010040202-a-1
01004;010040202;a;2;10.06;1;01004-010040202-a-2
01004;010040202;a;3;9.885;2;01004-010040202-a-3
01004;010040202;m;2;6.98;1;01004-010040202-m-2
01004;010040202;m;3;12.79;1;01004-010040202-m-3
01004;010040202;m;4;9.45;2;01004-010040202-m-4
01005;010050000;a;1;11.21;1;01005-010050000-a-1
01005;010050000;a;4;8.65;1;01005-010050000-a-4
01005;010050000;m;3;12.06;1;01005-010050000-m-3
01005;010050000;m;4;6.71;1;01005-010050000-m-4
01007;010070000;m;5;6.54;1;01007-010070000-m-5
01014;010140000;a;1;12.0;1;01014-010140000-a-1
01014;010140000;m;5;7.5;1;01014-010140000-m-5
01021;010210000;a;2;12.21;1;01021-010210000-a-2
01021;010210000;a;3;11.08;1;01021-010210000-a-3
01021;010210000;m;4;9.475;2;01021-010210000-m-4
01022;010220000;a;1;8.82;1;01022-010220000-a-1
01022;010220000;a;3;7.97;1;01022-010220000-a-3
01024;010240000;a;1;10.26;1;01024-010240000-a-1
01024;010240000;a;2;13.02;1;01024-010240000-a-2
01024;010240000;a;3;8.3;3;01024-010240000-a-3
01024;010240000;a;4;7.15;3;01024-010240000-a-4
01024;010240000;m;3;8.06;1;01024-010240000-m-3
01024;010240000;m;4;6.914999999999999;2;01024-010240000-m-4
01024;010240000;m;5;7.81;1;01024-010240000-m-5
01025;010250000;a;1;10.5;1;01025-010250000-a-1
01025;010250000;a;4;8.14;1;01025-010250000-a-4
01027;010270000;a;3;10.3;1;01027-010270000-a-3
01029;010290000;m;3;5.96;1;01029-010290000-m-3
01030;010300000;a;1;10.71;1;01030-010300000-a-1
01030;010300000;a;2;8.83;2;01030-010300000-a-2
01030;010300000;a;3;9.68;1;01030-010300000-a-3
01030;010300000;a;4;7.585;2;01030-010300000-a-4
01030;010300000;m;5;10.24;1;01030-010300000-m-5
01031;010310000;a;1;11.25;1;01031-010310000-a-1
