INSEE_COM;typedebien_lite;nb_pieces;loyer_m2_median;nb_log;cle2
01001;m;4;9.315000000000001;2;01001-m-4
01004;a;1;10.66;3;01004-a-1
01004;a;2;10.87;11;01004-a-2
01004;a;3;9.36;14;01004-a-3
01004;a;4;9.75;5;01004-a-4
01004;m;2;6.98;1;01004-m-2
01004;m;3;12.79;1;01004-m-3
01004;m;4;9.415;4;01004-m-4
01004;m;6;2.53;1;01004-m-6
01005;a;1;11.21;1;01005-a-1
01005;a;4;8.65;1;01005-a-4
01005;m;3;12.06;1;01005-m-3
01005;m;4;6.71;1;01005-m-4
01007;m;5;6.54;1;01007-m-5
01014;a;1;12.0;1;01014-a-1
01014;m;5;7.5;1;01014-m-5
01021;a;2;12.21;1;01021-a-2
01021;a;3;11.08;1;01021-a-3
01021;m;4;9.475;2;01021-m-4
01022;a;1;8.82;1;01022-a-1
01022;a;3;7.97;1;01022-a-3
01024;a;1;10.26;1;01024-a-1
01024;a;2;13.02;1;01024-a-2
01024;a;3;8.3;3;01024-a-3
01024;a;4;7.15;3;01024-a-4
01024;m;3;8.06;1;01024-m-3
01024;m;4;6.914999999999999;2;01024-m-4
01024;m;5;7.81;1;01024-m-5
01025;a;1;10.5;1;01025-a-1
01025;a;4;8.14;1;01025-a-4
01027;a;3;10.3;1;01027-a-3
01029;m;3;5.96;1;01029-m-3
01030;a;1;10.71;1;01030-a-1
01030;a;2;8.83;2;01030-a-2
01030;a;3;9.68;1;01030-a-3
01030;a;4;7.585;2;01030-a-4
01030;m;5;10.24;1;01030-m-5
01031;a;1;11.25;1;01031-a-1
01031;a;2;8.82;7;01031-a-2
01031;a;3;8.52;2;01031-a-3
01031;a;4;8.62;1;01031-a-4
01032;a;1;14.52;1;01032-a-1
01032;a;2;10.11;3;01032-a-2
01032;a;3;10.92;2;01032-a-3
01032;m;4;8.48;1;01032-m-4
01033;a;2;12.5;33;01033-a-2
01033;a;3;11.27;25;01033-a-3
01033;a;4;11.774999999999999;6;01033-a-4
01033;a;5;10.28;1;01033-a-5
01033;m;3;5.49;1;01033-m-3
01033;m;5;9.76;1;01033-m-5
01033;m;7;6.26;1;01033-m-7
01034;a;1;7.31;1;01034-a-1
01034;a;2;10.54;13;01034-a-2
01034;a;3;8.379999999999999;2;01034-a-3
01034;a;4;8.29;3;01034-a-4
01034;m;3;8.96;2;01034-m-3
01034;m;4;8.74;3;01034-m-4
01039;m;3;7.66;2;01039-m-3
01041;m;2;10.87;1;01041-m-2
01041;m;3;5.89;1;01041-m-3
01043;a;1;17.5;1;01043-a-1
01043;a;2;17.5;1;01043-a-2
01043;a;3;10.335;2;01043-a-3
01043;a;5;11.805;2;01043-a-5
01043;m;3;6.99;1;01043-m-3
01043;m;4;11.57;1;01043-m-4
01043;m;5;9.52;1;01043-m-5
01043;m;6;11.81;1;01043-m-6
01043;m;7;9.44;1;01043-m-7
01043;m;8;8.11;1;01043-m-8
01047;m;4;8.81;1;01047-m-4
01049;m;4;11.67;1;01049-m-4
01053;a;1;13.48;109;01053-a-1
01053;a;2;10.61;119;01053-a-2
01053;a;3;8.12;94;01053-a-3
01053;a;4;8.07;53;01053-a-4
01053;a;5;6.53;11;01053-a-5
01053;a;6;4.949999999999999;2;01053-a-6
01053;a;7;3.91;1;01053-a-7
01053;l;2;6.94;1;01053-l-2
01053;m;3;8.48;1;01053-m-3
01053;m;4;9.17;11;01053-m-4
01053;m;5;8.42;3;01053-m-5
01053;m;6;7.97;1;01053-m-6
01058;m;5;10.11;1;01058-m-5
01060;m;4;6.91;2;01060-m-4
01062;m;4;12.58;1;01062-m-4
01067;m;4;6.21;1;01067-m-4
01068;m;3;7.86;1;01068-m-3
01068;m;6;6.4;1;01068-m-6
01069;a;3;8.22;1;01069-a-3
01071;a;1;18.57;2;01071-a-1
01071;a;2;19.88;13;01071-a-2
01071;a;3;17.895;8;01071-a-3
01071;a;30;17.73;1;01071-a-30
01071;m;6;12.695;2;01071-m-6
01071;m;8;9.735;2;01071-m-8
01072;a;2;9.55;2;01072-a-2
01072;a;3;7.29;2;01072-a-3
01072;a;4;8.42;1;01072-a-4
01072;m;5;7.69;1;01072-m-5
01073;m;3;10.86;1;01073-m-3
01074;a;3;6.3;1;01074-a-3
01075;m;5;7.54;3;01075-m-5
01078;a;2;22.675;4;01078-a-2
01080;m;4;8.370000000000001;2;01080-m-4
01081;a;4;6.52;1;01081-a-4
01082;a;3;9.04;1;01082-a-3
01082;a;4;7.15;1;01082-a-4
01083;m;3;5.45;1;01083-m-3
01091;a;1;9.36;1;01091-a-1
01091;a;2;8.36;1;01091-a-2
01091;a;3;7.0;1;01091-a-3
01091;a;4;9.14;1;01091-a-4
01091;a;5;11.51;2;01091-a-5
01092;m;1;10.37;1;01092-m-1
01092;m;6;8.5;1;01092-m-6
01093;a;1;16.365000000000002;2;01093-a-1
01093;a;2;9.155000000000001;6;01093-a-2
01093;a;3;8.030000000000001;4;01093-a-3
01093;a;4;8.07;2;01093-a-4
01093;m;3;9.13;3;01093-m-3
01093;m;4;9.26;1;01093-m-4
01093;m;5;10.3;1;01093-m-5
01096;m;4;4.21;1;01096-m-4
01102;m;4;5.38;1;01102-m-4
01103;a;1;24.82;2;01103-a-1
01103;a;2;15.96;3;01103-a-2
01103;a;3;14.06;7;01103-a-3
01103;a;4;19.88;1;01103-a-4
01104;a;2;5.98;1;01104-a-2
01105;m;5;12.02;1;01105-m-5
01108;a;3;7.04;2;01108-a-3
01108;a;4;6.93;1;01108-a-4
01109;a;2;22.0;3;01109-a-2
01109;a;3;15.96;4;01109-a-3
01109;a;4;17.04;2;01109-a-4
01109;m;2;12.02;1;01109-m-2
01109;m;4;16.02;1;01109-m-4
01115;a;2;6.96;2;01115-a-2
01115;a;3;8.3;1;01115-a-3
01123;m;4;7.02;1;01123-m-4
01123;m;5;5.68;2;01123-m-5
01125;a;4;5.28;1;01125-a-4
01127;a;1;17.6;1;01127-a-1
01130;m;4;8.62;1;01130-m-4
01134;a;2;8.95;1;01134-a-2
01134;a;4;7.31;1;01134-a-4
01134;m;7;5.57;1;01134-m-7
01138;a;2;12.5;4;01138-a-2
01138;a;3;7.7;1;01138-a-3
01138;a;4;7.52;1;01138-a-4
01141;m;5;6.15;1;01141-m-5
01142;a;3;10.56;3;01142-a-3
01143;a;1;28.33;3;01143-a-1
01143;a;2;25.28;14;01143-a-2
01143;a;3;22.0;13;01143-a-3
01143;a;4;20.244999999999997;2;01143-a-4
01143;a;5;16.25;1;01143-a-5
01143;m;4;22.265;2;01143-m-4
01143;m;6;20.09;7;01143-m-6
01145;a;2;8.105;2;01145-a-2
01145;a;3;7.12;3;01145-a-3
01145;m;3;9.24;1;01145-m-3
01146;a;1;17.0;1;01146-a-1
01146;a;2;11.33;1;01146-a-2
01146;a;4;7.59;1;01146-a-4
01146;m;7;6.41;1;01146-m-7
01148;a;3;5.83;1;01148-a-3
01150;m;3;6.39;1;01150-m-3
01152;a;4;5.75;1;01152-a-4
01152;m;5;6.62;1;01152-m-5
01153;a;1;22.86;1;01153-a-1
01153;a;2;16.795;4;01153-a-2
01153;a;3;18.64;2;01153-a-3
01153;m;4;19.89;1;01153-m-4
01153;m;6;13.96;1;01153-m-6
01157;a;2;8.1;2;01157-a-2
01157;a;4;8.93;1;01157-a-4
01157;a;5;5.94;1;01157-a-5
01157;m;4;8.29;1;01157-m-4
01158;m;5;14.4;1;01158-m-5
01159;a;2;8.24;3;01159-a-2
01159;a;3;9.405000000000001;8;01159-a-3
01159;a;4;9.64;1;01159-a-4
01159;a;5;12.46;1;01159-a-5
01159;m;3;11.455;2;01159-m-3
01159;m;4;9.535;6;01159-m-4
01159;m;5;7.545;2;01159-m-5
01160;a;1;24.69;27;01160-a-1
01160;a;2;22.0;40;01160-a-2
01160;a;3;19.535;52;01160-a-3
01160;a;4;20.62;13;01160-a-4
01160;a;5;23.6;3;01160-a-5
01160;m;2;10.09;1;01160-m-2
01160;m;5;17.09;2;01160-m-5
01163;a;1;7.92;1;01163-a-1
01163;a;4;6.75;1;01163-a-4
01165;m;3;9.12;1;01165-m-3
01166;m;5;8.93;1;01166-m-5
01173;a;1;22.67;13;01173-a-1
01173;a;2;19.14;69;01173-a-2
01173;a;3;17.875;60;01173-a-3
01173;a;4;17.0;33;01173-a-4
01173;a;5;17.21;7;01173-a-5
01173;a;30;18.78;1;01173-a-30
01173;m;4;19.22;2;01173-m-4
01173;m;5;15.01;4;01173-m-5
01173;m;6;12.5;1;01173-m-6
01173;m;7;7.6;1;01173-m-7
01175;m;4;8.05;1;01175-m-4
01175;m;6;7.89;1;01175-m-6
01179;m;3;4.39;1;01179-m-3
01179;m;5;7.5;1;01179-m-5
01180;a;2;20.92;1;01180-a-2
01181;a;1;14.33;3;01181-a-1
01183;m;4;8.3;2;01183-m-4
01184;a;4;7.26;1;01184-a-4
01185;a;1;8.0;3;01185-a-1
01185;a;2;8.17;2;01185-a-2
01185;a;3;7.07;5;01185-a-3
01185;a;4;5.3;1;01185-a-4
01188;m;4;7.76;1;01188-m-4
01189;a;3;9.33;1;01189-a-3
01192;a;5;5.2;1;01192-a-5
01194;a;2;15.0;13;01194-a-2
01194;a;3;12.085;16;01194-a-3
01194;a;4;8.93;7;01194-a-4
01194;m;5;9.745000000000001;2;01194-m-5
01196;a;3;10.22;1;01196-a-3
01199;a;1;11.0;1;01199-a-1
01199;a;2;8.49;3;01199-a-2
01199;a;3;6.92;2;01199-a-3
01199;m;1;5.19;1;01199-m-1
01199;m;4;3.23;2;01199-m-4
01199;m;5;5.57;1;01199-m-5
01202;a;1;8.6;3;01202-a-1
01202;a;2;10.715;8;01202-a-2
01202;a;3;8.79;3;01202-a-3
01202;a;4;7.41;7;01202-a-4
01202;a;5;7.1;3;01202-a-5
01202;m;5;9.16;1;01202-m-5
01203;m;4;9.18;1;01203-m-4
01203;m;5;7.26;1;01203-m-5
01204;m;4;5.25;1;01204-m-4
01207;m;5;6.72;1;01207-m-5
01209;m;6;13.01;1;01209-m-6
01211;a;1;11.765;4;01211-a-1
01211;a;2;8.425;2;01211-a-2
01211;a;4;7.75;1;01211-a-4
01211;a;6;5.19;1;01211-a-6
01211;m;4;8.65;1;01211-m-4
01211;m;5;5.99;2;01211-m-5
01212;a;3;4.92;1;01212-a-3
01213;m;5;9.9;1;01213-m-5
01216;a;2;7.91;1;01216-a-2
01216;m;4;8.7;1;01216-m-4
01224;a;1;12.23;1;01224-a-1
01224;a;2;10.0;3;01224-a-2
01224;a;3;7.824999999999999;2;01224-a-3
01224;m;4;10.2;1;01224-m-4
01229;m;3;10.18;1;01229-m-3
01229;m;5;8.0;1;01229-m-5
01231;a;2;9.15;1;01231-a-2
01231;a;3;7.625;2;01231-a-3
01231;a;4;5.21;1;01231-a-4
01231;m;3;8.19;1;01231-m-3
01235;m;4;7.07;1;01235-m-4
01236;a;3;9.08;1;01236-a-3
01238;a;1;11.44;1;01238-a-1
01238;m;4;10.91;1;01238-m-4
01241;a;3;7.57;1;01241-a-3
01241;m;3;5.96;2;01241-m-3
01241;m;4;8.295;2;01241-m-4
01244;a;2;13.37;5;01244-a-2
01244;a;3;9.59;5;01244-a-3
01244;a;4;10.98;3;01244-a-4
01247;a;1;14.58;1;01247-a-1
01248;a;2;13.6;1;01248-a-2
01248;a;3;12.34;1;01248-a-3
01248;m;4;11.85;1;01248-m-4
01249;a;1;14.65;1;01249-a-1
01249;a;2;13.370000000000001;14;01249-a-2
01249;a;3;11.84;11;01249-a-3
01249;a;4;10.41;2;01249-a-4
01249;m;3;9.07;1;01249-m-3
01249;m;4;11.995000000000001;2;01249-m-4
01250;a;1;14.25;1;01250-a-1
01250;m;4;9.44;1;01250-m-4
01254;m;6;8.47;1;01254-m-6
01254;m;7;6.52;1;01254-m-7
01258;m;4;9.52;1;01258-m-4
01262;a;1;14.780000000000001;4;01262-a-1
01262;a;2;12.6;7;01262-a-2
01262;a;3;11.11;5;01262-a-3
