DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
06;06004;pa;a;a;l;1;0;28.5;652.5;0.44;0.06;0.38;16
06;06004;pa;a;a;l;1;A;27.0;645.0;0.5;0.0;0.5;2
06;06004;pa;a;a;l;1;C;23.0;670.0;0.0;0.0;0.0;2
06;06004;pa;a;a;l;1;D;26.0;770.0;0.75;0.0;0.5;4
06;06004;pa;a;a;l;1;E;30.0;715.0;0.0;0.0;1.0;1
06;06004;pa;a;a;l;2;0;42.5;830.0;0.24;0.03;0.47;34
06;06004;pa;a;a;l;2;A;43.0;950.0;1.0;0.0;0.0;1
06;06004;pa;a;a;l;2;B;51.0;890.0;0.33;0.0;1.0;3
06;06004;pa;a;a;l;2;C;38.0;790.0;0.8;0.0;0.0;5
06;06004;pa;a;a;l;2;D;48.0;935.0;0.33;0.17;0.5;6
06;06004;pa;a;a;l;2;F;35.0;695.0;1.0;0.0;1.0;1
06;06004;pa;a;a;l;3;0;65.0;1115.0;0.8;0.1;0.5;10
06;06004;pa;a;a;l;3;A;67.0;1200.0;1.0;0.0;0.0;1
06;06004;pa;a;a;l;3;B;47.0;1200.0;0.33;0.0;1.0;3
06;06004;pa;a;a;l;3;C;68.0;1200.0;0.67;0.0;0.67;3
06;06004;pa;a;a;l;3;D;68.5;1310.0;0.5;0.0;0.5;2
06;06004;pa;a;a;l;4;0;70.0;1180.0;1.0;0.0;1.0;1
06;06004;pa;a;a;l;4;C;93.5;1590.0;0.5;0.0;1.0;2
06;06004;pa;a;a;l;4;D;78.5;1340.0;1.5;0.0;0.0;2
06;06004;pa;a;a;l;6;C;150.0;2850.0;0.0;0.0;1.0;1
06;06004;pa;a;l;l;1;0;70.0;1052.0;0.0;0.0;0.0;1
06;06004;pa;a;l;l;4;B;153.0;1400.0;0.0;0.0;1.0;1
06;06004;pa;a;m;l;3;0;44.0;1130.0;1.0;0.0;0.0;1
06;06004;pr;a;a;l;1;0;27.0;600.0;0.09;0.31;0.4;55
06;06004;pr;a;a;l;1;A;25.0;600.0;0.05;0.19;0.76;21
06;06004;pr;a;a;l;1;B;26.5;595.5;0.06;0.31;0.5;16
06;06004;pr;a;a;l;1;C;27.0;609.0;0.18;0.31;0.51;49
06;06004;pr;a;a;l;1;D;27.0;600.0;0.2;0.27;0.52;101
06;06004;pr;a;a;l;1;E;28.0;600.0;0.21;0.32;0.47;47
06;06004;pr;a;a;l;1;F;22.0;580.0;0.0;0.33;0.67;3
06;06004;pr;a;a;l;1;G;14.0;380.0;0.0;1.0;0.0;1
06;06004;pr;a;a;l;1;NS;25.0;500.0;0.0;0.33;0.67;3
06;06004;pr;a;a;l;1;VI;28.0;653.5;0.17;0.17;0.17;6
06;06004;pr;a;a;l;2;0;42.0;790.0;0.17;0.19;0.28;75
06;06004;pr;a;a;l;2;A;41.0;750.0;0.22;0.16;0.62;37
06;06004;pr;a;a;l;2;B;44.0;812.5;0.27;0.23;0.77;30
06;06004;pr;a;a;l;2;C;44.0;795.0;0.19;0.17;0.69;83
06;06004;pr;a;a;l;2;D;42.0;795.0;0.21;0.22;0.62;103
06;06004;pr;a;a;l;2;E;42.0;747.5;0.12;0.09;0.62;34
06;06004;pr;a;a;l;2;F;33.5;707.5;0.25;0.0;0.75;4
06;06004;pr;a;a;l;2;G;51.0;800.0;0.0;0.0;0.0;1
06;06004;pr;a;a;l;2;NS;38.0;727.5;0.5;0.75;0.0;4
06;06004;pr;a;a;l;2;VI;42.0;762.5;0.08;0.33;0.25;12
06;06004;pr;a;a;l;3;0;70.0;1100.0;0.2;0.2;0.55;49
06;06004;pr;a;a;l;3;A;63.5;1125.0;0.2;0.1;0.9;10
06;06004;pr;a;a;l;3;B;62.0;1087.0;0.32;0.16;0.72;25
06;06004;pr;a;a;l;3;C;65.0;1084.0;0.36;0.24;0.81;70
06;06004;pr;a;a;l;3;D;67.0;1100.0;0.28;0.26;0.64;53
06;06004;pr;a;a;l;3;E;62.5;1128.0;0.21;0.21;0.57;14
06;06004;pr;a;a;l;3;VI;73.0;1147.0;0.5;0.5;0.5;4
06;06004;pr;a;a;l;4;0;84.0;1430.0;0.18;0.09;0.27;11
06;06004;pr;a;a;l;4;A;99.5;1519.0;0.0;0.0;1.0;2
06;06004;pr;a;a;l;4;B;104.0;2202.5;0.0;1.17;0.17;6
06;06004;pr;a;a;l;4;C;82.0;1400.0;0.44;0.5;0.69;16
06;06004;pr;a;a;l;4;D;78.0;1265.0;0.25;0.5;0.75;8
06;06004;pr;a;a;l;4;E;93.5;1792.5;0.0;0.5;1.5;2
06;06004;pr;a;a;l;4;G;64.0;700.0;0.0;0.0;0.0;1
06;06004;pr;a;a;l;5;0;63.5;1350.0;0.5;0.0;1.0;2
06;06004;pr;a;a;l;5;A;44.0;1100.0;0.0;0.0;0.0;1
06;06004;pr;a;a;l;5;C;98.0;1450.0;0.0;0.33;0.67;3
06;06004;pr;a;a;l;5;E;102.0;1558.0;0.0;1.0;0.0;2
06;06004;pr;a;a;l;6;0;130.0;5000.0;0.0;0.0;0.0;1
06;06004;pr;a;m;l;1;0;16.0;350.0;0.0;0.0;1.0;1
06;06004;pr;a;m;l;2;C;60.0;950.0;0.0;0.0;1.0;1
06;06004;pr;a;m;l;3;0;65.0;1190.0;0.0;0.0;0.67;3
06;06004;pr;a;m;l;3;C;130.0;1932.5;0.0;1.25;1.5;4
06;06004;pr;a;m;l;3;D;66.0;1190.0;0.0;0.0;0.67;3
06;06004;pr;a;m;l;3;F;87.0;1510.0;1.0;0.0;1.0;2
06;06004;pr;a;m;l;4;0;118.0;2110.0;0.0;0.33;0.33;3
06;06004;pr;a;m;l;4;C;118.0;1870.0;0.0;0.6;0.8;5
06;06004;pr;a;m;l;4;D;86.0;1450.0;0.0;0.0;0.33;3
06;06004;pr;a;m;l;4;E;83.0;1554.5;0.5;0.0;1.0;2
06;06004;pr;a;m;l;5;0;117.0;1972.5;0.0;2.0;0.5;2
06;06004;pr;a;m;l;5;C;176.0;3200.0;0.0;0.0;0.0;2
06;06004;pr;a;m;l;5;D;141.5;2500.0;0.0;1.0;1.0;2
06;06004;pr;a;m;l;6;A;190.0;3500.0;0.0;0.0;0.0;1
06;06004;pr;a;m;l;6;B;162.5;3000.0;0.0;0.0;0.5;2
06;06004;pr;a;m;l;6;D;174.0;3200.0;0.0;1.0;0.67;3
06;06004;pr;a;m;l;7;A;160.0;460.0;0.0;0.0;1.0;1
06;06004;pr;a;m;l;8;C;285.0;6000.0;0.0;0.0;0.0;1
06;06006;pa;a;m;l;5;0;100.0;1850.0;0.0;0.0;3.0;1
06;06006;pr;a;a;l;2;G;50.0;825.0;0.0;1.0;0.5;2
06;06006;pr;a;a;l;3;D;85.0;1180.0;0.0;0.0;0.0;1
06;06006;pr;a;m;l;2;0;60.0;900.0;0.0;1.0;0.0;1
06;06007;pa;a;a;l;3;C;67.0;1100.0;0.0;0.0;1.0;1
06;06007;pa;a;m;l;4;0;100.0;1350.0;0.0;0.0;2.0;1
06;06007;pr;a;a;l;2;E;33.0;780.0;0.0;0.0;1.0;1
06;06007;pr;a;a;l;3;E;84.0;1200.0;0.0;0.0;0.0;1
06;06007;pr;a;m;l;5;D;131.5;1510.0;0.0;0.0;1.0;2
