DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
2A;2A001;pr;a;a;l;2;0;37.0;715.0;0.0;1.0;0.0;2
2A;2A001;pr;a;a;l;2;A;50.0;680.0;0.0;0.0;1.0;1
2A;2A001;pr;a;a;l;2;C;52.0;850.0;0.0;1.0;0.0;1
2A;2A001;pr;a;a;l;2;VI;42.0;790.0;0.0;1.0;0.0;1
2A;2A001;pr;a;a;l;3;D;77.0;700.0;0.0;0.0;0.0;1
2A;2A004;pa;a;a;l;1;0;30.0;600.0;0.0;0.0;0.17;6
2A;2A004;pa;a;a;l;2;0;50.0;750.0;0.33;0.0;0.0;3
2A;2A004;pa;a;a;l;2;D;32.0;635.0;0.0;1.0;0.0;1
2A;2A004;pa;a;a;l;3;0;75.0;950.0;1.0;0.0;0.8;5
2A;2A004;pa;a;a;l;4;0;70.0;1200.0;0.0;0.0;0.0;1
2A;2A004;pa;a;a;l;4;C;127.0;1650.0;0.0;0.0;1.0;1
2A;2A004;pr;a;a;l;1;0;27.0;590.0;0.1;0.6;0.3;20
2A;2A004;pr;a;a;l;1;A;27.0;518.0;0.33;1.0;0.0;6
2A;2A004;pr;a;a;l;1;B;24.0;586.0;0.0;1.0;0.0;2
2A;2A004;pr;a;a;l;1;C;29.0;555.0;0.25;0.75;0.25;4
2A;2A004;pr;a;a;l;1;D;32.0;581.0;0.0;0.86;0.14;7
2A;2A004;pr;a;a;l;1;E;38.5;597.5;0.0;0.67;0.67;6
2A;2A004;pr;a;a;l;1;F;17.0;350.0;0.0;1.0;0.0;1
2A;2A004;pr;a;a;l;1;NS;31.0;559.0;0.0;0.5;0.0;2
2A;2A004;pr;a;a;l;1;VI;28.0;505.0;0.0;1.0;0.0;3
2A;2A004;pr;a;a;l;2;0;44.5;710.0;0.06;0.41;0.41;54
2A;2A004;pr;a;a;l;2;A;47.0;790.0;0.0;0.8;0.1;10
2A;2A004;pr;a;a;l;2;B;45.0;705.0;0.0;0.56;0.33;9
2A;2A004;pr;a;a;l;2;C;48.0;750.0;0.3;0.5;0.4;10
2A;2A004;pr;a;a;l;2;D;45.0;750.0;0.2;0.53;0.4;15
2A;2A004;pr;a;a;l;2;E;39.5;612.5;0.12;0.38;0.25;8
2A;2A004;pr;a;a;l;2;G;37.0;596.0;0.0;0.0;0.0;1
2A;2A004;pr;a;a;l;2;NS;50.5;674.0;0.17;0.33;0.67;6
2A;2A004;pr;a;a;l;2;VI;47.0;749.0;0.09;0.73;0.27;11
2A;2A004;pr;a;a;l;3;0;70.0;950.0;0.08;0.38;0.46;39
2A;2A004;pr;a;a;l;3;A;70.0;882.5;0.0;0.4;0.4;10
2A;2A004;pr;a;a;l;3;B;77.5;914.5;0.0;0.0;1.0;2
2A;2A004;pr;a;a;l;3;C;80.0;960.0;0.2;0.2;0.73;15
2A;2A004;pr;a;a;l;3;D;73.0;925.0;0.53;0.41;0.65;17
2A;2A004;pr;a;a;l;3;E;71.0;765.0;0.67;0.33;0.67;6
2A;2A004;pr;a;a;l;3;G;60.0;800.0;1.0;0.0;1.0;1
2A;2A004;pr;a;a;l;3;NS;67.5;912.5;0.25;0.5;0.5;4
2A;2A004;pr;a;a;l;3;VI;68.5;899.5;0.0;0.3;0.4;10
2A;2A004;pr;a;a;l;4;0;90.0;1050.0;0.29;0.36;0.71;28
2A;2A004;pr;a;a;l;4;B;102.0;970.0;0.25;0.25;1.0;4
2A;2A004;pr;a;a;l;4;C;109.5;1341.5;0.33;0.33;1.08;12
2A;2A004;pr;a;a;l;4;D;99.0;1363.0;0.43;0.71;1.0;7
2A;2A004;pr;a;a;l;4;E;141.0;1450.0;1.0;0.5;2.0;2
2A;2A004;pr;a;a;l;4;F;75.0;900.0;0.0;0.0;1.0;1
2A;2A004;pr;a;a;l;4;VI;117.0;1325.0;0.0;0.5;0.5;4
2A;2A004;pr;a;a;l;5;0;100.0;1230.0;0.0;0.33;0.33;3
2A;2A004;pr;a;a;l;5;C;188.0;2582.5;0.0;1.0;1.0;2
2A;2A004;pr;a;a;l;5;D;98.0;1188.0;1.0;1.0;1.0;2
2A;2A004;pr;a;m;l;4;0;207.0;3000.0;0.0;0.0;3.0;1
2A;2A004;pr;a;m;l;4;E;207.0;2400.0;0.0;0.0;3.0;1
2A;2A006;pr;a;a;l;4;A;110.0;1110.0;0.0;1.0;1.0;1
2A;2A008;pr;a;a;l;2;0;34.5;650.0;0.0;1.0;0.5;2
2A;2A008;pr;a;a;l;2;C;68.0;844.0;0.0;0.0;1.0;1
2A;2A008;pr;a;a;l;2;E;37.0;644.0;0.0;0.5;0.5;2
2A;2A008;pr;a;a;l;2;F;40.0;695.0;0.0;1.0;0.0;1
2A;2A008;pr;a;a;l;4;C;123.0;2150.0;0.0;2.0;0.0;1
2A;2A008;pr;a;m;l;5;C;141.0;1950.0;0.0;1.0;1.0;1
2A;2A032;pa;a;m;l;1;0;20.0;495.0;0.0;1.0;0.0;1
2A;2A032;pr;a;a;l;2;0;51.0;660.0;0.0;0.0;1.0;1
2A;2A032;pr;a;a;l;2;C;39.0;650.0;0.0;1.0;0.0;1
2A;2A032;pr;a;a;l;3;G;65.0;705.0;0.0;1.0;0.0;1
2A;2A032;pr;a;m;l;5;0;140.0;1600.0;0.0;1.0;1.0;1
2A;2A070;pr;a;a;l;2;D;45.0;670.0;0.0;1.0;0.0;1
