DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
2B;2B009;pr;a;a;l;1;D;25.0;400.0;0.0;0.0;0.0;1
2B;2B009;pr;a;a;l;2;D;68.0;565.0;0.0;0.0;0.0;1
2B;2B009;pr;a;a;l;2;E;31.0;550.0;0.0;0.0;0.0;1
2B;2B009;pr;a;a;l;3;C;75.0;660.0;0.0;0.0;0.0;1
2B;2B009;pr;a;a;l;4;D;70.0;720.0;0.0;0.0;0.0;1
2B;2B009;pr;a;m;l;4;D;90.0;900.0;0.0;0.0;0.0;1
2B;2B033;pa;a;a;l;1;0;25.0;450.0;0.0;0.0;1.0;1
2B;2B033;pa;a;a;l;2;0;45.0;600.0;0.4;0.4;0.0;5
2B;2B033;pa;a;a;l;3;0;92.0;800.0;1.0;0.33;1.0;3
2B;2B033;pa;a;a;l;4;0;72.0;990.0;0.0;0.0;0.0;1
2B;2B033;pa;a;a;l;4;B;82.0;925.0;1.0;0.0;1.0;1
2B;2B033;pa;a;m;l;2;0;35.0;750.0;0.0;0.0;0.0;1
2B;2B033;pr;a;a;l;1;0;27.0;440.0;0.11;0.11;0.44;9
2B;2B033;pr;a;a;l;1;C;31.0;482.5;0.0;0.25;0.0;4
2B;2B033;pr;a;a;l;1;D;27.0;500.0;0.0;0.33;0.0;3
2B;2B033;pr;a;a;l;1;E;23.0;410.0;0.0;0.0;1.0;1
2B;2B033;pr;a;a;l;1;NS;27.0;530.0;0.0;0.0;0.0;1
2B;2B033;pr;a;a;l;2;0;43.5;600.0;0.17;0.5;0.11;18
2B;2B033;pr;a;a;l;2;A;28.0;470.0;0.0;1.0;0.0;1
2B;2B033;pr;a;a;l;2;C;43.0;595.0;0.0;0.22;0.11;9
2B;2B033;pr;a;a;l;2;D;50.0;605.0;0.11;0.22;0.11;9
2B;2B033;pr;a;a;l;2;E;53.5;632.5;0.0;0.0;0.5;2
2B;2B033;pr;a;a;l;2;F;37.0;580.0;0.0;0.0;0.0;1
2B;2B033;pr;a;a;l;2;G;54.0;515.0;0.0;0.0;0.0;1
2B;2B033;pr;a;a;l;3;0;70.0;700.0;0.44;0.33;0.44;9
2B;2B033;pr;a;a;l;3;B;79.0;820.0;0.0;0.0;0.33;3
2B;2B033;pr;a;a;l;3;C;65.0;690.0;0.0;0.0;0.0;5
2B;2B033;pr;a;a;l;3;D;59.0;705.0;0.0;0.5;0.38;8
2B;2B033;pr;a;a;l;3;E;67.0;737.5;0.0;0.0;0.5;4
2B;2B033;pr;a;a;l;3;VI;67.0;870.0;0.0;1.0;0.0;1
2B;2B033;pr;a;a;l;4;0;80.0;835.0;0.33;0.67;0.5;6
2B;2B033;pr;a;a;l;4;C;90.0;915.0;0.33;0.17;0.67;6
2B;2B033;pr;a;a;l;4;D;80.0;890.0;1.0;1.0;0.0;1
2B;2B033;pr;a;a;l;6;D;117.0;1150.0;1.0;0.0;2.0;1
2B;2B033;pr;a;m;l;5;D;155.0;1880.0;0.0;0.0;0.0;1
2B;2B033;pr;a;m;l;6;0;190.0;2850.0;0.0;1.0;1.0;1
2B;2B037;pa;a;m;l;12;B;270.0;1700.0;1.0;3.0;0.0;1
2B;2B037;pr;a;a;l;1;0;33.0;400.0;0.0;0.0;0.0;1
2B;2B037;pr;a;a;l;3;0;72.0;818.0;0.0;0.0;0.0;1
2B;2B037;pr;a;a;l;3;D;64.0;700.0;0.0;0.0;0.33;3
2B;2B037;pr;a;a;l;4;C;86.0;950.0;0.0;0.0;0.0;1
2B;2B037;pr;a;m;l;3;0;65.0;900.0;0.0;0.0;0.0;1
2B;2B037;pr;a;m;l;4;C;140.0;1250.0;0.0;1.0;1.0;1
2B;2B037;pr;a;m;l;4;D;165.0;1169.0;0.0;0.0;0.0;1
2B;2B037;pr;a;m;l;5;C;142.0;1460.0;0.0;0.0;2.0;1
