REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
44.0;08;08003;pa;a;a;l;3;0;75.0;530.0;0.0;0.0;1.0;1
44.0;08;08003;pr;a;m;l;5;C;118.0;865.0;0.0;1.0;1.0;1
44.0;08;08003;pr;a;m;l;6;D;272.0;845.0;0.0;0.0;2.0;1
44.0;08;08025;pr;a;m;l;4;D;110.0;696.0;0.0;0.0;1.0;1
44.0;08;08034;pr;a;m;l;3;E;65.0;354.0;0.0;0.0;1.0;1
44.0;08;08039;pr;a;m;l;5;E;85.0;630.0;0.0;1.0;0.0;1
44.0;08;08040;pr;a;a;l;2;VI;40.0;430.0;0.0;0.0;1.0;1
44.0;08;08043;pr;a;a;l;3;E;69.0;561.0;0.0;0.0;0.0;1
44.0;08;08043;pr;a;a;l;4;0;90.0;519.0;0.0;0.0;0.5;2
44.0;08;08043;pr;a;a;l;4;B;107.0;655.0;0.0;0.0;1.0;1
44.0;08;08043;pr;a;a;l;5;VI;95.0;550.0;0.0;1.0;0.0;1
44.0;08;08043;pr;a;m;l;4;C;95.0;600.0;0.0;0.0;1.0;1
44.0;08;08053;pr;a;a;l;2;0;45.0;320.0;0.0;0.0;1.0;1
44.0;08;08053;pr;a;a;l;2;VI;45.0;320.0;0.0;0.0;1.0;1
44.0;08;08053;pr;a;m;l;2;0;75.0;450.0;0.0;0.0;1.0;1
44.0;08;08053;pr;a;m;l;2;G;29.0;350.0;0.0;0.0;1.0;1
44.0;08;08053;pr;a;m;l;4;0;85.0;660.0;0.0;0.0;0.5;2
44.0;08;08053;pr;a;m;l;5;NS;117.0;747.0;0.0;0.0;2.0;1
44.0;08;08055;pa;a;m;l;3;0;60.0;380.0;0.0;0.0;1.0;1
44.0;08;08080;pr;a;m;l;5;VI;167.0;800.0;0.0;1.0;1.0;1
44.0;08;08084;pr;a;a;l;4;E;71.0;690.0;0.0;0.0;0.0;1
44.0;08;08084;pr;a;m;l;7;C;206.0;920.0;0.0;0.0;2.0;1
44.0;08;08090;pa;a;m;l;3;0;60.0;500.0;0.0;0.0;0.0;1
44.0;08;08090;pr;a;a;l;3;0;81.0;396.0;0.0;0.0;0.0;1
44.0;08;08090;pr;a;a;l;3;VI;81.0;392.0;0.0;0.0;1.0;1
44.0;08;08090;pr;a;m;l;4;E;106.0;630.0;1.0;0.0;1.0;1
44.0;08;08105;pa;a;a;l;1;0;30.0;395.0;0.0;0.0;0.67;3
44.0;08;08105;pa;a;a;l;2;0;75.0;650.0;0.0;0.0;1.0;1
44.0;08;08105;pa;a;a;l;3;0;70.0;600.0;0.0;0.0;0.6;5
44.0;08;08105;pa;a;a;l;3;A;71.0;600.0;0.0;0.0;1.0;1
