DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
2A;2A001;pr;a;a;v;4;B;95.0;298000.0;3136.84;;;0.0;0.0;0.0;1
2A;2A001;pr;a;m;v;10;0;324.0;1880000.0;5802.47;;;0.0;0.0;0.0;1
2A;2A001;pr;a;m;v;14;D;256.0;725000.0;2832.03;;;0.0;7.0;0.0;1
2A;2A001;pr;a;m;v;4;A;170.0;724500.0;4261.76;;;0.0;2.0;1.0;1
2A;2A001;pr;a;m;v;5;D;109.0;435000.0;3991.58;;;0.0;0.5;1.5;2
2A;2A001;pr;a;m;vp;5;C;190.0;790000.0;4157.89;;;0.0;3.0;1.0;1
2A;2A001;pr;a;m;vp;8;B;400.0;1880000.0;4700.0;;;0.0;1.0;4.0;2
2A;2A001;pr;a;m;vp;9;C;277.0;997000.0;3599.28;;;0.0;7.0;0.0;1
2A;2A001;pr;m;a;v;4;NS;92.0;290000.0;3152.17;;;0.0;0.0;1.0;1
2A;2A004;pr;a;a;pi;2;C;51.0;200000.0;3921.57;16.3;0.05;0.0;0.0;0.0;1
2A;2A004;pr;a;a;pi;3;0;65.0;147000.0;2261.54;12.86;0.068;0.0;0.0;0.0;1
2A;2A004;pr;a;a;v;1;0;30.0;126650.0;4604.91;19.91;0.05;0.0;0.12;0.38;24
2A;2A004;pr;a;a;v;1;A;29.5;121000.0;4195.34;19.91;0.058;0.0;0.33;0.17;6
2A;2A004;pr;a;a;v;1;C;28.0;147000.0;4250.0;19.91;0.051;0.2;0.4;0.2;5
2A;2A004;pr;a;a;v;1;D;31.5;121000.0;4272.73;19.91;0.059;0.0;0.6;0.3;10
2A;2A004;pr;a;a;v;1;E;26.5;139750.0;5338.0;19.91;0.046;0.0;0.33;0.67;6
2A;2A004;pr;a;a;v;1;G;30.0;125000.0;4526.32;19.91;0.047;0.0;0.67;0.0;3
2A;2A004;pr;a;a;v;1;NS;32.0;118000.0;3575.76;19.91;0.063;0.0;1.0;0.0;3
2A;2A004;pr;a;a;v;1;VI;31.5;145000.0;4530.79;19.91;0.054;0.0;0.12;0.5;8
2A;2A004;pr;a;a;v;2;0;45.5;194500.0;4278.27;16.3;0.047;0.07;0.39;0.22;46
2A;2A004;pr;a;a;v;2;A;46.0;175000.0;3888.89;16.3;0.049;0.0;0.0;0.0;3
2A;2A004;pr;a;a;v;2;B;46.0;199000.0;4326.09;16.3;0.047;0.2;0.4;0.4;5
2A;2A004;pr;a;a;v;2;C;51.0;225000.0;4194.78;16.3;0.05;0.0;0.16;0.63;19
2A;2A004;pr;a;a;v;2;D;49.0;169000.0;3840.91;16.3;0.052;0.0;0.46;0.62;13
2A;2A004;pr;a;a;v;2;E;37.0;208000.0;5191.67;16.3;0.036;0.0;0.29;0.86;7
2A;2A004;pr;a;a;v;2;F;48.0;231000.0;4812.5;16.3;0.041;0.0;0.0;0.0;1
2A;2A004;pr;a;a;v;2;NS;46.0;213000.0;4489.36;16.3;0.042;0.1;0.65;0.3;20
2A;2A004;pr;a;a;v;2;VI;46.5;197000.0;4281.01;16.3;0.045;0.1;0.2;0.3;10
2A;2A004;pr;a;a;v;3;0;72.0;248000.0;3595.26;12.86;0.044;0.11;0.16;0.4;82
2A;2A004;pr;a;a;v;3;A;68.0;250000.0;3787.88;12.86;0.04;0.0;0.41;0.35;17
2A;2A004;pr;a;a;v;3;B;64.0;232500.0;3602.96;12.86;0.044;0.33;0.17;0.83;6
2A;2A004;pr;a;a;v;3;C;74.0;250000.0;3328.36;12.86;0.047;0.15;0.23;0.64;39
2A;2A004;pr;a;a;v;3;D;76.0;242000.0;3200.0;12.86;0.049;0.21;0.18;0.64;28
2A;2A004;pr;a;a;v;3;E;66.0;175500.0;2700.0;12.86;0.057;0.71;0.29;0.71;7
2A;2A004;pr;a;a;v;3;NS;71.0;304000.0;4715.94;12.86;0.035;0.25;0.34;0.84;44
2A;2A004;pr;a;a;v;3;VI;76.0;339000.0;3923.08;12.86;0.039;0.12;0.24;0.72;25
2A;2A004;pr;a;a;v;4;0;100.0;339000.0;3739.13;11.66;0.04;0.18;0.29;0.37;73
