DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
2B;2B007;pr;a;m;v;16;0;400.0;294000.0;735.0;;;0.0;0.0;0.0;1
2B;2B009;pr;a;a;v;2;D;56.0;149500.0;2669.64;13.02;0.059;0.0;0.0;0.0;1
2B;2B009;pr;a;a;v;3;E;64.0;95000.0;1484.38;8.8;0.071;0.0;0.0;0.0;1
2B;2B009;pr;a;a;v;4;C;90.0;200000.0;2222.22;10.29;0.056;0.0;0.0;0.0;1
2B;2B009;pr;a;m;v;4;0;90.0;260000.0;2888.89;10.0;0.042;0.0;0.0;0.0;1
2B;2B009;pr;a;m;v;5;B;173.0;410000.0;2369.94;;;0.0;0.0;0.0;1
2B;2B010;pr;a;a;v;3;0;47.0;145000.0;3085.11;;;0.0;1.0;0.0;1
2B;2B010;pr;a;a;v;3;B;74.0;317200.0;4286.49;;;0.0;0.0;1.0;1
2B;2B010;pr;a;a;v;5;E;100.0;493500.0;4935.0;;;0.0;0.0;0.0;1
2B;2B010;pr;a;m;v;5;D;153.0;1050000.0;6862.75;;;0.0;2.0;1.0;1
2B;2B010;pr;a;m;v;5;E;114.0;595000.0;5219.3;;;0.0;0.0;1.0;1
2B;2B010;pr;a;m;v;9;B;360.0;2038950.0;5663.75;;;0.0;3.0;2.0;1
2B;2B020;pr;a;a;v;1;D;23.0;88600.0;3843.18;;;0.0;0.5;0.5;2
2B;2B020;pr;a;a;v;2;D;42.0;135000.0;3214.29;;;0.0;0.0;1.0;1
2B;2B020;pr;a;a;v;2;E;38.5;135525.0;3542.27;;;0.5;0.5;0.5;2
2B;2B020;pr;a;a;v;3;D;55.0;189500.0;3445.45;;;0.0;1.0;0.0;1
2B;2B020;pr;a;m;v;2;F;57.0;382000.0;6701.75;;;0.0;0.0;1.0;1
2B;2B020;pr;a;m;v;6;0;150.0;570000.0;3800.0;;;0.0;0.0;2.0;1
2B;2B033;pr;a;a;v;1;B;24.0;87000.0;3625.0;16.65;0.055;0.0;1.0;0.0;1
2B;2B033;pr;a;a;v;1;C;29.0;104000.0;3586.21;16.65;0.061;0.0;0.33;0.33;3
2B;2B033;pr;a;a;v;1;E;29.0;102600.0;3537.93;16.65;0.056;0.0;0.0;0.0;1
2B;2B033;pr;a;a;v;10;0;80.0;210000.0;2625.0;;;0.0;1.0;0.0;1
2B;2B033;pr;a;a;v;10;VI;226.0;632000.0;2796.46;;;0.0;2.0;0.0;1
2B;2B033;pr;a;a;v;2;0;41.5;109500.0;2952.77;13.63;0.058;0.12;0.25;0.25;8
2B;2B033;pr;a;a;v;2;A;52.0;184000.0;3538.46;13.63;0.046;0.0;1.0;0.0;1
2B;2B033;pr;a;a;v;2;C;50.0;148400.0;2906.98;13.63;0.057;0.2;0.4;0.0;5
2B;2B033;pr;a;a;v;2;D;48.0;145000.0;3088.89;13.63;0.053;0.0;0.4;0.0;5
2B;2B033;pr;a;a;v;2;E;50.0;79000.0;1580.0;13.63;0.104;0.0;0.0;1.0;1
2B;2B033;pr;a;a;v;2;NS;50.0;163800.0;3276.0;13.63;0.05;0.0;0.0;1.0;1
2B;2B033;pr;a;a;v;2;VI;39.0;79000.0;2025.64;13.63;0.081;0.0;0.0;1.0;1
2B;2B033;pr;a;a;v;3;0;71.0;232000.0;2900.0;10.57;0.047;0.2;0.6;0.13;15
2B;2B033;pr;a;a;v;3;B;77.5;193750.0;2430.04;10.57;0.057;0.0;0.5;0.5;2
2B;2B033;pr;a;a;v;3;C;70.0;186500.0;2628.48;10.57;0.054;0.28;0.11;0.78;18
2B;2B033;pr;a;a;v;3;D;73.0;202850.0;2855.26;10.57;0.048;0.08;0.17;0.83;12
2B;2B033;pr;a;a;v;3;E;83.0;225000.0;2664.77;10.57;0.052;0.0;0.0;0.6;5
2B;2B033;pr;a;a;v;3;NS;55.0;119000.0;2163.64;10.57;0.059;0.0;0.0;1.0;1
2B;2B033;pr;a;a;v;3;VI;60.5;116400.0;1923.77;10.57;0.066;0.5;0.0;1.0;2
2B;2B033;pr;a;a;v;4;0;95.0;322500.0;3339.32;11.12;0.047;0.23;0.09;0.23;22
2B;2B033;pr;a;a;v;4;B;86.0;230000.0;2650.82;11.12;0.053;0.0;0.25;0.75;4
2B;2B033;pr;a;a;v;4;C;100.0;305000.0;3240.74;11.12;0.042;0.14;0.71;0.86;7
2B;2B033;pr;a;a;v;4;D;88.5;207000.0;2481.68;11.12;0.06;0.5;0.25;0.5;4
2B;2B033;pr;a;a;v;4;E;80.0;225000.0;2812.5;11.12;0.047;0.0;0.0;0.0;1
2B;2B033;pr;a;a;v;4;VI;94.0;299000.0;3126.57;11.12;0.045;0.25;0.75;0.25;4
2B;2B033;pr;a;a;v;5;C;96.0;252000.0;2562.94;;;0.0;0.0;1.0;2
2B;2B033;pr;a;a;v;5;D;110.0;398000.0;3618.18;;;0.0;0.0;0.0;1
2B;2B033;pr;a;a;v;5;E;97.0;264500.0;2726.8;;;0.0;0.0;1.0;1
2B;2B033;pr;a;a;v;5;NS;116.5;338500.0;2770.9;;;0.0;0.5;0.5;2
2B;2B033;pr;a;a;v;5;VI;142.0;375200.0;2499.91;;;0.0;0.0;0.5;2
2B;2B033;pr;a;a;v;6;0;132.0;399000.0;3022.73;9.83;0.039;0.0;2.0;1.0;1
2B;2B033;pr;a;a;v;6;D;156.0;314750.0;2027.63;9.83;0.06;0.0;1.0;0.5;2
2B;2B033;pr;a;a;v;8;0;210.0;290000.0;1380.95;;;1.0;2.0;0.0;1
2B;2B033;pr;a;m;v;10;D;250.0;660000.0;2640.0;;;0.0;0.0;0.0;1
2B;2B033;pr;a;m;v;3;0;89.0;240000.0;2696.63;;;0.0;0.0;0.0;1
2B;2B033;pr;a;m;v;3;VI;89.0;248000.0;2786.52;;;0.0;0.0;0.0;1
2B;2B033;pr;a;m;v;4;0;130.0;495000.0;4222.22;;;0.0;0.33;1.0;3
2B;2B033;pr;a;m;v;4;D;168.0;750000.0;4464.29;;;0.0;0.0;0.0;1
2B;2B033;pr;a;m;v;4;E;80.0;250000.0;3125.0;;;0.0;0.0;0.0;1
2B;2B033;pr;a;m;v;4;F;137.0;318000.0;2321.17;;;0.0;2.0;0.0;1
2B;2B033;pr;a;m;v;4;VI;130.0;590500.0;4542.31;;;0.0;0.0;0.0;1
2B;2B033;pr;a;m;v;5;0;147.5;524750.0;3564.82;12.13;0.04;0.0;0.5;0.5;2
2B;2B033;pr;a;m;v;5;NS;280.0;220000.0;785.71;12.13;0.185;0.0;0.0;0.0;1
2B;2B033;pr;a;m;v;5;VI;141.5;585900.0;4325.06;12.13;0.036;0.0;0.0;0.0;2
2B;2B033;pr;a;m;v;6;0;188.5;842500.0;4162.42;15.0;0.054;0.0;0.0;0.0;2
2B;2B033;pr;a;m;v;6;E;185.0;830000.0;4486.49;15.0;0.04;0.0;0.0;0.0;1
2B;2B033;pr;a;m;v;6;VI;127.0;594300.0;4679.53;15.0;0.038;0.0;0.0;0.0;1
2B;2B033;pr;a;m;v;7;0;235.0;560000.0;2464.41;;;0.0;1.5;0.5;2
2B;2B033;pr;a;m;v;7;D;285.0;750000.0;2631.58;;;0.0;0.0;0.0;1
2B;2B033;pr;a;m;v;7;NS;280.0;779000.0;2782.14;;;0.0;0.0;3.0;1
2B;2B033;pr;ca;a;v;3;0;68.0;380000.0;5507.25;10.57;0.03;0.0;0.0;0.0;3
2B;2B033;pr;ca;a;v;4;0;113.5;540000.0;4794.09;11.12;0.028;0.0;0.0;0.0;2
2B;2B033;pr;ca;an;v;1;0;29.0;90000.0;3103.45;16.65;0.067;0.0;0.0;0.0;3
2B;2B033;pr;ca;an;v;2;0;44.0;133000.0;2886.27;13.63;0.056;0.0;0.0;0.0;19
2B;2B033;pr;ca;an;v;3;0;69.0;203500.0;2889.2;10.57;0.043;0.0;0.0;0.0;22
2B;2B033;pr;ca;an;v;4;0;87.0;300000.0;3488.37;11.12;0.04;0.0;0.0;0.0;3
2B;2B033;pr;ca;an;v;5;0;205.0;830000.0;4048.78;;;0.0;0.0;0.0;1
2B;2B033;pr;cm;m;v;3;0;78.0;253500.0;3250.0;;;0.0;0.0;0.0;1
2B;2B033;pr;cm;mn;v;3;0;78.0;276000.0;3538.46;;;0.0;0.0;0.0;1
2B;2B033;pr;cm;mn;v;4;0;95.0;348800.0;3671.58;;;0.0;0.0;0.0;1
2B;2B033;pr;m;a;v;2;D;58.0;125000.0;2155.17;13.63;0.076;0.0;0.0;0.0;1
2B;2B033;pr;m;a;v;4;B;70.0;148000.0;2114.29;11.12;0.063;0.0;0.0;0.0;1
2B;2B034;pr;a;a;pi;3;0;33.0;115000.0;3492.64;;;0.0;0.0;0.0;2
2B;2B034;pr;a;a;v;3;VI;32.0;109500.0;3421.88;;;0.0;0.0;1.0;1
2B;2B034;pr;a;m;v;7;0;102.0;212000.0;2078.43;;;1.0;1.0;0.0;1
2B;2B034;pr;cm;mn;v;4;0;91.0;395000.0;4340.66;;;0.0;0.0;0.0;1
2B;2B037;pr;a;a;v;2;0;80.0;163000.0;2037.5;;;0.0;1.0;0.0;1
2B;2B037;pr;a;a;v;2;C;82.0;165500.0;2022.47;;;0.0;1.0;0.0;3
2B;2B037;pr;a;a;v;2;D;57.0;162000.0;2842.11;;;0.0;1.0;0.0;1
2B;2B037;pr;a;a;v;2;VI;49.0;128000.0;2612.24;;;0.0;1.0;0.0;1
2B;2B037;pr;a;a;v;3;0;67.0;147000.0;2241.94;10.94;0.053;0.0;0.0;0.0;3
2B;2B037;pr;a;a;v;3;C;68.0;182500.0;2576.51;10.94;0.05;0.25;0.0;0.75;4
2B;2B037;pr;a;a;v;3;D;71.0;138900.0;1996.8;10.94;0.065;0.0;0.17;0.67;6
2B;2B037;pr;a;a;v;3;E;61.0;160000.0;2622.95;10.94;0.05;1.0;1.0;0.0;1
2B;2B037;pr;a;a;v;3;VI;67.0;185000.0;2708.33;10.94;0.051;0.0;0.33;0.67;3
2B;2B037;pr;a;a;v;4;0;110.0;230000.0;2000.0;11.05;0.058;0.0;0.67;0.33;3
2B;2B037;pr;a;a;v;4;C;84.0;230000.0;2536.7;11.05;0.055;0.0;0.67;0.33;3
2B;2B037;pr;a;a;v;4;D;76.0;168000.0;2210.53;11.05;0.06;0.0;1.0;0.0;1
2B;2B037;pr;a;a;v;5;C;105.0;235000.0;2238.1;;;0.0;0.0;2.0;1
2B;2B037;pr;a;a;v;5;D;139.0;262000.0;1884.89;;;0.0;0.0;2.0;1
2B;2B037;pr;a;m;v;4;0;105.0;353600.0;3367.62;8.0;0.029;0.0;0.0;0.0;1
2B;2B037;pr;a;m;v;4;B;130.0;420000.0;3230.77;8.0;0.03;0.0;0.0;0.0;1
2B;2B037;pr;a;m;v;4;C;101.0;343000.0;3534.65;8.0;0.031;0.0;0.0;0.67;3
2B;2B037;pr;a;m;v;4;D;89.0;290000.0;3258.43;8.0;0.029;0.0;0.0;0.0;1
2B;2B037;pr;a;m;v;5;0;174.0;380000.0;2183.91;10.28;0.056;0.0;0.0;2.0;1
2B;2B037;pr;a;m;v;5;C;151.0;510300.0;3393.16;10.28;0.037;0.0;1.0;1.0;2
2B;2B037;pr;a;m;v;5;D;110.0;380000.0;3454.55;10.28;0.036;0.0;0.0;1.0;1
2B;2B037;pr;a;m;v;6;C;197.0;527000.0;2675.13;;;0.0;2.0;1.0;1
2B;2B037;pr;a;m;v;6;D;205.0;470000.0;2292.68;;;0.0;0.0;0.0;1
2B;2B037;pr;a;m;v;7;0;214.0;441050.0;2060.98;;;0.0;0.0;0.0;1
2B;2B037;pr;a;m;v;7;C;330.0;787500.0;2386.36;;;1.0;2.0;1.0;1
2B;2B037;pr;a;m;v;7;E;214.0;441000.0;2060.75;;;0.0;0.0;2.0;1
2B;2B042;pr;a;a;pi;2;D;32.0;100000.0;3125.0;11.08;0.043;0.0;0.0;0.0;1
2B;2B042;pr;a;a;pi;3;0;33.0;95000.0;2876.84;10.0;0.042;0.0;0.0;0.0;2
2B;2B042;pr;a;a;pi;3;E;31.0;110000.0;3548.39;10.0;0.034;0.0;0.0;0.0;1
2B;2B042;pr;a;a;v;1;0;31.0;81900.0;2641.94;17.68;0.08;0.0;1.0;0.0;1
2B;2B042;pr;a;a;v;2;0;43.0;140000.0;3255.82;11.08;0.042;0.0;0.5;0.5;2
2B;2B042;pr;a;a;v;2;D;54.0;121000.0;2240.74;11.08;0.062;0.5;0.5;0.5;2
2B;2B042;pr;a;a;v;3;0;78.0;193500.0;2547.04;10.0;0.05;0.75;0.25;0.25;4
2B;2B042;pr;a;a;v;3;B;90.0;257000.0;2855.56;10.0;0.042;2.0;1.0;0.0;1
2B;2B042;pr;a;a;v;3;D;60.0;115000.0;1916.67;10.0;0.063;0.0;0.0;0.0;1
2B;2B042;pr;a;a;v;3;NS;33.0;120500.0;3652.58;10.0;0.033;0.0;1.0;0.0;2
2B;2B042;pr;a;a;v;3;VI;61.0;169000.0;2722.22;10.0;0.043;0.0;0.2;0.2;5
2B;2B042;pr;a;a;v;4;0;94.5;222500.0;2375.76;8.56;0.044;0.0;0.5;0.5;2
2B;2B042;pr;a;a;v;4;B;77.0;204000.0;2649.35;8.56;0.039;0.0;1.0;0.0;1
2B;2B042;pr;a;a;v;4;C;75.0;201400.0;2685.33;8.56;0.038;0.0;0.0;0.0;1
2B;2B042;pr;a;a;v;4;D;70.0;140000.0;2000.0;8.56;0.051;2.0;0.0;0.0;1
2B;2B042;pr;a;a;v;6;NS;67.0;241000.0;3597.01;;;0.0;2.0;0.0;1
2B;2B042;pr;a;m;pi;2;D;36.0;130000.0;3611.11;11.92;0.04;0.0;0.0;0.0;1
2B;2B042;pr;a;m;v;3;D;78.5;260000.0;3312.1;12.45;0.045;0.0;0.0;0.0;2
2B;2B042;pr;a;m;v;4;0;110.0;372500.0;3236.6;10.96;0.042;0.0;0.0;0.0;2
2B;2B042;pr;a;m;v;4;A;92.0;260000.0;2826.09;10.96;0.047;0.0;0.0;1.0;1
2B;2B042;pr;a;m;v;4;B;142.0;398000.0;2802.82;10.96;0.047;0.0;1.0;1.0;1
2B;2B042;pr;a;m;v;4;C;94.0;310000.0;3297.87;10.96;0.04;0.0;2.0;0.0;1
2B;2B042;pr;a;m;v;4;VI;131.0;350000.0;2671.76;10.96;0.049;0.0;0.0;3.0;1
2B;2B042;pr;a;m;v;5;0;124.0;260400.0;2100.0;14.6;0.083;0.0;0.0;3.0;1
2B;2B042;pr;a;m;v;5;C;296.0;1102500.0;3724.66;14.6;0.047;0.0;1.0;1.0;1
2B;2B042;pr;a;m;v;5;VI;304.0;425000.0;1938.89;14.6;0.111;0.0;1.5;1.5;2
2B;2B042;pr;a;m;v;6;A;136.0;380000.0;2794.12;;;0.0;1.0;1.0;1
2B;2B042;pr;a;m;v;7;C;155.0;399000.0;2574.19;;;0.0;2.0;1.0;1
2B;2B042;pr;a;m;v;8;0;230.0;450000.0;1956.52;;;0.0;0.0;0.0;1
2B;2B042;pr;a;m;v;8;C;270.0;1050000.0;3888.89;;;0.0;2.0;1.0;1
2B;2B042;pr;a;m;v;8;D;251.0;867900.0;3480.98;;;0.0;2.0;1.5;2
2B;2B042;pr;ca;a;v;2;0;43.5;125980.0;2908.26;11.08;0.046;0.0;0.0;0.0;2
2B;2B042;pr;ca;a;v;3;0;62.5;171500.0;2746.54;10.0;0.044;0.0;0.0;0.0;2
2B;2B042;pr;ca;an;v;1;0;32.5;91150.0;2813.66;17.68;0.076;0.0;0.0;0.0;2
