REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
3.0;973;97302;pr;a;a;pi;3;0;58.0;120000.0;2068.97;13.44;0.078;0.0;0.0;0.0;1
3.0;973;97302;pr;a;a;v;1;0;23.0;77000.0;3347.83;21.5;0.088;0.0;0.22;0.44;9
3.0;973;97302;pr;a;a;v;1;NS;26.0;77500.0;3543.06;21.5;0.08;0.25;0.25;0.5;4
3.0;973;97302;pr;a;a;v;1;VI;26.5;89500.0;3375.37;21.5;0.076;0.0;1.0;0.0;2
3.0;973;97302;pr;a;a;v;11;0;160.0;300000.0;1875.0;;;0.0;0.0;0.0;1
3.0;973;97302;pr;a;a;v;2;0;42.0;122000.0;2801.55;16.28;0.073;0.14;0.53;0.39;36
3.0;973;97302;pr;a;a;v;2;NS;45.0;124700.0;2972.22;16.28;0.071;0.11;0.67;0.0;9
3.0;973;97302;pr;a;a;v;2;VI;45.0;111000.0;2534.88;16.28;0.081;0.0;0.78;0.11;9
3.0;973;97302;pr;a;a;v;3;0;70.5;168200.0;2504.61;13.44;0.071;0.0;0.41;0.23;22
3.0;973;97302;pr;a;a;v;3;NS;64.0;167000.0;2446.15;13.44;0.066;0.11;0.33;0.44;9
3.0;973;97302;pr;a;a;v;3;VI;70.5;157500.0;2811.3;13.44;0.075;0.0;0.75;0.5;8
3.0;973;97302;pr;a;a;v;4;0;87.5;182600.0;1948.86;11.33;0.074;0.0;0.0;1.5;4
3.0;973;97302;pr;a;a;v;4;NS;97.0;175100.0;1825.75;11.33;0.076;0.5;0.5;1.5;2
3.0;973;97302;pr;a;a;v;4;VI;114.0;125000.0;1096.49;11.33;0.124;0.0;2.0;1.0;1
3.0;973;97302;pr;a;a;vp;1;0;27.0;110000.0;4035.71;21.5;0.063;0.0;1.0;0.0;3
3.0;973;97302;pr;a;m;pi;4;0;95.0;150000.0;1578.95;14.72;0.112;0.0;0.0;0.0;1
3.0;973;97302;pr;a;m;v;3;0;75.0;254000.0;2992.94;15.33;0.06;0.0;0.33;0.33;3
3.0;973;97302;pr;a;m;v;3;NS;118.0;225000.0;1906.78;15.33;0.096;0.0;0.0;0.0;1
3.0;973;97302;pr;a;m;v;3;VI;73.5;229500.0;3085.82;15.33;0.061;0.0;1.5;0.5;2
3.0;973;97302;pr;a;m;v;4;0;95.0;198950.0;2178.54;14.72;0.087;0.07;0.86;0.36;14
3.0;973;97302;pr;a;m;v;4;NS;104.0;253500.0;2429.48;14.72;0.073;0.0;0.0;0.0;2
