DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
57;57003;pr;a;m;v;14;C;870.0;197000.0;226.44;;;0.0;9.0;0.0;1
57;57003;pr;a;m;v;4;F;75.0;59500.0;793.33;;;0.0;0.0;0.0;1
57;57003;pr;a;m;v;6;D;160.0;110000.0;687.5;;;0.0;0.0;1.0;1
57;57003;pr;a;m;v;7;C;275.0;695000.0;2527.27;;;0.0;0.0;1.0;1
57;57007;pr;a;m;v;7;D;220.0;545000.0;2477.27;;;0.0;0.0;0.0;1
57;57010;pr;a;m;v;5;VI;100.0;97000.0;970.0;;;0.0;0.0;1.0;1
57;57012;pr;a;a;v;2;0;51.0;49000.0;960.78;10.98;0.137;0.0;1.0;0.0;1
57;57012;pr;a;a;v;2;C;40.0;49600.0;1240.0;10.98;0.106;0.0;0.0;1.0;1
57;57012;pr;a;a;v;2;D;42.0;83000.0;1976.19;10.98;0.067;0.0;0.0;1.0;1
57;57012;pr;a;a;v;2;E;51.0;59950.0;1175.49;10.98;0.112;0.0;1.0;1.0;1
57;57012;pr;a;a;v;3;D;64.0;89250.0;1394.53;9.92;0.085;0.0;0.0;0.0;1
57;57012;pr;a;a;v;4;0;82.0;81000.0;987.8;;;0.0;0.0;1.0;1
57;57012;pr;a;a;v;4;C;113.0;112000.0;991.15;;;0.0;0.0;1.0;1
57;57012;pr;a;a;v;4;D;127.0;107000.0;842.52;;;0.0;0.0;1.0;1
57;57012;pr;a;a;v;4;E;75.5;90850.0;1208.81;;;0.0;0.5;1.0;2
57;57012;pr;a;m;v;10;C;261.0;353600.0;1354.79;;;0.0;0.0;0.0;1
57;57012;pr;a;m;v;3;0;69.0;95000.0;1376.81;;;0.0;1.0;0.0;1
57;57012;pr;a;m;v;3;D;60.0;125000.0;2083.33;;;0.0;0.0;1.0;1
57;57012;pr;a;m;v;4;E;71.0;101275.0;1424.08;;;0.0;0.5;0.5;2
57;57012;pr;a;m;v;5;0;114.0;119900.0;1051.75;;;0.0;0.0;1.0;1
57;57012;pr;a;m;v;5;D;93.0;172800.0;1858.06;;;0.0;1.0;0.0;1
57;57012;pr;a;m;v;6;C;128.0;317000.0;2476.56;;;0.0;0.0;1.0;1
57;57012;pr;a;m;v;8;VI;140.0;117000.0;835.71;;;0.0;0.0;0.0;1
57;57012;pr;m;a;v;2;C;40.0;49600.0;1240.0;10.98;0.106;0.0;0.0;0.0;1
57;57012;pr;m;a;v;3;C;71.0;134900.0;1900.0;9.92;0.063;0.0;0.0;0.0;1
57;57012;pr;m;a;v;5;C;102.0;105000.0;1029.41;6.15;0.072;1.0;0.0;0.0;1
57;57012;pr;m;a;v;5;E;103.0;79000.0;766.99;6.15;0.096;0.0;0.0;0.0;1
57;57012;pr;m;m;v;3;D;60.0;125000.0;2083.33;;;0.0;0.0;0.0;1
57;57012;pr;m;m;v;3;VI;53.0;70000.0;1320.75;;;0.0;0.0;0.0;1
57;57012;pr;m;m;v;6;D;146.0;295000.0;2020.55;;;0.0;0.0;0.0;1
57;57013;pr;cm;mn;v;6;0;170.0;439000.0;2582.35;;;0.0;0.0;0.0;1
57;57013;pr;m;a;v;3;E;63.0;67000.0;1063.49;;;0.0;0.0;0.0;1
57;57014;pr;a;m;v;3;F;65.0;55000.0;846.15;;;0.0;0.0;0.0;1
57;57015;pr;a;m;v;6;D;170.0;282000.0;1658.82;;;0.0;0.0;1.0;1
57;57017;pr;a;m;v;7;D;184.0;279000.0;1516.3;;;0.0;0.0;2.0;1
57;57019;pr;a;a;v;2;D;49.0;136000.0;2802.26;10.68;0.047;0.0;0.5;0.0;2
