INSEE_COM;LIBCOM;DEP;REG;ARR;CV;EPCI;NATURE_EPCI;ZE2020;UU2020
01001;L'Abergement-Clémenciat;01;84;012;0108;200069193;CC;8405;01000
01002;L'Abergement-de-Varey;01;84;011;0101;240100883;CC;8405;01000
01004;Ambérieu-en-Bugey;01;84;011;0101;240100883;CC;8405;01303
01005;Ambérieux-en-Dombes;01;84;012;0122;200042497;CC;8434;01000
01006;Ambléon;01;84;011;0104;200040350;CC;8404;01000
01007;Ambronay;01;84;011;0101;240100883;CC;8405;01000
01008;Ambutrix;01;84;011;0101;240100883;CC;8405;01303
01009;Andert-et-Condon;01;84;011;0104;200040350;CC;8404;01000
01010;Anglefort;01;84;011;0110;200070852;CC;8416;01000
01011;Apremont;01;84;014;0114;200042935;CA;8425;01000
01012;Aranc;01;84;011;0110;200042935;CA;8404;01000
01013;Arandas;01;84;011;0101;240100883;CC;8405;01000
01014;Arbent;01;84;014;0115;200042935;CA;8425;01402
01015;Arboys en Bugey;01;84;011;0104;200040350;CC;8404;01000
01016;Arbigny;01;84;012;0117;200071371;CC;0059;01000
01017;Argis;01;84;011;0101;240100883;CC;8405;01000
01019;Armix;01;84;011;0110;200040350;CC;8404;01000
01021;Ars-sur-Formans;01;84;012;0122;200042497;CC;8434;01000
01022;Artemare;01;84;011;0110;200040350;CC;8404;01000
01023;Asnières-sur-Saône;01;84;012;0117;200071371;CC;0059;01000
01024;Attignat;01;84;012;0102;200071751;CA;8405;01113
01025;Bâgé-Dommartin;01;84;012;0117;200071371;CC;0059;01201
01026;Bâgé-le-Châtel;01;84;012;0117;200071371;CC;0059;01201
01027;Balan;01;84;012;0112;240100610;CC;8421;01202
01028;Baneins;01;84;012;0122;200069193;CC;8434;01000
01029;Beaupont;01;84;012;0118;200071751;CA;8405;01000
01030;Beauregard;01;84;012;0121;200042497;CC;8434;00760
01031;Bellignat;01;84;014;0114;200042935;CA;8425;01402
01032;Béligneux;01;84;012;0112;240100610;CC;8421;01202
01033;Valserhône;01;84;014;0103;240100891;CC;8416;00360
01034;Belley;01;84;011;0104;200040350;CC;8404;01301
01035;Belleydoux;01;84;014;0114;200042935;CA;8425;01000
01036;Valromey-sur-Séran;01;84;011;0110;200040350;CC;8404;01000
01037;Bénonces;01;84;011;0111;240100883;CC;8404;01000
01038;Bény;01;84;012;0118;200071751;CA;8405;01000
01039;Béon;01;84;011;0110;200040350;CC;8404;01000
01040;Béréziat;01;84;012;0102;200071751;CA;8405;01000
01041;Bettant;01;84;011;0101;240100883;CC;8405;01000
01042;Bey;01;84;012;0123;200070555;CC;0059;01000
01043;Beynost;01;84;012;0113;240100800;CC;8421;00760
01044;Billiat;01;84;014;0103;240100891;CC;8416;01000
01045;Birieux;01;84;012;0122;200069193;CC;8405;01000
01046;Biziat;01;84;012;0123;200070555;CC;0059;01000
01047;Blyes;01;84;011;0111;240100883;CC;8405;01000
01049;La Boisse;01;84;012;0113;240100610;CC;8421;00760
01050;Boissey;01;84;012;0117;200071371;CC;0059;01000
01051;Bolozon;01;84;014;0116;200042935;CA;8425;01000
01052;Bouligneux;01;84;012;0122;200069193;CC;8405;01000
01053;Bourg-en-Bresse;01;84;012;0199;200071751;CA;8405;01501
01054;Bourg-Saint-Christophe;01;84;011;0112;240100883;CC;8405;01302
01056;Boyeux-Saint-Jérôme;01;84;014;0116;200029999;CC;8405;01000
01057;Boz;01;84;012;0117;200071371;CC;0059;01000
01058;Brégnier-Cordon;01;84;011;0104;200040350;CC;8404;01000
01060;Brénod;01;84;014;0110;200042935;CA;8404;01000
01061;Brens;01;84;011;0104;200040350;CC;8404;01301
01062;Bressolles;01;84;012;0112;240100610;CC;8421;01000
01063;Brion;01;84;014;0114;200042935;CA;8425;01203
01064;Briord;01;84;011;0111;240100883;CC;8405;01000
01065;Buellas;01;84;012;0102;200071751;CA;8405;01108
01066;La Burbanche;01;84;011;0104;200040350;CC;8404;01000
01067;Ceignes;01;84;014;0116;200042935;CA;8425;01000
01068;Cerdon;01;84;014;0116;200029999;CC;8405;01000
01069;Certines;01;84;012;0107;200071751;CA;8405;01116
01071;Cessy;01;84;013;0109;240100750;CA;8416;01401
01072;Ceyzériat;01;84;012;0107;200071751;CA;8405;01123
01073;Ceyzérieu;01;84;011;0104;200040350;CC;8404;01000
01074;Chalamont;01;84;012;0107;200069193;CC;8405;01105
01075;Chaleins;01;84;012;0122;200070118;CC;8434;01000
01076;Chaley;01;84;011;0110;240100883;CC;8404;01000
01077;Challes-la-Montagne;01;84;014;0116;200029999;CC;8405;01000
01078;Challex;01;84;013;0120;240100750;CA;8416;01000
01079;Champagne-en-Valromey;01;84;011;0110;200040350;CC;8404;01000
01080;Champdor-Corcelles;01;84;011;0110;200042935;CA;8404;01000
01081;Champfromier;01;84;014;0103;240100891;CC;8416;01000
01082;Chanay;01;84;014;0103;240100891;CC;8416;01000
01083;Chaneins;01;84;012;0122;200069193;CC;8434;01000
01084;Chanoz-Châtenay;01;84;012;0123;200070555;CC;8405;01000
01085;La Chapelle-du-Châtelard;01;84;012;0108;200069193;CC;8405;01000
01087;Charix;01;84;014;0114;200042935;CA;8425;01000
01088;Charnoz-sur-Ain;01;84;011;0111;240100883;CC;8405;01000
01089;Château-Gaillard;01;84;011;0101;240100883;CC;8405;01000
01090;Châtenay;01;84;012;0107;200069193;CC;8405;01000
01092;Châtillon-la-Palud;01;84;012;0107;200069193;CC;8405;01104
01093;Châtillon-sur-Chalaronne;01;84;012;0108;200069193;CC;8405;01130
01094;Chavannes-sur-Reyssouze;01;84;012;0117;200071371;CC;0059;01000
01095;Nivigne et Suran;01;84;012;0118;200071751;CA;8405;01000
01096;Chaveyriat;01;84;012;0123;200070555;CC;8405;01000
01098;Chazey-Bons;01;84;011;0104;200040350;CC;8404;01000
01099;Chazey-sur-Ain;01;84;011;0111;240100883;CC;8405;01000
01100;Cheignieu-la-Balme;01;84;011;0104;200040350;CC;8404;01000
01101;Chevillard;01;84;014;0110;200042935;CA;8425;01000
01102;Chevroux;01;84;012;0117;200071371;CC;0059;01000
01103;Chevry;01;84;013;0120;240100750;CA;8416;01122
01104;Chézery-Forens;01;84;013;0120;240100750;CA;8416;01000
01105;Civrieux;01;84;012;0122;200042497;CC;8434;01000
01106;Cize;01;84;012;0118;200071751;CA;8405;01000
01107;Cleyzieu;01;84;011;0101;240100883;CC;8405;01000
01108;Coligny;01;84;012;0118;200071751;CA;8405;01000
01109;Collonges;01;84;013;0120;240100750;CA;8416;01000
01110;Colomieu;01;84;011;0104;200040350;CC;8404;01000
01111;Conand;01;84;011;0101;240100883;CC;8405;01000
01112;Condamine;01;84;014;0110;200042935;CA;8425;01101
01113;Condeissiat;01;84;012;0108;200069193;CC;8405;01000
01114;Confort;01;84;014;0103;240100891;CC;8416;01000
01115;Confrançon;01;84;012;0102;200071751;CA;8405;01000
01116;Contrevoz;01;84;011;0104;200040350;CC;8404;01000
01117;Conzieu;01;84;011;0104;200040350;CC;8404;01000
01118;Corbonod;01;84;011;0110;200070852;CC;8416;00165
01121;Corlier;01;84;011;0110;200042935;CA;8404;01000
01123;Cormoranche-sur-Saône;01;84;012;0123;200070555;CC;0059;01000
01124;Cormoz;01;84;012;0118;200071751;CA;8405;01000
01125;Corveissiat;01;84;012;0118;200071751;CA;8405;01000
01127;Courmangoux;01;84;012;0118;200071751;CA;8405;01000
01128;Courtes;01;84;012;0117;200071751;CA;8405;01000
01129;Crans;01;84;012;0107;200069193;CC;8405;01000
01130;Bresse Vallons;01;84;012;0102;200071751;CA;8405;01000
01133;Cressin-Rochefort;01;84;011;0104;200040350;CC;8404;01000
01134;Crottet;01;84;012;0123;200070555;CC;0059;01126
01135;Crozet;01;84;013;0120;240100750;CA;8416;01122
01136;Cruzilles-lès-Mépillat;01;84;012;0123;200070555;CC;0059;01000
01138;Culoz;01;84;011;0110;200040350;CC;8404;01111
01139;Curciat-Dongalon;01;84;012;0117;200071751;CA;8405;01000
01140;Curtafond;01;84;012;0102;200071751;CA;8405;01000
01141;Cuzieu;01;84;011;0104;200040350;CC;8404;01000
01142;Dagneux;01;84;012;0112;240100610;CC;8421;00760
01143;Divonne-les-Bains;01;84;013;0109;240100750;CA;8416;01205
01145;Dompierre-sur-Veyle;01;84;012;0107;200071751;CA;8405;01000
01146;Dompierre-sur-Chalaronne;01;84;012;0108;200069193;CC;8405;01000
01147;Domsure;01;84;012;0118;200071751;CA;8405;01000
01148;Dortan;01;84;014;0116;200042935;CA;8425;01000
01149;Douvres;01;84;011;0101;240100883;CC;8405;01000
01150;Drom;01;84;012;0118;200071751;CA;8405;01000
01151;Druillat;01;84;012;0107;200071751;CA;8405;01000
01152;Échallon;01;84;014;0114;200042935;CA;8425;01000
01153;Échenevex;01;84;013;0120;240100750;CA;8416;01102
01155;Évosges;01;84;011;0110;200042935;CA;8404;01000
01156;Faramans;01;84;011;0112;240100883;CC;8421;01000
01157;Fareins;01;84;012;0122;200042497;CC;8434;00760
01158;Farges;01;84;013;0120;240100750;CA;8416;01118
01159;Feillens;01;84;012;0117;200071371;CC;0059;01114
01160;Ferney-Voltaire;01;84;013;0119;240100750;CA;8416;00653
01162;Flaxieu;01;84;011;0104;200040350;CC;8404;01000
01163;Foissiat;01;84;012;0102;200071751;CA;8405;01000
01165;Francheleins;01;84;012;0122;200070118;CC;8434;01000
01166;Frans;01;84;012;0121;200042497;CC;8434;00760
01167;Garnerans;01;84;012;0108;200070118;CC;8434;01000
01169;Genouilleux;01;84;012;0108;200070118;CC;8434;01000
01170;Béard-Géovreissiat;01;84;014;0114;200042935;CA;8425;01203
01171;Géovreisset;01;84;014;0114;200042935;CA;8425;01402
01173;Gex;01;84;013;0109;240100750;CA;8416;01401
01174;Giron;01;84;014;0103;240100891;CC;8416;01000
