IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_ACT1564;P17_ACTOCC1564;P17_CHOM1564;P17_INACT1564;P17_ETUD1564;P17_RETR1564;P17_AINACT1564;C17_ACT1564_CS1;C17_ACT1564_CS2;C17_ACT1564_CS3;C17_ACT1564_CS4;C17_ACT1564_CS5;C17_ACT1564_CS6;P17_ACTOCC15P_TP;P17_SAL15P_TP;P17_SAL15P_CDI;P17_SAL15P_CDD;P17_SAL15P_INTERIM;P17_SAL15P_EMPAID;P17_SAL15P_APPR;P17_NSAL15P_INDEP;P17_NSAL15P_EMPLOY;P17_NSAL15P_AIDFAM;P17_ACTOCC15P_ILT1;P17_ACTOCC15P_ILT2P;P17_ACTOCC15P_ILT2;P17_ACTOCC15P_ILT3;P17_ACTOCC15P_ILT4;P17_ACTOCC15P_ILT5;C17_ACTOCC15P;C17_ACTOCC15P_PAS;C17_ACTOCC15P_MAR;C17_ACTOCC15P_VELO;C17_ACTOCC15P_2ROUESMOT;C17_ACTOCC15P_VOIT;C17_ACTOCC15P_TCOM
974010101;4;974;9D402;97401;ZZZZZZ;9740101;H;Z;2861;2054;807;1062;422;125;515;46;175;400;709;884;494;410;340;1272;234;13;64;33;323;130;10;747;1333;1323;0;8;3;2061;85;110;5;41;1738;83
974010102;4;974;9D402;97401;ZZZZZZ;9740101;H;Z;1782;1356;426;525;207;110;208;59;105;219;425;571;343;274;231;930;128;0;39;18;156;88;5;476;888;872;0;10;5;1363;71;43;8;26;1184;31
974010201;4;974;9D402;97401;ZZZZZZ;9740102;H;Z;831;585;246;387;130;39;217;23;61;20;167;327;184;184;148;353;74;5;38;8;74;26;8;266;319;319;0;0;0;585;44;38;3;3;488;10
974010202;4;974;9D402;97401;ZZZZZZ;9740102;D;Z;8;8;0;0;0;0;0;3;3;0;0;0;3;3;0;0;0;0;0;0;8;0;0;5;3;3;0;0;0;8;0;0;0;0;5;3
974020101;4;974;9D301;97402;ZZZZZZ;9740201;H;Z;1536;1061;474;624;249;102;272;28;67;137;324;576;322;186;173;697;128;8;64;18;106;49;3;391;681;675;0;3;3;1072;36;82;20;13;893;28
974020102;4;974;9D301;97402;ZZZZZZ;9740201;H;Z;1530;1126;404;595;220;87;288;48;79;150;337;544;304;207;179;765;146;13;31;13;105;65;5;356;785;785;0;0;0;1142;41;54;42;10;949;46
974020103;4;974;9D301;97402;ZZZZZZ;9740201;H;Z;825;551;274;392;112;54;226;46;51;39;161;268;212;109;97;339;87;0;23;3;71;26;8;217;339;339;0;0;0;556;34;48;8;8;436;23
974020104;4;974;9D301;97402;ZZZZZZ;9740201;H;Z;2274;1347;928;725;261;46;418;16;82;91;376;885;612;305;292;869;217;18;107;23;92;36;0;472;891;888;0;3;0;1362;51;114;38;23;1066;69
974020105;4;974;9D301;97402;ZZZZZZ;9740201;D;Z;8;5;3;8;5;0;3;3;0;0;5;0;0;3;3;3;0;0;0;0;3;0;0;3;3;3;0;0;0;5;3;0;0;0;3;0
974030101;4;974;9D601;97403;ZZZZZZ;9740301;H;4;1682;1196;486;613;205;114;294;10;110;115;364;628;379;347;313;705;207;14;83;29;118;51;0;514;692;688;0;3;1;1196;40;164;20;40;902;30
974030102;4;974;9D601;97403;ZZZZZZ;9740301;H;4;1537;1096;441;589;205;119;265;45;100;105;399;468;314;268;235;655;162;8;59;17;144;57;4;394;712;711;0;1;0;976;35;60;25;40;797;20
974030103;4;974;9D601;97403;ZZZZZZ;9740301;D;4;5;3;2;1;0;0;1;0;0;0;10;0;10;0;0;2;0;0;0;0;1;0;0;0;3;3;0;0;0;10;0;0;0;0;10;0
974040101;4;974;9D402;97404;974312;9740401;H;1;2252;1557;695;763;292;129;341;33;121;204;589;710;453;365;302;1027;130;18;56;44;205;96;0;675;902;882;0;15;5;1577;72;103;21;51;1275;55
974040102;4;974;9D402;97404;974301;9740401;H;1;1471;1008;463;436;170;60;206;18;73;174;277;516;327;227;202;670;111;3;63;25;64;66;10;452;558;556;0;0;2;1011;33;78;25;38;811;25
974040201;4;974;9D402;97404;974301;9740402;H;1;1270;881;389;459;127;73;260;30;111;117;233;388;341;202;164;527;106;0;58;15;121;56;3;482;404;399;0;5;0;886;18;43;0;23;767;35
974040301;4;974;9D402;97404;974312;9740403;H;1;931;768;163;345;149;114;82;13;89;240;277;218;66;117;84;522;38;3;10;10;107;101;0;254;537;530;0;8;0;791;40;41;8;15;682;5
974040401;4;974;9D402;97404;974301;9740404;H;1;481;385;96;240;78;48;114;48;38;35;92;174;81;101;85;221;37;3;15;3;69;33;5;200;186;183;0;2;0;385;41;3;0;10;324;7
974040501;4;974;9D402;97404;974312;9740405;H;2;373;321;52;145;43;30;73;5;35;63;138;88;40;55;40;203;55;0;0;0;48;20;5;78;253;253;0;0;0;331;20;0;0;13;298;0
974050101;4;974;9D302;97405;ZZZZZZ;9740501;H;1;1292;887;405;521;162;135;224;46;67;110;273;507;216;164;139;598;93;13;42;17;97;43;7;383;527;527;0;0;0;910;20;60;3;20;776;32
974050102;4;974;9D302;97405;ZZZZZZ;9740501;H;1;2174;1399;775;993;307;184;503;73;134;96;443;814;474;291;254;860;194;15;67;40;144;87;3;561;849;844;0;5;0;1409;46;60;13;25;1229;37
974050103;4;974;9D302;97405;ZZZZZZ;9740501;H;1;1070;746;324;392;127;82;183;67;87;109;253;303;190;112;95;454;84;0;15;7;131;55;7;297;456;454;0;3;0;754;25;20;3;30;664;12
974050104;4;974;9D302;97405;ZZZZZZ;9740501;D;3;37;36;1;6;5;0;1;13;3;0;5;8;5;1;1;21;3;0;0;0;8;0;5;20;16;16;0;0;0;33;13;0;0;0;20;0
974050201;4;974;9D302;97405;ZZZZZZ;9740502;H;1;899;594;306;411;117;42;251;33;45;22;188;294;252;140;115;371;66;0;37;10;70;35;5;266;328;328;0;0;0;594;25;30;3;28;492;17
