IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;C17_MEN;C17_MENPSEUL;C17_MENSFAM;C17_MENFAM;C17_FAM;C17_COUPAENF;C17_FAMMONO;C17_COUPSENF;C17_NE24F0;C17_NE24F1;C17_NE24F2;C17_NE24F3;C17_NE24F4P
260010000;84;26;26000;26001;ZZZZZZ;2600100;Z;5;211;72;5;134;134;46;26;62;72;36;15;10;0
260020000;84;26;26000;26002;ZZZZZZ;2600200;Z;5;790;214;30;546;551;246;50;255;275;90;115;50;20
260030000;84;26;26000;26003;ZZZZZZ;2600300;Z;5;24;9;0;14;14;9;0;5;5;5;0;5;0
260040000;84;26;26000;26004;ZZZZZZ;2600400;Z;5;997;227;20;750;755;378;76;301;351;166;164;69;5
260050000;84;26;26000;26005;ZZZZZZ;2600500;Z;5;675;135;5;535;540;255;80;205;275;135;95;35;0
260060000;84;26;26102;26006;ZZZZZZ;2600600;Z;5;1005;220;10;775;780;350;60;370;390;190;140;60;0
260070000;84;26;26000;26007;ZZZZZZ;2600700;Z;5;48;11;0;37;37;16;11;11;16;5;16;0;0
260080000;84;26;00551;26008;ZZZZZZ;2600800;Z;5;582;186;5;392;392;186;49;157;181;103;73;24;10
260090000;84;26;00273;26009;ZZZZZZ;2600900;Z;5;572;173;5;394;394;163;55;176;201;65;89;29;10
260100000;84;26;26107;26010;ZZZZZZ;2601000;Z;5;1745;520;25;1200;1210;460;190;560;600;240;265;90;15
260110000;84;26;26302;26011;ZZZZZZ;2601100;Z;5;1085;330;20;735;740;270;115;355;380;135;160;45;20
260120000;84;26;26000;26012;ZZZZZZ;2601200;Z;5;10;5;0;5;5;0;5;0;5;0;0;0;0
260130000;84;26;26000;26013;ZZZZZZ;2601300;Z;5;35;10;0;25;25;10;0;15;15;5;5;0;0
260140000;84;26;26000;26014;ZZZZZZ;2601400;Z;5;230;40;0;190;195;95;5;95;105;40;45;5;0
260150000;84;26;26000;26015;ZZZZZZ;2601500;Z;5;28;9;0;19;19;14;0;5;5;5;5;5;0
260160000;84;26;26000;26016;ZZZZZZ;2601600;Z;5;190;58;5;127;127;45;20;62;67;30;20;10;0
260170000;84;26;26000;26017;ZZZZZZ;2601700;Z;5;10;5;0;5;5;0;5;0;0;5;0;0;0
260180000;84;26;26000;26018;ZZZZZZ;2601800;Z;5;5;0;0;5;5;5;0;0;0;5;0;0;0
260190000;84;26;26000;26019;ZZZZZZ;2601900;Z;5;120;45;0;75;80;30;10;40;45;15;15;5;0
260200000;84;26;26000;26020;ZZZZZZ;2602000;Z;5;96;29;0;67;72;29;10;34;43;14;14;0;0
260210000;84;26;26000;26021;ZZZZZZ;2602100;Z;5;56;20;0;36;36;15;10;10;15;10;10;0;0
260220000;84;26;26000;26022;ZZZZZZ;2602200;Z;5;45;20;5;20;20;0;5;15;15;0;0;5;0
260230000;84;26;26000;26023;ZZZZZZ;2602300;Z;5;395;85;5;305;310;155;30;125;145;50;90;25;0
260240000;84;26;26000;26024;ZZZZZZ;2602400;Z;5;140;30;0;110;110;40;5;65;65;25;15;5;0
260250000;84;26;26000;26025;ZZZZZZ;2602500;Z;5;97;31;0;67;67;21;15;31;36;21;0;10;0
260260000;84;26;26000;26026;ZZZZZZ;2602600;Z;5;44;22;0;22;22;5;0;16;16;0;5;0;0
260270000;84;26;26000;26027;ZZZZZZ;2602700;Z;5;65;15;0;50;50;20;0;30;30;5;10;5;0
260280000;84;26;26000;26028;ZZZZZZ;2602800;Z;5;98;21;0;77;77;41;5;31;36;21;15;5;0
260300000;84;26;26000;26030;ZZZZZZ;2603000;Z;5;0;0;0;0;0;0;0;0;0;0;0;0;0
260310000;84;26;26000;26031;ZZZZZZ;2603100;Z;5;415;105;15;295;305;110;50;145;150;70;55;20;10
260320000;84;26;26000;26032;ZZZZZZ;2603200;Z;5;191;54;5;132;132;59;10;64;69;25;25;15;0
260330000;84;26;26000;26033;ZZZZZZ;2603300;Z;5;356;109;9;237;237;104;19;114;114;47;52;19;5
260340000;84;26;26000;26034;ZZZZZZ;2603400;Z;5;213;45;10;159;159;79;20;59;64;30;40;25;0
260350000;84;26;26000;26035;ZZZZZZ;2603500;Z;5;214;85;0;129;129;55;30;45;50;30;35;5;10
260360000;84;26;26000;26036;ZZZZZZ;2603600;Z;5;55;25;0;30;30;10;10;10;10;15;5;0;0
260370000;84;26;26204;26037;ZZZZZZ;2603700;Z;5;1587;436;31;1120;1129;482;81;566;606;247;198;60;17
260380000;84;26;26000;26038;ZZZZZZ;2603800;Z;5;508;108;5;395;395;200;41;154;174;72;103;41;5
260390000;84;26;26000;26039;ZZZZZZ;2603900;Z;5;325;60;20;245;245;125;20;100;115;45;55;25;5
260400000;84;26;26000;26040;ZZZZZZ;2604000;Z;5;35;15;0;20;20;5;10;5;10;5;0;5;0
260410000;84;26;00269;26041;ZZZZZZ;2604100;Z;5;592;151;5;437;442;211;60;171;201;110;95;30;5
260420000;84;26;00651;26042;ZZZZZZ;2604200;Z;5;640;150;10;480;480;200;35;245;280;85;90;20;5
260430000;84;26;26000;26043;ZZZZZZ;2604300;Z;5;75;25;0;50;50;10;5;35;35;5;10;0;0
260450000;84;26;26000;26045;ZZZZZZ;2604500;Z;5;730;225;5;500;505;200;85;220;250;90;120;40;5
260460000;84;26;26000;26046;ZZZZZZ;2604600;Z;5;45;20;0;25;25;10;0;15;15;10;0;0;0
260470000;84;26;26000;26047;ZZZZZZ;2604700;Z;5;40;15;5;20;20;15;0;5;10;10;0;0;0
260480000;84;26;26000;26048;ZZZZZZ;2604800;Z;5;28;9;0;19;19;5;9;5;14;5;0;0;0
260490000;84;26;26000;26049;ZZZZZZ;2604900;Z;5;498;143;0;355;355;168;15;173;183;84;59;30;0
260500000;84;26;26000;26050;ZZZZZZ;2605000;Z;5;30;5;0;25;25;5;0;20;20;0;5;0;0
260510000;84;26;26000;26051;ZZZZZZ;2605100;Z;5;30;10;0;20;20;10;5;5;15;0;5;0;0
260520000;84;26;26000;26052;ZZZZZZ;2605200;Z;5;180;39;10;130;130;65;15;50;50;35;35;5;5
260540000;84;26;26000;26054;ZZZZZZ;2605400;Z;5;594;140;0;454;459;248;10;201;211;106;111;25;5
260550000;84;26;26000;26055;ZZZZZZ;2605500;Z;5;61;22;0;39;39;18;4;18;18;9;9;4;0
260560000;84;26;26000;26056;ZZZZZZ;2605600;Z;5;298;113;20;166;171;59;24;88;98;29;39;5;0
260570101;84;26;26501;26057;ZZZZZZ;2605701;H;Z;1655;817;24;813;820;287;218;315;370;211;166;64;10
260570102;84;26;26501;26057;ZZZZZZ;2605701;H;Z;1347;581;28;738;744;231;189;324;384;187;136;28;10
