INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;C19_MEN;C19_MENPSEUL;C19_MENSFAM;C19_MENFAM;C19_FAM;C19_COUPAENF;C19_FAMMONO;C19_COUPSENF;C19_NE24F0;C19_NE24F1;C19_NE24F2;C19_NE24F3;C19_NE24F4P;C19_MENHSEUL;C19_MENFSEUL;P19_POP15P_PSEUL;P19_POP15P_MARIEE;P19_POP15P_PACSEE;P19_POP15P_CONCUB_UNION_LIBRE;P19_POP15P_VEUFS;P19_POP15P_DIVORCEE;P19_POP15P_CELIBATAIRE;C19_COUPAENF;C19_FAMMONO;C19_COUPSENF;C19_NE24F0;C19_NE24F1;C19_NE24F2;C19_NE24F3;C19_NE24F4P
56001;56;560010000;Z;5;1612.75779795079;504.930880031794;20.2955017498566;1087.53141616914;1092.43659493702;452.405016656946;106.07335970175;533.958218578324;574.424883412683;191.409975486377;243.511817954661;58.922804975961;24.1671131073382;242.160728178514;262.770151853281;504.930880031794;1587.37130344689;112.186396960714;356.482974974722;306.098527869968;131.958063970776;694.912816285133;452.405016656946;106.07335970175;533.958218578324;574.424883412683;191.409975486377;243.511817954661;58.922804975961;24.1671131073382
56002;56;560020000;Z;5;931.523016650354;321.711557296779;14.4049951028406;595.406464250735;595.406464250735;230.479921645441;57.6199804113618;307.306562193932;355.323212536733;105.636630754162;91.2316356513201;38.4133202742393;4.8016650342798;129.644955925568;192.066601371211;320.751224289923;857.57737512243;80.6679725759054;180.542605288932;122.922624877575;96.0333006856049;335.156219392754;230.479921645441;57.6199804113618;307.306562193932;355.323212536733;105.636630754162;91.2316356513201;38.4133202742393;4.8016650342798
56003;56;560030101;H;4;1103.11945475701;399.561364194447;5.19612388543326;698.361966677126;698.361966677126;174.856458840006;40.2659864918264;483.239521345293;488.172376539053;89.3446086044769;85.0424461135013;35.802535420095;0.0;153.256413663624;246.304950530824;394.087920849318;1189.52487878398;46.390243661329;85.214931463094;223.61475392274;118.372547871651;311.315834420434;174.856458840006;40.2659864918264;483.239521345293;488.172376539053;89.3446086044769;85.0424461135013;35.802535420095;0.0
56003;56;560030102;H;4;1508.08540914989;558.2912212032;40.5552570851134;909.238930861581;913.459344095255;295.586345310079;162.116344902156;455.75665388302;491.602983697705;166.469983077496;189.353800866899;49.1395111563579;16.8930652967957;197.043960424659;361.247260778541;555.007155196122;1391.12750587065;91.7222810429262;200.629181610891;235.891139355008;173.406502376994;608.874655914245;295.586345310079;162.116344902156;455.75665388302;491.602983697705;166.469983077496;189.353800866899;49.1395111563579;16.8930652967957
56004;56;560040000;Z;5;747.81296731949;243.919859606502;0.0;503.893107712988;503.893107712988;203.583375935399;25.3761831667564;274.933548610833;274.933548610833;86.1629178993754;79.7629538254224;53.5313156250837;9.50237175227342;169.683380595827;74.2364790106745;244.980380735226;655.376599577884;74.6789767307299;211.669340758474;70.8726179418619;78.92963901473;258.675176173588;203.583375935399;25.3761831667564;274.933548610833;274.933548610833;86.1629178993754;79.7629538254224;53.5313156250837;9.50237175227342
56005;56;560050000;Z;5;1301.89012066837;612.015204675375;19.4290541166782;670.445861876318;670.445861876318;92.2880070542184;92.2880070542204;485.869847767879;544.157010117914;68.0016894083727;38.8581082333551;14.5717905875079;4.85726352916906;238.005912929312;374.009291746062;609.100846557873;1064.71216559396;44.8016203490992;149.632415668605;293.378717161845;139.889189640085;389.01156688634;92.2880070542184;92.2880070542204;485.869847767879;544.157010117914;68.0016894083727;38.8581082333551;14.5717905875079;4.85726352916906
56006;56;560060000;Z;5;691.753052935149;233.861564611432;5.02456718391704;452.8669211398;452.8669211398;172.072570411615;34.6492450395318;246.145105688653;261.042748270557;79.458174533814;63.8024398225542;43.7696558584292;4.79390265444518;91.5110470218646;142.350517589567;234.878354022786;558.087329752318;63.4745799443347;204.345382340412;101.514195218822;59.7185359139631;232.476415891019;172.072570411615;34.6492450395318;246.145105688653;261.042748270557;79.458174533814;63.8024398225542;43.7696558584292;4.79390265444518
56007;56;560070101;H;1;2420.80678920271;1257.25294868376;41.2197749789681;1122.33406553998;1128.95331776106;366.982533336933;273.517179668949;488.453604755174;539.493784444376;231.422881393689;227.470344743511;104.823286381068;25.7430207984128;535.000325742605;722.252622941157;1254.25304053103;1111.54861129484;250.069321839164;428.76776650305;288.372713776461;461.199015554765;1214.38958755196;366.982533336933;273.517179668949;488.453604755174;539.493784444376;231.422881393689;227.470344743511;104.823286381068;25.7430207984128
56007;56;560070102;H;1;1199.35565612827;599.213727208102;18.9776511255873;581.164277794585;584.003662482357;215.183384342809;139.65808828316;229.162189856387;252.831479238911;160.737095758358;115.077574620829;38.3979902746758;16.9595225895836;240.032075139985;359.181652068117;599.213727208102;628.935388723546;124.244325041445;191.095448353938;156.864991349365;190.785576584628;647.687675993582;215.183384342809;139.65808828316;229.162189856387;252.831479238911;160.737095758358;115.077574620829;38.3979902746758;16.9595225895836
56007;56;560070103;A;3;780.182759449313;421.478203979369;9.51725042323318;349.187305046711;349.187305046711;128.447423929211;58.7064522120174;162.033428905483;171.069682722894;81.8647697697662;83.2793485522855;12.0160321409002;0.957471860865565;166.536928345229;254.94127563414;421.478203979369;391.754775525074;49.9186549084217;203.477181606537;130.566576348362;146.584194240979;366.043739338333;128.447423929211;58.7064522120174;162.033428905483;171.069682722894;81.8647697697662;83.2793485522855;12.0160321409002;0.957471860865565
