INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;P19_NSCOL15P_DIPLMIN;P19_NSCOL15P_BEPC;P19_NSCOL15P_CAPBEP;P19_NSCOL15P_BAC;P19_NSCOL15P_SUP2;P19_NSCOL15P_SUP34;P19_NSCOL15P_SUP5
2A001;2A;2A0010000;Z;5;405.965212084223;154.700335672872;627.669514800122;587.270064083003;286.737564845896;290.678974671956;190.173024107415
2A004;2A;2A0040101;H;1;246.435730866221;171.450389536474;359.562754528216;225.893541415049;132.451032244831;174.54772300639;57.020257230203
2A004;2A;2A0040102;H;1;574.500406916107;207.867917402611;407.572087777079;526.99915957962;171.346494277026;162.319347588685;81.3172674410077
2A004;2A;2A0040103;H;1;418.555125714588;112.386320335691;468.029081843278;565.627700758777;273.955311887039;262.916778202286;176.640286415284
2A004;2A;2A0040201;H;1;350.906900002474;135.15488039282;308.056481840123;485.956542909864;155.288305426928;227.155947333468;162.766262157768
2A004;2A;2A0040202;H;1;214.145993097537;78.8243412931838;228.467797555053;511.608877297778;157.675220987199;155.808566217573;151.031900470529
2A004;2A;2A0040203;H;1;261.088356300381;358.846991537639;393.70162333175;614.611117186203;131.335905729613;122.930934699817;261.686944818432
2A004;2A;2A0040301;H;1;204.51741544913;297.033167319289;342.322166155917;623.165987685515;186.761929983941;303.011591698583;354.137297936038
2A004;2A;2A0040302;H;1;521.481508300844;242.287456896896;461.419207016791;607.277990776624;337.166318107384;326.804790027831;255.387632522061
2A004;2A;2A0040401;H;1;345.765138435788;201.004350799953;411.098102795859;777.891425800427;350.54329691159;464.518736545603;448.936178857594
2A004;2A;2A0040402;H;1;381.158928966527;165.271755568851;751.036608242809;841.808538370972;543.30591020883;484.860702246503;431.254124245912
2A004;2A;2A0040501;H;1;558.967347071542;141.954710635228;367.100563047502;422.877906892219;125.29408173898;128.032750676612;53.5466272295171
2A004;2A;2A0040502;H;1;413.296700394225;111.221951419518;329.827275770666;339.988776871729;160.915607806878;121.773464106664;61.1468825395689
2A004;2A;2A0040503;H;1;614.347621163226;293.647508646819;692.977496594887;675.135081205535;275.350993964365;302.390051535917;193.305923056635
2A004;2A;2A0040601;H;1;591.401192149505;214.631337580504;411.323241256426;375.988318883445;154.448878049659;51.0481746613217;38.0379326749641
2A004;2A;2A0040602;H;1;670.463786054036;199.003027564957;609.978467524963;553.484111478044;203.573143150657;169.366453227956;107.921649693677
