INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;P19_NSCOL15P_DIPLMIN;P19_NSCOL15P_BEPC;P19_NSCOL15P_CAPBEP;P19_NSCOL15P_BAC;P19_NSCOL15P_SUP2;P19_NSCOL15P_SUP34;P19_NSCOL15P_SUP5
2B007;2B;2B0070000;Z;5;50.2037798052838;31.3773623783024;37.6528348539629;31.3773623783024;6.23079285814156;17.7805053477047;7.32138455493722
2B009;2B;2B0090000;Z;5;463.729738422647;130.466529104174;339.605304631938;269.294004260167;149.329520080663;137.534017567922;226.26511050308
2B010;2B;2B0100000;Z;5;67.7807521468573;25.8100280922763;49.7705088099572;61.7541783414196;24.8672227627244;31.0519153892562;21.9572458298563
2B020;2B;2B0200000;Z;5;148.409986445936;40.2881165449463;147.60151679463;85.9990620832216;35.8235043779808;26.9931975069222;23.8124213204988
2B033;2B;2B0330101;H;1;411.004468271349;76.5090706716951;266.991416894237;422.07801555786;164.532104729649;232.666374484258;256.127914618209
2B033;2B;2B0330102;H;1;412.388533756615;163.575362887286;489.71100753232;503.296582684665;322.433251261509;338.730506870676;372.917458415371
2B033;2B;2B0330201;H;1;942.867511225357;261.907110995381;843.945416465131;1112.97876256832;564.281912962056;483.540921154244;403.56938454596
2B033;2B;2B0330202;H;1;279.807098485673;130.822392010025;271.904051101533;429.082731634951;213.464296204386;170.960639459457;270.979275450075
2B033;2B;2B0330301;H;1;481.632547142584;178.240663137001;335.755727494563;280.438897006044;82.189828593258;72.2701522144673;46.7254857535839
2B033;2B;2B0330302;H;1;582.836877402718;109.06717723903;538.873754293737;595.986992328341;174.658277415346;100.706141158853;102.832822071571
2B033;2B;2B0330401;H;1;637.843502000333;196.54467810941;401.777288839001;287.054541952829;49.9863785985648;42.8623958207074;24.9724652854645
2B033;2B;2B0330402;H;1;870.316634103061;187.163361243612;833.297809718889;755.553889176706;317.971064675811;129.844726213723;142.292984659491
