IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_NSCOL15P_DIPLMIN;P17_NSCOL15P_BEPC;P17_NSCOL15P_CAPBEP;P17_NSCOL15P_BAC;P17_NSCOL15P_SUP2;P17_NSCOL15P_SUP34;P17_NSCOL15P_SUP5
740010000;84;74;74108;74001;ZZZZZZ;7400100;Z;5;241;64;325;196;117;88;38
740020000;84;74;74113;74002;ZZZZZZ;7400200;Z;5;256;72;474;326;258;216;168
740030000;84;74;74000;74003;ZZZZZZ;7400300;Z;5;67;24;146;148;115;121;145
740040000;84;74;74000;74004;ZZZZZZ;7400400;Z;5;31;17;88;50;45;36;26
740050000;84;74;74501;74005;ZZZZZZ;7400500;Z;5;567;151;1016;509;411;334;261
740060000;84;74;74206;74006;ZZZZZZ;7400600;Z;5;153;84;375;281;210;178;185
740070000;84;74;74502;74007;ZZZZZZ;7400700;Z;5;271;54;530;334;289;214;199
740080101;84;74;00652;74008;ZZZZZZ;7400801;H;4;532;105;509;399;207;171;227
740080102;84;74;00652;74008;ZZZZZZ;7400801;H;4;578;139;649;448;273;262;295
740090000;84;74;74000;74009;ZZZZZZ;7400900;Z;5;62;26;131;108;96;83;109
740100101;84;74;74601;74010;740011;7401001;H;1;204;115;353;341;268;390;475
740100102;84;74;74601;74010;740011;7401001;H;1;277;78;196;255;165;232;406
740100103;84;74;74601;74010;740011;7401001;H;1;250;93;315;354;232;407;443
740100201;84;74;74601;74010;740021;7401002;D;3;11;9;27;12;16;20;29
740100202;84;74;74601;74010;740021;7401002;A;3;35;34;72;36;63;24;53
740100203;84;74;74601;74010;740021;7401002;A;3;72;3;41;36;5;14;30
740100204;84;74;74601;74010;740021;7401002;H;1;536;179;584;513;417;377;439
740100205;84;74;74601;74010;740021;7401002;H;1;511;203;590;548;413;385;522
740100301;84;74;74601;74010;740031;7401003;A;3;0;0;0;0;0;0;0
740100302;84;74;74601;74010;740031;7401003;H;2;524;102;451;343;215;211;269
740100303;84;74;74601;74010;740031;7401003;H;1;347;116;503;285;181;300;328
740100304;84;74;74601;74010;740031;7401003;H;1;359;140;494;384;328;319;483
740100401;84;74;74601;74010;740041;7401004;H;1;150;108;303;374;197;287;523
740100402;84;74;74601;74010;740041;7401004;H;1;310;85;293;242;269;211;271
740100403;84;74;74601;74010;740041;7401004;H;1;204;114;350;377;242;283;418
740100404;84;74;74601;74010;740041;7401004;H;1;119;46;195;206;197;219;302
740100501;84;74;74601;74010;740051;7401005;H;1;400;90;386;327;211;193;198
740100502;84;74;74601;74010;740051;7401005;H;1;578;114;490;356;276;214;243
740100503;84;74;74601;74010;740051;7401005;H;1;686;114;621;339;289;275;291
740100601;84;74;74601;74010;740061;7401006;H;1;583;159;492;295;215;195;147
740100602;84;74;74601;74010;740061;7401006;H;1;219;64;318;252;173;163;198
740100603;84;74;74601;74010;740061;7401006;H;1;325;122;355;326;210;184;158
740100604;84;74;74601;74010;740061;7401006;H;1;760;158;599;383;216;172;151
740100701;84;74;74601;74010;740071;7401007;H;1;272;111;337;299;207;274;449
740100702;84;74;74601;74010;740071;7401007;H;1;302;131;482;390;333;346;430
740100703;84;74;74601;74010;740071;7401007;H;1;318;100;364;171;112;97;111
740100801;84;74;74601;74010;740081;7401008;H;1;247;76;383;320;259;354;401
740100802;84;74;74601;74010;740081;7401008;H;1;344;159;769;537;457;492;691
740100901;84;74;74601;74010;740081;7401009;A;3;32;13;77;69;79;81;120
740100902;84;74;74601;74010;740081;7401009;H;1;153;69;226;232;193;314;362
740100903;84;74;74601;74010;740081;7401009;H;1;151;78;372;320;347;418;644
740101001;84;74;74601;74010;740141;7401010;H;1;560;173;764;569;446;470;390
740101002;84;74;74601;74010;740141;7401010;H;1;399;87;447;201;245;189;172
740101003;84;74;74601;74010;740141;7401010;A;3;30;2;33;16;7;18;13
740101101;84;74;74601;74010;740141;7401011;H;1;387;63;467;272;138;118;55
740101102;84;74;74601;74010;740141;7401011;H;1;668;56;346;252;98;82;87
740101103;84;74;74601;74010;740151;7401011;H;1;409;71;406;234;174;132;86
740101201;84;74;74601;74010;740151;7401012;A;3;98;62;306;381;79;87;32
740101202;84;74;74601;74010;740151;7401012;H;1;274;68;422;259;147;235;178
740101203;84;74;74601;74010;740151;7401012;H;1;168;96;310;275;210;177;146
740101301;84;74;74601;74010;ZZZZZZ;7401013;H;3;360;89;535;305;209;206;144
740101302;84;74;74601;74010;ZZZZZZ;7401013;H;3;417;87;552;342;243;178;122
740101303;84;74;74601;74010;ZZZZZZ;7401013;H;3;658;121;777;486;279;197;132
740101401;84;74;74601;74010;740181;7401014;H;1;304;63;328;180;84;62;54
740101402;84;74;74601;74010;740181;7401014;H;1;517;91;358;233;84;106;41
740101403;84;74;74601;74010;740181;7401014;H;1;444;79;362;204;147;202;130
