INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;P19_NSCOL15P_DIPLMIN;P19_NSCOL15P_BEPC;P19_NSCOL15P_CAPBEP;P19_NSCOL15P_BAC;P19_NSCOL15P_SUP2;P19_NSCOL15P_SUP34;P19_NSCOL15P_SUP5
81002;81;810020000;Z;5;464.910614563375;125.329443695639;679.870411212777;371.371159387639;180.12333971443;113.102259174796;52.035782177025
81003;81;810030000;Z;5;223.116807770804;32.8597750735107;210.145440439037;119.89580276906;80.2109622351729;51.5445896715129;23.798569266431
81004;81;810040101;H;1;398.894063518997;90.3392247255589;333.752006092026;308.080199920245;170.328031671914;203.086237096728;251.938281384953
81004;81;810040102;H;1;345.914115100821;110.511013850269;296.797282055307;243.514166509658;140.509793590666;238.245141330846;239.787748473996
81004;81;810040201;H;1;191.792373341465;40.7322213290691;251.669072063427;252.978917919211;180.592942749376;252.657523629701;189.833152632595
81004;81;810040202;H;1;251.688096185289;71.0005937997483;269.817746075145;239.82596719403;114.933171758329;255.174734149587;224.176269842788
81004;81;810040203;H;1;318.079967371936;118.068441146612;256.384288696265;295.806857675092;203.106590250005;274.5095066237;288.612696143867
81004;81;810040301;H;1;317.910517869906;110.484984194476;263.781953849897;309.855868866696;187.944093965276;221.324730813066;195.979316154383
81004;81;810040302;H;1;432.865283392501;99.0823624771507;382.963475058297;319.862790846528;265.456182439629;240.511346863;237.292979069469
81004;81;810040303;H;1;304.580816342248;125.465936762979;372.807844865195;328.817089906402;232.046140427527;218.810598379189;237.269973065047
81004;81;810040304;H;1;448.883289636675;192.411735821972;675.742524677141;516.64079483294;414.466395110851;315.277388714759;287.31837431639
81004;81;810040401;H;1;306.642524839815;44.7917954477007;225.503808366038;163.540472849382;89.6691971436093;76.6017899635812;65.5281631645195
81004;81;810040402;H;1;407.003101742347;82.4957440385142;372.097683326195;362.616468897536;247.529652474394;204.261419895339;156.869342372461
81004;81;810040501;H;1;485.795257972064;106.893296153722;411.539217599117;346.124734407793;227.731307580954;267.5315597416;270.82665938261
81004;81;810040601;H;1;462.040167476378;197.69043220646;423.569311864521;435.073464017169;259.7532979435;347.16057061424;272.263514117212
81004;81;810040602;H;1;464.3605686704;157.091654965767;407.367226590974;287.415872229653;168.741761821466;108.353911197181;117.856806027507
81004;81;810040603;H;1;426.035356024906;152.55953203802;521.995225343558;454.941154807341;210.251985024509;221.013634202862;163.691251852717
81004;81;810040701;H;1;767.697997041307;61.1324451780863;453.801925478244;242.674048939377;101.779742851922;69.2606317042403;52.7182939828661
81004;81;810040702;H;1;347.596686058803;130.576348518712;513.432862529707;315.24677170635;187.254537057815;197.713702387524;133.121166156116
81004;81;810040801;H;2;349.012262124934;64.3772063018345;276.509972889593;184.415969462993;84.7809175467367;103.337133482625;76.7812369275506
81004;81;810040802;H;1;279.19700215898;119.972240364028;319.004341429184;240.921868281842;163.23024005829;182.166052122192;171.534710067159
81004;81;810040803;H;1;532.89568434933;144.06405848601;510.609148447541;316.283941269527;207.996714111839;188.228511766208;111.15017606176
81004;81;810040804;A;3;244.558514790795;25.9002427724368;172.724576576188;91.7256664438437;56.6904710948499;41.8054425320406;20.4846091149482
81005;81;810050000;Z;5;122.0;31.0;143.0;82.0;27.0;22.0;9.0
81006;81;810060000;Z;5;28.2857142857143;9.75369458128079;34.1379310344828;29.2610837438424;21.4581280788177;21.4581280788177;20.4827586206897
81007;81;810070000;Z;5;23.0;7.0;8.0;15.0;10.0;9.0;5.0
81008;81;810080000;Z;5;52.9650576862761;7.34567754888851;79.3446829429662;44.5032106633384;22.9518811438993;16.2956882840033;12.1757536275862
81010;81;810100000;Z;5;61.0;15.0;108.0;92.0;40.0;25.0;20.0
81011;81;810110000;Z;5;94.7752698724234;49.3748773307157;164.894995093227;138.226692836113;119.456329735034;82.9283611383708;78.9793915603534
81013;81;810130000;Z;5;83.5380575907569;18.0531168353404;69.0207430536463;52.9776417618777;37.9915315051706;20.0797131951327;17.0981973195009
81014;81;810140000;Z;5;136.782071087043;18.7734122054354;111.045111071547;89.1827873018062;40.1989227165074;32.9207498059113;10.8585871225454
