INSEE_COM;DEP;IRIS;TYP_IRIS;P19_POP;P19_POP0014;P19_POP1529;P19_POP3044;P19_POP4559;P19_POP6074;P19_POP75P;P19_POPH;P19_H0014;P19_H1529;P19_H3044;P19_H4559;P19_H6074;P19_H75P;P19_H0019;P19_H2064;P19_H65P;P19_POPF;P19_F0014;P19_F1529;P19_F3044;P19_F4559;P19_F6074;P19_F75P;P19_F0019;P19_F2064;P19_F65P;P19_POP0019;P19_POP2064;P19_POP65P;C19_POP15P;C19_POP15P_CS1;C19_POP15P_CS2;C19_POP15P_CS3;C19_POP15P_CS4;C19_POP15P_CS5;C19_POP15P_CS6;C19_POP15P_CS7;C19_POP15P_CS8;P19_POP_FR;P19_POP_ETR;P19_POP_IMM;P19_PMEN;P19_PHORMEN
2A001;2A;2A0010000;Z;3229.0;510.412572474825;425.672261214525;628.654867256637;754.779981690571;622.742752517547;286.737564845896;1612.03661885871;265.059810802563;247.323466585291;293.635032041501;369.507171193164;300.532499237107;135.978638999085;353.741531888923;933.128776319805;325.166310649985;1616.96338114129;245.352761672261;178.348794629234;335.019835215136;385.272810497406;322.210253280439;150.758925846811;311.371376258773;950.865120537077;354.726884345438;665.112908147696;1883.99389685688;679.893194995423;2718.58742752518;19.7070491303021;177.363442172719;210.865425694233;458.188892279524;507.456515105279;280.825450106805;711.424473603906;352.756179432408;3095.97741837046;133.022581629539;176.378089716204;3229.0;0.0
2A004;2A;2A0040101;H;1720.18227560279;223.696687597001;312.500918365167;373.952816802937;351.676664935397;274.8261884281;183.528999474183;796.009786186039;104.221916066021;137.526915580975;188.055478711379;172.566051666286;132.3306915545;61.308732606878;146.007349444507;505.049595656561;144.952841084971;924.172489416746;119.47477153098;174.974002784192;185.897338091558;179.110613269111;142.4954968736;122.220266867305;167.345111663762;542.107193998647;214.720183754336;313.352461108269;1047.15678965521;359.673024839307;1496.48558800578;3.98633788263406;87.4239725515412;73.259194475591;181.436173026815;304.687232998359;209.410831778782;348.222878881466;288.058966410596;1537.61135318913;182.570922413652;295.95039429143;1636.51577157186;83.6665040309268
2A004;2A;2A0040102;H;2763.80555994944;468.47174821424;409.860002007069;546.999835602523;503.336097331533;486.384950605747;348.752926188325;1233.17467133981;230.479523648628;174.365033664504;245.861880553222;231.783788471693;216.792136862007;133.89230813976;275.00320791632;676.552759752559;281.618703670934;1530.63088860962;237.992224565612;235.494968342566;301.1379550493;271.55230885984;269.59281374374;214.860618048565;317.424141194584;810.586258639776;402.620488775263;592.427349110904;1487.13901839234;684.239192446198;2295.3338117352;4.16511433861731;71.2853030549972;88.9911549311806;251.716020252964;557.690917538224;267.57642378945;641.161047645798;412.747830183965;2330.02942293238;433.776137017058;414.646499515309;2763.80555994944;0.0
2A004;2A;2A0040103;H;3113.09506588441;586.524232024328;470.022666162551;718.418165373176;608.292126535403;457.594693878552;272.243181910398;1508.79524642801;290.80152419516;249.12645240206;323.612787881724;312.383894318115;216.87978102337;115.990806607581;385.081263114117;872.669687574715;251.044295739177;1604.2998194564;295.722707829168;220.896213760491;394.805377491453;295.908232217288;240.714912855182;156.252375302817;383.166513771256;898.264606135794;322.868699549349;768.247776885373;1770.93429371051;573.912995288526;2520.5708455232;5.86144446131339;82.7814687379386;191.483839922034;386.172876959145;465.327659937694;288.945246504086;474.842033261903;625.156275739086;2804.7382764006;308.356789483806;337.273785141643;3021.30214086847;91.7929250159338
2A004;2A;2A0040201;H;2250.08077682784;285.611119169812;301.376943483458;489.033623778683;462.660735665781;419.34825039225;292.050104337859;1057.52442731652;136.251726115782;152.342644190189;227.395069854339;243.616138034994;179.128634965917;118.790214155299;202.984840089236;624.887364720566;229.652222506717;1192.55634951132;149.35939305403;149.034299293269;261.638553924345;219.044597630787;240.219615426333;173.25989018256;203.069736150571;674.170469790083;315.316143570671;406.054576239806;1299.05783451065;544.968366077388;1964.46965765803;3.16337058649055;100.894457742823;166.010139068203;243.050595986377;351.510225069589;192.881121738055;535.182423380783;371.777324085711;2082.80463348759;167.276143340257;194.150097569221;2234.0808079295;15.9999688983446
2A004;2A;2A0040202;H;1924.80512522635;285.671628540178;272.87556437158;460.368659857207;332.1408987447;383.90099264733;189.847381065353;910.215169878737;119.675589966688;140.066912726935;209.801777679068;183.790942293698;189.178127706863;67.7018195054838;183.806326865136;518.774329550721;207.634513462879;1014.58995534761;165.996038573489;132.808651644644;250.566882178139;148.349956451002;194.722864940467;122.145561559869;213.44908216916;564.068021924194;237.072851254257;397.255409034296;1082.84235147492;444.707364717137;1639.13349668617;5.73648377954555;97.5576973858567;101.780100586042;236.817311778557;361.187686723993;112.698762234521;387.3976018804;335.957852317255;1884.15965439699;40.6454708293558;66.2260247582966;1916.80514077718;7.99998444917229
2A004;2A;2A0040203;H;2772.00623517829;494.276662177252;299.427755835956;618.42729997364;370.977700636559;499.446195693829;489.450620861059;1310.40204737847;230.404107094633;147.576487694339;300.775180672216;193.042377950213;201.723452467521;236.88044149955;297.575108356246;631.115597219659;381.711341802566;1461.60418779982;263.872555082619;151.851268141617;317.652119301424;177.935322686346;297.722743226308;252.570179361509;315.07149487442;675.466021496937;471.066671428466;612.646603230666;1306.5816187166;852.778013231032;2277.72957300104;0.0;78.0463268914396;145.740574400011;296.806745166325;414.765122316735;125.02560965547;720.434007717991;496.911186853071;2735.32894421153;36.6772909667596;77.7309290417266;2765.00624878527;6.99998639302575
2A004;2A;2A0040301;H;2843.48085948372;438.628770025271;242.620111624252;561.119939819344;501.101233005913;631.43930217624;468.571502832699;1347.62216900169;239.411715207197;97.6563181231234;263.284882366198;261.054687162861;242.493537196967;243.721028945346;263.73431096257;660.238001866771;423.649856172351;1495.85869048203;199.217054818074;144.963793501129;297.835057453147;240.046545843052;388.945764979273;224.850473887353;243.540527547329;749.431194536893;502.886968397806;507.274838509898;1409.66919640366;926.536824570157;2404.85208945845;6.46645558049746;73.6395637701878;264.493610245649;331.622508032982;388.777732297666;92.4931339467879;904.146677412221;343.212408172457;2804.47107650572;39.0097829780028;58.9282391601834;2843.48085948372;0.0
2A004;2A;2A0040302;H;3481.97235704945;563.360226946477;364.438999220743;570.532427618793;493.334933894926;665.76925364404;824.536515724473;1511.06352559504;262.865143403713;176.104105402475;238.521584395484;237.102839388698;290.438345695656;306.031507309012;327.918757021223;681.162762322141;501.982006251674;1970.90883145441;300.495083542763;188.334893818267;332.01084322331;256.232094506228;375.330907948383;518.505008415461;373.139188095843;799.512223052799;798.257420305771;701.057945117066;1480.67498537494;1300.23942655745;2918.61213010298;0.0;114.225268848578;230.368747358326;442.37664294515;401.930269000754;115.25204851057;1134.37822872043;480.080924719164;3402.65705479612;79.315302253336;112.270446522186;3264.97277886565;216.999578183798
2A004;2A;2A0040401;H;4005.71328479405;767.083378146436;421.134134714005;934.707851531606;662.515549668745;719.884019570765;500.388351162489;1895.61684961586;413.35436247017;198.886336324572;435.208043510502;318.598533532929;328.125296110549;201.444277667137;505.221169348737;964.947290612038;425.448389655086;2110.09643517818;353.729015676265;222.247798389433;499.499808021104;343.917016135815;391.758723460216;298.944073495351;428.083760226608;1103.32991945294;578.682755498635;933.304929575345;2068.27721006498;1004.13114515372;3238.62990664761;6.80353212463436;140.080918796349;380.63996562164;536.516288874769;534.84626928082;182.961108520111;961.25403931971;495.527784109576;3844.19097184247;161.522312951571;179.749352818157;3999.71329645717;5.99998833687922
2A004;2A;2A0040402;H;4338.4145510289;511.589739853575;544.046427349685;982.7806204129;946.289668801939;873.425472921921;480.28262168888;2063.02918798029;255.090857414053;238.298740869737;452.365575157505;493.167846251336;413.599297383141;210.506870904517;305.799397516572;1232.18081828681;525.048972176912;2275.38536304861;256.498882439522;305.747686479947;530.415045255394;453.121822550603;459.82617553878;269.775750784362;361.883725025056;1301.89242523517;611.609212788384;667.683122541627;2534.07324352198;1136.6581849653;3826.82481117532;0.0;158.729572143143;337.337908072013;596.590878094861;706.713639180868;376.950062326473;1054.27645655;596.226294807961;4232.55451627133;105.860034757565;149.629347150478;4334.41455880431;3.99999222458614
2A004;2A;2A0040501;H;2257.13205140745;372.696496827488;299.24028705537;396.388411984417;446.34423289169;374.37352091492;368.089101733564;997.144577993819;207.434795323275;118.547115195422;185.667306679455;192.377929301439;155.311361925413;137.806069568815;243.540577723634;519.939101537481;233.664898732705;1259.98747341363;165.261701504213;180.693171859949;210.721105304962;253.966303590251;219.062158989507;230.283032164749;211.658149893587;700.477087516448;347.852236003596;455.198727617221;1220.41618905393;581.5171347363;1884.43555457996;0.955809498053665;31.2555705232865;38.9132211009389;213.648845157098;397.712472628593;274.022170736506;585.077939162769;342.849525772717;1937.9765440302;319.15550737725;302.84400192137;2256.1320533513;0.999998056146536
2A004;2A;2A0040502;H;2080.32916489651;385.232446878719;290.359555154537;451.727752646778;428.37052164679;272.417131518056;252.221757051629;1034.40544452047;240.6703927483;125.797097558568;201.288522805327;251.412119091771;126.997458535143;88.2398537813638;293.793428055085;569.818267942151;170.793748523237;1045.92372037604;144.562054130419;164.562457595968;250.439229841451;176.958402555019;145.419672982913;163.981903270266;225.351683287125;549.448056554374;271.123980534537;519.14511134221;1119.26632449653;441.917729057774;1695.09671801779;3.24615412564319;59.6017117156777;86.725071109022;230.96700056921;397.847984687654;204.486743398464;408.426555489227;303.795496922892;1880.80695582053;199.522209075977;210.708639065212;2074.32917655963;5.99998833687922
2A004;2A;2A0040503;H;3973.90696652713;711.947687953211;552.316645628035;734.499052217885;846.597443748356;720.253481822825;408.292655156818;1959.83912921048;373.103000914164;275.771786504491;356.837884980496;428.141321202872;349.63291895601;176.352216652452;472.623383663702;1095.92226258774;391.293482959045;2014.06783731664;338.844687039047;276.544859123544;377.661167237389;418.456122545484;370.620562866815;231.940438504366;417.827462845551;1113.54661989394;482.693754577154;890.450846509254;2209.46888248168;873.987237536199;3258.4850973193;6.97915766476407;151.321160431418;137.520584720637;469.650748369472;567.967018606606;442.442954907401;871.544517247931;611.058955371075;3502.35112790223;471.555838624903;447.683526481018;3738.90742333269;234.999543194436
2A004;2A;2A0040601;H;2430.22035111329;445.572012707476;400.956507657804;488.331202581458;488.173073319743;383.687233846103;223.500321000707;1111.77082347412;196.227141839486;193.280961422862;230.261196318389;227.606440188147;160.784537869616;103.610545835621;262.3272835403;637.270782092389;212.172757841432;1318.44952763917;249.34487086799;207.675546234941;258.070006263069;260.566633131596;222.902695976488;119.889775165086;324.950696585891;725.857903854738;267.640927198541;587.27798012619;1363.12868594713;479.813685039973;1984.64833840581;0.858822584632953;70.2701755911036;27.9218339011915;150.897278970251;402.777310866473;306.010287832823;459.899207617069;566.01342104227;1800.71677196489;629.503579148405;569.169304774327;2424.22036277641;5.99998833687922
