INSEE_COM;DEP;IRIS;TYP_IRIS;P19_POP;P19_POP0014;P19_POP1529;P19_POP3044;P19_POP4559;P19_POP6074;P19_POP75P;P19_POP0019;P19_POP2064;P19_POP65P;C19_POP15P;C19_POP15P_CS1;C19_POP15P_CS2;C19_POP15P_CS3;C19_POP15P_CS4;C19_POP15P_CS5;C19_POP15P_CS6;C19_POP15P_CS7;C19_POP15P_CS8;P19_POP_FR;P19_POP_ETR;P19_POP_IMM;P19_PMEN;P19_PHORMEN
62001;62;620010000;Z;1877.0;316.873998283069;239.113507906857;332.426096358313;394.662660149477;353.894745682349;240.028991619935;404.354549956309;1008.97053412157;463.674915922124;1571.76190378317;4.86003064851337;24.3001532425669;204.121287237561;320.762022801882;170.101072697968;140.940888806887;472.690689964384;233.98575838341;1873.11197548119;3.88802451881066;11.7485880270042;1805.98738898757;71.0126110124301
62003;62;620030000;Z;604.0;95.0;103.0;94.0;166.0;119.0;27.0;133.0;373.0;98.0;520.0;0.0;30.0;40.0;140.0;50.0;40.0;120.0;100.0;603.0;1.0;1.0;604.0;0.0
62004;62;620040101;H;2635.0;476.0;436.0;459.0;542.0;445.0;277.0;670.0;1407.0;558.0;2155.0;10.0;85.0;155.0;400.0;365.0;230.0;595.0;315.0;2604.0;31.0;52.0;2500.0;135.0
62004;62;620040102;H;2849.0;518.0;487.0;468.0;566.0;632.0;178.0;717.0;1524.0;608.0;2280.0;0.0;50.0;125.0;240.0;360.0;385.0;710.0;410.0;2744.0;105.0;132.0;2836.0;13.0
62004;62;620040103;H;2473.0;391.0;494.0;440.0;483.0;433.0;232.0;557.0;1375.0;541.0;2110.0;0.0;35.0;130.0;310.0;465.0;200.0;640.0;330.0;2417.0;56.0;81.0;2463.0;10.0
62005;62;620050000;Z;971.0;208.552560839999;184.12028190952;184.922372884119;211.483026969293;129.564512032467;52.3572453646024;287.488392685355;547.762503709259;135.749103605386;761.854036107118;5.01860957230136;19.9412963003384;24.6492114437651;134.124209059983;118.845275768551;169.209323616022;165.79846874901;124.267641597147;959.150940456355;11.8490595436452;12.9243547330976;959.005813674285;11.9941863257146
62007;62;620070000;Z;798.0;212.392888724594;90.9767889233345;222.600718745644;128.747613271871;90.8957096062403;52.3862807283163;241.227923346873;457.49261890361;99.279457749517;623.965340353896;0.0;36.3596368564034;81.2472843082023;146.135680209246;78.1589604613499;74.3478156500018;119.234187408321;88.4817754603716;794.997249793079;3.00275020692054;7.18306769746856;798.0;0.0
62008;62;620080000;Z;808.0;185.758793969849;111.658291457286;184.743718592965;148.201005025126;145.155778894472;32.4824120603015;227.376884422111;452.723618090452;127.899497487437;644.572864321608;15.2261306532663;5.07537688442211;25.3768844221106;81.2060301507538;142.110552763819;91.356783919598;182.713567839196;101.507537688442;804.954773869347;3.04522613065327;7.10552763819095;808.0;0.0
62010;62;620100000;Z;250.0;54.3933054393305;37.6569037656904;47.071129707113;48.1171548117155;48.1171548117155;14.6443514644351;73.2217573221757;131.799163179916;44.9790794979079;214.435146443515;0.0;0.0;10.4602510460251;10.4602510460251;36.6108786610879;20.9205020920502;94.1422594142259;41.8410041841004;248.953974895397;1.04602510460251;3.13807531380753;250.0;0.0
62011;62;620110000;Z;654.0;113.460930921533;92.7456517328254;114.890290891388;146.54574099145;128.705652990028;57.6517324727752;151.06958065272;355.312291832238;147.618127515042;518.824305851406;0.0;45.1238349741533;29.9878351508639;119.545600525415;75.5978627461347;39.817181070855;158.907500088471;49.844491295513;648.985750789155;5.01424921084479;6.03715989110617;654.0;0.0
