IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC
120010000;76;12;12000;12001;Agen-d'Aveyron;ZZZZZZ;1200100;Z;5;517;446;33;38;492;25;2;16;39;132;257;1;3;23;50;134;117;118;441;52;11;54;149;126;50;422;49;10;46;146;123;48;19;3;1;7;3;3;2;28;54;55;309;389;48;3;9;4.0;211.0;122.0;381;421;443;0
120020000;76;12;12000;12002;Aguessac;ZZZZZZ;1200200;Z;5;489;380;49;59;393;93;1;22;59;107;192;1;6;36;64;110;96;66;373;77;30;64;106;67;29;303;60;21;40;93;60;29;68;16;9;24;11;7;0;61;54;52;212;295;76;3;9;5.0;195.0;115.0;278;356;372;10
120030000;76;12;12000;12003;Les Albres;ZZZZZZ;1200300;Z;5;217;157;28;31;210;7;0;3;23;42;89;0;1;7;31;39;47;31;157;25;11;51;36;18;15;150;24;10;49;33;18;15;7;1;1;2;3;0;0;11;21;25;100;122;28;9;7;9.0;92.0;31.0;140;148;151;0
120040000;76;12;12000;12004;Almont-les-Junies;ZZZZZZ;1200400;Z;5;248;205;26;17;221;26;1;10;18;44;132;1;0;13;24;45;60;62;198;46;15;30;52;38;17;182;44;14;27;47;35;15;15;1;1;3;5;3;2;17;19;18;151;159;40;3;6;4.0;107.0;48.0;174;196;205;0
120060000;76;12;12000;12006;Alrance;ZZZZZZ;1200600;Z;5;296;174;99;22;276;19;3;15;25;35;96;2;5;25;19;46;39;38;168;37;21;24;43;25;17;154;34;21;21;40;24;13;13;3;0;3;3;0;4;14;24;16;119;137;20;6;17;9.0;89.0;29.0;139;159;168;5
120070000;76;12;12000;12007;Ambeyrac;ZZZZZZ;1200700;Z;5;165;88;46;31;156;6;0;4;22;27;34;2;2;9;24;20;13;19;87;25;9;13;17;16;8;81;25;8;12;17;13;7;5;0;1;1;0;3;0;12;13;14;50;71;13;3;4;1.0;51.0;15.0;69;78;93;5
120080000;76;12;12000;12008;Anglars-Saint-Félix;ZZZZZZ;1200800;Z;5;407;323;38;46;397;8;1;6;31;93;192;1;4;11;32;76;88;111;319;101;13;28;60;46;70;312;97;13;28;60;44;69;6;3;0;0;0;2;1;41;64;51;168;260;54;1;9;4.0;126.0;102.0;295;306;321;10
120090000;76;12;12000;12009;Arnac-sur-Dourdou;ZZZZZZ;1200900;Z;5;90;15;65;10;89;1;0;1;0;7;7;1;0;1;7;1;3;2;15;7;1;1;4;1;1;15;7;1;1;4;1;1;0;0;0;0;0;0;0;0;0;4;11;13;2;0;0;0.0;8.0;2.0;9;14;15;0
120100000;76;12;12000;12010;Arques;ZZZZZZ;1201000;Z;5;74;55;13;7;73;2;0;3;5;18;29;0;1;1;2;16;12;23;45;10;7;4;11;6;8;43;10;7;3;11;5;8;2;0;0;1;0;1;0;8;11;6;29;48;7;0;0;0.0;36.0;7.0;48;50;57;0
120110000;76;12;12000;12011;Arvieu;ZZZZZZ;1201100;Z;5;668;371;252;45;642;23;2;3;46;113;207;2;4;29;63;97;88;88;360;106;34;70;67;57;26;348;104;31;65;66;57;25;11;2;3;5;1;0;0;30;40;44;257;318;39;9;14;17.0;215.0;46.0;290;344;380;5
120120000;76;12;12000;12012;Asprières;ZZZZZZ;1201200;Z;5;413;301;33;79;370;37;1;15;43;122;121;2;6;14;43;112;72;53;292;55;22;47;82;36;50;270;52;20;41;79;32;46;18;3;2;3;3;3;4;33;44;46;177;237;61;8;3;2.0;118.0;90.0;242;282;299;10
120130000;76;12;12302;12013;Aubin;ZZZZZZ;1201300;Z;5;2478;1801;133;544;2067;406;14;114;400;661;612;12;55;193;425;608;317;191;1798;516;230;405;474;114;59;1512;404;183;341;439;97;48;284;111;47;63;35;17;11;146;230;229;1196;1384;378;83;39;31.0;968.0;465.0;1374;1544;1805;30
120150000;76;12;12000;12015;Auriac-Lagast;ZZZZZZ;1201500;Z;5;145;100;34;11;140;5;1;0;10;20;69;0;1;4;14;26;26;29;100;23;17;23;20;11;6;97;23;17;23;18;10;6;3;0;0;0;2;1;0;5;9;11;75;92;6;0;2;6.0;70.0;5.0;74;88;100;0
120160000;76;12;12000;12016;Auzits;ZZZZZZ;1201600;Z;5;566;380;94;92;552;12;2;9;61;122;186;1;1;27;57;132;73;90;364;77;45;70;91;39;41;352;74;42;69;89;37;41;10;2;3;1;2;2;0;26;45;67;243;322;49;1;9;5.0;198.0;66.0;315;351;375;0
120170000;76;12;12000;12017;Ayssènes;ZZZZZZ;1201700;Z;5;238;108;110;21;228;7;3;4;22;25;54;6;4;12;21;28;17;20;106;60;14;5;8;12;7;104;59;14;5;8;12;6;1;1;0;0;0;0;0;10;14;8;76;94;4;0;10;6.0;36.0;9.0;77;98;109;0
120180000;76;12;12000;12018;Balaguier-d'Olt;ZZZZZZ;1201800;Z;5;151;76;73;2;134;16;0;1;14;32;29;0;1;3;12;23;16;21;72;34;4;4;9;10;10;70;34;4;4;9;9;9;0;0;0;0;0;0;0;4;15;15;42;63;12;0;2;1.0;31.0;14.0;66;72;76;0
120190000;76;12;12000;12019;Balaguier-sur-Rance;ZZZZZZ;1201900;Z;5;100;43;45;12;96;3;0;1;7;15;20;0;1;4;4;10;9;15;43;20;0;3;4;6;10;41;20;0;3;3;5;10;1;0;0;0;0;1;0;4;4;11;24;35;8;0;0;3.0;19.0;0.0;36;40;40;0
