IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;P17_RP_VOIT1;P17_RP_VOIT2P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC;P17_NPER_RP_PROP;P17_NPER_RP_LOC;P17_NPER_RP_LOCHLMV;P17_NPER_RP_GRAT;P17_RP_SDB
370010000;24;37;00255;37001;Abilly;ZZZZZZ;3700100;Z;5;600;477;67;55;588;10;2;15;103;160;197;1;6;40;107;168;85;70;475;134;62;65;118;50;46;465;130;59;65;117;49;45;9;3;3;0;1;1;1;37;59;76;305;386;80;17;11;1.0;169.0;154.0;337;427;193;233;482;15;826;177;40;20;470.0
370020000;24;37;37000;37002;Ambillou;ZZZZZZ;3700200;Z;5;758;677;35;46;709;45;8;49;99;158;363;4;16;64;94;178;147;174;669;141;47;62;161;144;114;629;134;46;57;140;141;111;37;6;1;5;20;3;2;59;110;122;386;500;164;78;13;17.0;231.0;224.0;552;637;246;391;665;10;1342;360;152;30;663.0
370030101;24;37;37701;37003;Amboise;ZZZZZZ;3700301;H;1;1688;1297;219;171;1076;592;77;199;276;296;449;90;105;238;243;237;175;209;1282;346;102;283;261;194;96;799;232;58;131;181;121;77;463;106;40;147;78;71;19;232;301;261;504;687;573;178;38;77.0;739.0;396.0;787;1098;694;404;1224;36;1515;946;377;97;1248.0
370030102;24;37;37701;37003;Amboise;ZZZZZZ;3700301;H;1;1570;1340;76;153;840;730;40;270;284;445;301;45;82;325;404;228;109;148;1339;229;69;520;234;114;173;753;165;54;294;138;63;40;586;64;16;226;96;51;133;182;329;239;590;557;773;354;10;61.0;818.0;436.0;790;984;685;300;1301;18;1082;1283;662;13;1313.0
370030103;24;37;37701;37003;Amboise;ZZZZZZ;3700301;H;1;1259;950;247;62;859;400;13;91;198;292;357;6;29;85;217;342;152;120;911;24;7;84;461;132;203;554;24;7;38;210;114;161;356;0;0;46;251;18;42;129;231;223;367;442;505;357;3;273.0;410.0;208.0;630;881;422;459;937;69;1244;1356;1001;11;897.0
370030104;24;37;37701;37003;Amboise;ZZZZZZ;3700301;H;1;1105;1025;23;57;495;608;70;137;323;213;282;43;58;289;284;179;111;62;1014;40;45;483;357;64;25;438;40;45;118;169;52;15;573;0;0;362;189;11;10;139;213;200;472;385;628;554;11;227.0;652.0;116.0;494;800;566;234;957;46;800;1124;959;30;982.0
370030105;24;37;37701;37003;Amboise;ZZZZZZ;3700301;H;1;1361;1155;60;146;1163;196;13;78;179;266;619;12;12;106;213;266;226;320;1119;138;83;232;268;273;126;968;133;79;170;202;269;114;150;4;3;62;66;4;11;112;242;206;596;910;217;47;27;93.0;646.0;298.0;914;1056;596;460;1139;7;2025;405;65;57;1108.0
370040000;24;37;37000;37004;Anché;ZZZZZZ;3700400;Z;5;233;184;27;21;226;5;2;7;24;50;102;1;9;9;27;51;32;56;180;70;16;20;32;24;19;175;68;16;17;32;24;19;4;1;0;3;0;0;0;12;26;29;117;155;25;1;4;1.0;73.0;62.0;144;168;72;97;184;0;357;55;1;4;179.0
370050000;24;37;37000;37005;Antogny-le-Tillac;ZZZZZZ;3700500;Z;5;284;224;43;17;281;3;1;13;36;68;106;1;5;13;34;65;63;43;216;62;22;24;68;31;9;215;62;21;24;68;31;9;1;0;1;0;0;0;0;20;32;29;143;179;39;5;6;0.0;90.0;62.0;178;208;97;111;220;0;410;89;13;11;216.0
370060000;24;37;37104;37006;Artannes-sur-Indre;ZZZZZZ;3700600;Z;5;1222;1093;48;81;1180;18;21;54;153;292;572;10;22;62;174;326;201;298;1092;231;41;86;334;269;131;1056;224;40;85;332;248;128;17;6;1;1;0;6;3;92;190;150;661;899;185;56;8;26.0;493.0;362.0;900;1031;401;630;1068;10;2237;366;124;16;1072.0
370070000;24;37;37000;37007;Assay;ZZZZZZ;3700700;Z;5;97;77;10;10;95;0;2;7;13;15;40;1;2;2;13;21;18;20;73;45;8;2;8;6;4;72;45;8;2;8;5;4;0;0;0;0;0;0;0;8;9;4;56;64;9;1;4;0.0;38.0;19.0;69;73;28;45;85;0;136;21;2;9;74.0
370080000;24;37;37000;37008;Athée-sur-Cher;ZZZZZZ;3700800;Z;5;1083;1000;38;45;1059;16;1;25;120;235;619;0;6;36;146;284;229;299;992;233;51;41;285;238;144;971;232;50;39;281;233;136;16;1;0;2;2;5;6;67;156;170;607;858;136;19;6;8.0;313.0;378.0;867;957;340;618;996;10;2279;321;36;13;991.0
370090000;24;37;37000;37009;Autrèche;ZZZZZZ;3700900;Z;5;185;161;14;10;183;1;0;8;27;43;83;0;3;8;40;42;21;47;161;50;12;12;45;30;12;159;48;12;12;45;30;12;1;1;0;0;0;0;0;16;20;45;80;113;42;24;6;1.0;47.0;52.0;134;155;57;98;155;0;286;105;66;9;156.0
370100000;24;37;37203;37010;Auzouer-en-Touraine;ZZZZZZ;3701000;Z;5;840;758;32;50;823;11;2;15;80;235;425;0;3;11;107;268;202;168;753;76;29;40;234;218;155;743;74;29;40;230;214;155;8;1;0;0;3;4;0;56;112;151;439;621;125;20;11;2.0;248.0;267.0;618;727;243;484;763;5;1629;349;49;18;747.0
370110000;24;37;37111;37011;Avoine;ZZZZZZ;3701100;Z;5;940;815;39;85;756;179;16;52;134;266;346;11;16;83;190;253;133;129;815;112;45;156;270;122;110;669;91;43;154;236;109;36;142;20;1;2;33;13;73;74;133;162;446;456;350;171;8;20.0;340.0;375.0;634;720;389;332;796;9;1010;706;404;15;807.0
370120000;24;37;37000;37012;Avon-les-Roches;ZZZZZZ;3701200;Z;5;295;225;37;33;294;0;2;9;35;63;116;2;2;9;27;96;52;37;224;85;35;12;52;18;22;223;85;34;12;52;18;22;0;0;0;0;0;0;0;14;18;41;152;193;26;1;6;1.0;62.0;63.0;183;214;100;114;225;0;477;62;2;9;218.0
370130000;24;37;37000;37013;Avrillé-les-Ponceaux;ZZZZZZ;3701300;Z;5;280;201;36;43;272;5;2;14;39;48;98;4;3;16;30;62;48;38;197;66;32;15;30;27;28;191;66;29;15;30;24;28;3;0;2;0;0;1;0;16;23;32;131;161;37;9;3;0.0;40.0;57.0;131;182;60;122;200;5;400;72;22;9;195.0
370140000;24;37;37112;37014;Azay-le-Rideau;ZZZZZZ;3701400;Z;5;1822;1467;194;161;1504;311;46;109;284;373;655;40;51;154;284;399;253;286;1450;340;94;207;430;250;129;1185;275;71;156;341;218;124;258;61;22;51;88;31;5;151;248;265;803;958;486;173;23;59.0;497.0;618.0;1079;1324;646;678;1445;35;2380;945;328;49;1443.0
370150000;24;37;37000;37015;Azay-sur-Cher;ZZZZZZ;3701500;Z;5;1438;1307;60;71;1366;67;4;52;146;255;850;5;22;55;152;307;309;456;1220;216;70;96;446;253;140;1178;207;65;89;432;247;139;40;8;5;8;13;5;1;123;186;215;783;1126;157;43;24;4.0;563.0;461.0;1045;1252;480;772;1308;15;2732;310;85;40;1284.0
370160000;24;37;37000;37016;Azay-sur-Indre;ZZZZZZ;3701600;Z;5;215;163;31;21;206;9;2;6;22;54;79;2;4;12;16;48;39;42;162;57;9;10;51;20;15;154;55;9;9;47;20;14;8;2;0;1;4;0;1;16;22;30;95;137;26;0;0;1.0;49.0;56.0;128;152;64;88;160;10;335;50;0;0;157.0
370180101;24;37;37701;37018;Ballan-Miré;ZZZZZZ;3701801;H;4;1185;1114;20;51;1038;145;15;73;115;287;624;7;23;71;184;317;202;310;1078;93;41;135;367;304;138;958;88;37;131;359;230;113;118;5;3;4;8;73;25;99;186;149;680;894;194;36;26;10.0;585.0;411.0;969;1063;459;604;1110;0;2093;402;59;77;1093.0
370180102;24;37;37701;37018;Ballan-Miré;ZZZZZZ;3701801;H;4;1069;1001;6;62;711;357;17;100;231;253;400;9;21;111;248;312;166;134;986;59;20;201;477;123;106;668;57;18;87;397;60;49;317;2;2;114;79;63;57;111;145;168;577;575;420;252;6;24.0;673.0;258.0;768;880;515;365;1005;15;1270;839;483;12;990.0
370180103;24;37;37701;37018;Ballan-Miré;ZZZZZZ;3701801;H;4;1342;1276;23;43;1059;282;6;74;179;273;744;5;16;105;183;312;244;411;1262;57;20;38;447;458;242;1004;56;20;35;369;381;143;258;1;0;3;78;77;99;133;214;219;710;907;356;151;13;5.0;664.0;525.0;1120;1229;477;752;1235;0;2250;798;326;18;1252.0
370190000;24;37;37000;37019;Barrou;ZZZZZZ;3701900;Z;5;306;217;58;31;302;3;0;11;50;57;99;0;2;11;49;66;47;42;217;64;37;23;59;27;7;214;62;37;23;58;27;7;2;1;0;0;1;0;0;19;37;27;135;162;49;7;7;2.0;107.0;57.0;163;201;109;92;219;0;342;106;16;14;214.0
370200000;24;37;37301;37020;Beaulieu-lès-Loches;ZZZZZZ;3702000;Z;5;1010;861;45;104;866;144;8;65;154;275;359;8;21;107;203;266;127;129;854;309;50;149;186;76;84;742;252;42;121;179;65;83;112;57;8;28;7;11;1;86;136;144;495;585;270;84;6;11.0;420.0;301.0;581;727;420;307;860;5;1240;495;163;9;845.0
370210000;24;37;37000;37021;Beaumont-Louestault;ZZZZZZ;3702100;Z;5;722;614;47;61;692;29;3;35;96;164;317;4;8;33;106;161;120;181;595;187;47;42;119;97;101;570;180;45;42;118;93;90;24;6;2;0;1;4;11;61;119;97;338;479;129;23;6;2.0;217.0;196.0;457;579;217;362;613;10;1213;289;45;10;601.0
370220000;24;37;37111;37022;Beaumont-en-Véron;ZZZZZZ;3702200;Z;5;1395;1198;85;112;1352;40;15;54;178;271;681;13;17;70;213;308;269;308;1198;266;54;194;372;228;83;1163;251;51;190;369;219;83;30;14;3;4;2;7;0;85;185;196;732;925;257;50;15;8.0;371.0;668.0;984;1127;500;627;1191;10;2099;503;110;36;1183.0
370230000;24;37;37000;37023;Beaumont-Village;ZZZZZZ;3702300;Z;5;164;122;32;11;160;4;2;9;21;39;50;2;1;7;29;37;16;29;121;42;22;14;17;14;13;118;42;22;14;17;12;13;2;0;0;0;0;2;0;5;10;16;90;102;16;0;4;0.0;51.0;31.0;99;111;50;61;115;5;224;26;0;8;122.0
370240000;24;37;37201;37024;Benais;ZZZZZZ;3702400;Z;5;502;410;46;46;490;11;4;17;68;101;220;5;11;29;66;118;83;97;410;168;30;18;108;36;50;399;164;28;17;108;32;50;10;4;2;1;0;3;0;29;63;73;245;325;78;14;7;1.0;101.0;186.0;336;387;173;213;420;0;747;150;31;16;393.0
370250000;24;37;37000;37025;Berthenay;ZZZZZZ;3702500;Z;5;287;266;8;13;287;0;0;4;32;53;177;1;1;8;33;66;77;80;265;61;15;15;100;38;36;265;61;15;15;100;38;36;0;0;0;0;0;0;0;20;22;44;180;243;21;3;2;0.0;105.0;99.0;207;256;81;175;270;5;649;54;13;5;262.0
370260000;24;37;37000;37026;Betz-le-Château;ZZZZZZ;3702600;Z;5;374;265;66;43;373;1;2;16;49;73;124;2;3;33;34;83;44;65;265;144;37;36;22;19;7;265;144;37;36;22;19;7;0;0;0;0;0;0;0;11;35;36;183;224;32;0;9;0.0;120.0;58.0;177;235;142;93;260;15;495;62;0;14;262.0
370270000;24;37;37701;37027;Bléré;ZZZZZZ;3702700;Z;5;2759;2404;122;233;2091;652;59;309;537;635;865;39;109;339;548;617;344;408;2400;657;200;387;562;367;227;1819;554;172;233;397;304;158;568;103;29;144;162;62;68;340;490;415;1159;1440;924;376;40;24.0;1212.0;901.0;1709;2041;1140;901;2350;49;3210;1699;661;89;2356.0
