IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC;P17_NPER_RP_PROP;P17_NPER_RP_LOC;P17_NPER_RP_LOCHLMV;P17_NPER_RP_GRAT;P17_RP_SDB
620010000;32;62;00756;62001;Ablain-Saint-Nazaire;ZZZZZZ;6200100;Z;5;803;740;10;53;789;13;0;9;68;165;498;2;9;30;124;231;153;190;739;11;188;147;238;105;50;731;11;187;145;236;104;48;7;0;1;2;1;1;2;60;85;86;509;644;88;31;8;7.0;511.0;147.0;625;669;746;9;1481;202;72;17;722.0
620020000;32;62;62000;62002;Ablainzevelle;ZZZZZZ;6200200;Z;5;88;82;1;4;88;0;0;2;15;22;44;0;1;9;12;27;18;16;80;1;34;8;12;9;17;80;1;34;8;12;9;17;0;0;0;0;0;0;0;5;8;21;49;77;4;0;1;0.0;31.0;32.0;67;78;83;10;212;9;0;1;80.0
620030000;32;62;62000;62003;Acheville;ZZZZZZ;6200300;Z;5;279;263;4;12;250;29;2;12;20;45;184;2;1;19;29;66;64;81;258;5;60;26;58;74;35;233;5;60;25;58;53;31;26;0;0;1;0;21;4;27;23;39;173;225;35;0;2;1.0;165.0;71.0;228;250;260;0;555;69;0;3;257.0
620040101;32;62;62502;62004;Achicourt;ZZZZZZ;6200401;H;4;1213;1099;8;107;1012;200;4;49;191;255;600;1;14;91;255;319;216;203;989;88;207;326;130;153;84;903;86;201;297;117;131;71;84;1;6;28;14;22;14;148;215;174;562;757;330;178;12;38.0;790.0;177.0;823;990;1102;20;1711;720;381;19;1064.0
620040102;32;62;62502;62004;Achicourt;ZZZZZZ;6200401;H;4;1369;1300;5;64;847;519;19;124;218;335;605;4;48;179;338;439;214;78;1295;8;59;330;821;61;16;805;5;50;183;519;38;9;487;3;9;147;300;23;6;124;229;206;741;672;611;493;18;416.0;783.0;57.0;772;1013;1269;20;1473;1259;971;47;1267.0
620040103;32;62;62502;62004;Achicourt;ZZZZZZ;6200401;H;4;1238;1165;9;64;863;369;59;160;198;263;486;62;122;119;247;381;157;77;1115;3;71;231;295;292;223;819;1;68;220;266;219;46;291;2;3;11;28;73;174;159;266;175;565;617;545;274;3;9.0;825.0;285.0;970;1013;1102;29;1396;1012;585;6;1130.0
620050000;32;62;62000;62005;Achiet-le-Grand;ZZZZZZ;6200500;Z;5;431;394;3;34;407;23;1;16;28;97;252;0;4;50;69;145;77;51;387;8;118;78;107;49;27;371;8;109;75;105;47;27;16;0;9;3;2;2;0;39;65;72;218;272;115;62;7;6.0;230.0;111.0;313;349;389;5;690;273;159;14;385.0
620060000;32;62;62000;62006;Achiet-le-Petit;ZZZZZZ;6200600;Z;5;151;134;2;14;147;3;0;5;15;31;84;0;2;13;20;35;31;33;132;11;59;16;21;13;12;128;11;59;14;21;13;10;3;0;0;2;0;0;1;9;19;20;87;117;12;1;6;0.0;66.0;30.0;110;123;136;0;264;25;1;14;126.0
620070000;32;62;62000;62007;Acq;ZZZZZZ;6200700;Z;5;301;288;1;12;298;3;1;4;20;57;206;1;0;6;20;68;73;120;281;62;8;17;65;24;105;278;62;8;17;65;24;102;3;0;0;0;0;0;3;20;41;95;132;243;43;23;2;1.0;171.0;74.0;265;269;290;0;646;118;68;5;282.0
620080000;32;62;62000;62008;Acquin-Westbécourt;ZZZZZZ;6200800;Z;5;335;297;12;25;334;0;0;7;33;80;176;1;1;17;37;76;87;79;297;56;34;31;68;44;64;296;55;34;31;68;44;64;0;0;0;0;0;0;0;21;63;55;158;242;50;0;5;0.0;91.0;73.0;261;284;293;0;681;142;0;10;287.0
