IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
2A0010000;2A;2A105;2A001;ZZZZZZ;2A00100;Z;3133;514;482;629;718;565;225;656;1910;567;2619;16;135;202;478;500;292;647;350;3031;102;168;3133;0
2A0040101;2A;2A501;2A004;2A0011;2A00401;H;1683;185;314;383;361;289;151;289;1047;348;1498;4;83;88;208;290;173;329;323;1528;155;260;1594;89
2A0040102;2A;2A501;2A004;2A0011;2A00401;H;2732;416;429;563;524;441;359;545;1545;642;2317;4;83;98;255;561;276;612;428;2230;502;506;2732;0
2A0040103;2A;2A501;2A004;2A0011;2A00401;H;3026;497;415;708;592;525;288;646;1757;623;2528;3;70;210;364;457;272;545;607;2770;256;304;2937;89
2A0040201;2A;2A501;2A004;2A0021;2A00402;H;2369;294;361;490;514;435;274;435;1383;550;2074;3;97;188;249;374;202;546;416;2209;160;179;2353;16
2A0040202;2A;2A501;2A004;2A0021;2A00402;H;1925;241;331;422;371;377;183;360;1153;412;1684;10;102;114;228;386;117;376;352;1859;66;84;1917;8
2A0040203;2A;2A501;2A004;2A0021;2A00402;H;2820;477;268;641;420;531;483;586;1376;858;2343;8;75;130;319;439;121;725;526;2795;25;67;2813;7
2A0040301;2A;2A501;2A004;2A0021;2A00403;H;2956;455;280;603;460;698;461;513;1451;993;2501;7;74;285;311;411;108;923;382;2915;41;56;2956;0
2A0040302;2A;2A501;2A004;2A0031;2A00403;H;3451;523;378;549;507;698;797;646;1517;1288;2928;0;114;279;391;373;121;1165;485;3362;89;109;3234;217
2A0040401;2A;2A501;2A004;2A0031;2A00404;H;4107;822;474;961;670;700;478;990;2140;977;3285;6;122;415;555;592;171;883;540;3952;154;181;4101;6
2A0040402;2A;2A501;2A004;2A0031;2A00404;H;4416;528;634;1029;927;859;439;716;2607;1093;3889;0;161;392;619;684;334;1053;646;4309;107;142;4412;4
2A0040501;2A;2A501;2A004;2A0051;2A00405;H;2346;382;381;407;447;347;382;480;1263;603;1964;1;38;39;285;430;252;572;349;2071;275;289;2345;1
2A0040502;2A;2A501;2A004;2A0041;2A00405;H;2063;369;289;456;431;262;255;510;1106;447;1694;3;59;87;229;392;208;407;308;1861;202;213;2057;6
2A0040503;2A;2A501;2A004;2A0041;2A00405;H;3690;656;560;725;818;612;318;831;2174;685;3031;4;154;141;489;576;388;707;573;3162;528;531;3455;235
2A0040601;2A;2A501;2A004;2A0051;2A00406;H;2384;408;414;453;499;371;239;538;1360;486;1976;1;74;34;163;410;304;473;518;1861;522;467;2378;6
2A0040602;2A;2A501;2A004;2A0051;2A00406;H;3166;606;522;699;524;525;289;755;1741;669;2560;2;97;78;350;587;304;661;480;2769;397;385;3166;0
2A0040701;2A;2A501;2A004;2A0061;2A00407;H;2193;384;407;338;482;303;280;539;1194;460;1809;3;44;21;119;419;267;420;517;1899;294;304;2179;14
2A0040702;2A;2A501;2A004;2A0061;2A00407;H;4345;806;910;723;1006;549;351;1106;2508;732;3536;6;120;69;356;932;540;708;806;3840;505;579;4321;24
2A0040703;2A;2A501;2A004;2A0061;2A00407;H;4821;851;742;870;1092;653;614;1100;2758;963;3970;1;149;102;392;923;564;985;853;4150;671;690;4556;265
2A0040801;2A;2A501;2A004;2A0071;2A00408;H;2866;391;440;590;640;512;291;508;1687;670;2474;11;109;263;470;446;200;635;340;2740;126;178;2857;9
2A0040802;2A;2A501;2A004;2A0071;2A00408;H;2318;388;398;467;429;377;259;537;1288;492;1930;6;69;77;237;377;263;499;402;1949;368;410;2285;33
2A0040803;2A;2A501;2A004;2A0071;2A00408;H;2417;317;418;486;588;437;170;428;1559;430;2100;0;118;157;456;400;195;500;276;2357;59;100;2417;0
2A0040901;2A;2A501;2A004;2A0081;2A00409;A;1772;328;448;367;466;113;50;513;1173;87;1445;1;67;60;154;405;259;101;397;1589;183;161;1733;39
2A0040902;2A;2A501;2A004;2A0081;2A00409;H;2514;373;420;480;607;423;212;477;1574;464;2142;18;111;103;227;524;271;459;429;2354;161;214;2500;14
2A0040903;2A;2A501;2A004;2A0081;2A00409;H;4280;692;675;895;924;719;375;911;2562;806;3588;5;158;159;395;809;440;813;810;3670;610;638;3839;441
2A0060000;2A;2A000;2A006;ZZZZZZ;2A00600;Z;3244;525;425;638;778;679;199;692;1975;577;2719;12;144;211;495;494;251;729;381;3166;78;144;3244;0
