IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
2B0020000;2B;2B000;2B002;ZZZZZZ;2B00200;Z;241;26;37;48;60;52;19;38;155;49;215;17;5;7;24;22;48;48;46;181;60;78;241;0
2B0030000;2B;2B000;2B003;ZZZZZZ;2B00300;Z;30;6;0;4;2;13;5;6;8;16;24;0;0;2;4;0;0;17;1;29;1;1;30;0
2B0050000;2B;2B000;2B005;ZZZZZZ;2B00500;Z;35;5;8;5;7;7;2;10;18;7;30;1;2;2;5;5;1;7;6;35;0;1;35;0
2B0070000;2B;2B000;2B007;ZZZZZZ;2B00700;Z;200;12;26;16;44;70;31;20;93;86;188;16;16;1;12;22;8;83;28;195;5;8;199;1
2B0090000;2B;2B000;2B009;ZZZZZZ;2B00900;Z;2162;362;300;444;496;383;177;457;1288;417;1800;54;105;66;162;293;242;407;471;1767;395;401;2038;124
2B0100000;2B;2B000;2B010;ZZZZZZ;2B01000;Z;358;60;44;71;68;85;30;72;193;93;298;2;36;8;31;56;36;86;43;323;35;42;358;0
2B0120000;2B;2B000;2B012;ZZZZZZ;2B01200;Z;48;6;0;7;11;14;9;6;20;21;42;3;2;3;4;1;3;18;7;48;0;0;48;0
2B0130000;2B;2B000;2B013;ZZZZZZ;2B01300;Z;26;2;1;4;8;9;1;2;16;8;24;1;3;1;2;3;1;9;3;26;0;0;26;0
2B0150000;2B;2B000;2B015;ZZZZZZ;2B01500;Z;24;0;6;2;4;7;5;2;12;10;24;2;0;4;0;1;0;11;6;24;0;0;24;0
2B0160000;2B;2B000;2B016;ZZZZZZ;2B01600;Z;546;65;42;112;107;135;85;77;288;181;481;25;30;18;32;48;80;162;86;471;75;65;546;0
