IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
730010000;73;73000;73001;ZZZZZZ;7300100;Z;235;28;27;48;57;60;15;38;155;42;205;0;5;25;40;35;25;55;20;228;7;9;235;0
730030000;73;73105;73003;ZZZZZZ;7300300;Z;3850;609;558;686;941;645;410;832;2252;766;3236;5;241;111;437;602;481;924;436;3725;125;195;3776;74
730040000;73;73000;73004;ZZZZZZ;7300400;Z;434;71;57;78;122;80;26;102;261;71;350;0;10;20;30;65;70;115;40;426;8;14;434;0
730050000;73;73000;73005;ZZZZZZ;7300500;Z;179;25;21;31;46;36;19;38;102;39;146;5;0;5;45;25;20;20;25;171;8;7;179;0
730060000;73;73201;73006;ZZZZZZ;7300600;Z;4443;865;595;937;968;679;398;1083;2550;811;3659;23;192;232;716;539;569;1070;319;4249;194;209;4400;43
730070000;73;73000;73007;ZZZZZZ;7300700;Z;1667;278;367;437;312;192;81;376;1094;197;1390;10;30;70;150;180;160;260;530;1524;143;156;1240;427
730080101;73;73601;73008;730011;7300801;H;4211;382;795;598;638;860;938;578;2103;1530;3829;1;155;283;487;527;374;1568;433;3948;263;423;4191;20
730080102;73;73601;73008;730011;7300801;H;3042;294;470;444;508;650;677;391;1509;1142;2726;0;92;224;334;396;209;1183;289;2838;204;266;2988;54
730080201;73;73601;73008;730021;7300802;H;2180;296;261;349;478;453;344;409;1130;642;1885;7;73;194;286;243;148;689;246;2068;112;187;2177;3
730080202;73;73601;73008;730021;7300802;H;3829;583;562;716;786;630;553;780;2109;941;3248;1;131;405;529;436;306;1054;386;3660;169;255;3516;313
730080203;73;73601;73008;730011;7300802;H;2462;378;560;414;481;371;259;514;1454;494;2083;0;66;110;325;479;280;537;286;2241;221;324;2364;98
