INSEE_COM;DEP;IRIS;DISP_TP6019;DISP_Q119;DISP_MED19;DISP_Q319;DISP_EQ19;DISP_GI19;DISP_PACT19;DISP_PTSA19;DISP_PCHO19;DISP_PBEN19;DISP_PPEN19;DISP_PPAT19;DISP_PPSOC19;DISP_PPFAM19;DISP_PPMINI19;DISP_PPLOGT19
2B033;2B;2B0330101;29.4;12010;18090;25740;0.76;0.364;72.7;52.4;2.9;17.4;26.9;6.8;10.9;1.6;6.7;2.6
2B033;2B;2B0330102;25.2;13010;19770;29650;0.84;0.331;72.2;57.7;3.0;11.5;28.6;9.3;8.4;1.0;5.5;1.9
2B033;2B;2B0330201;15.8;15620;21590;29370;0.64;0.314;78.2;64.7;2.6;10.9;22.8;11.6;6.5;1.6;3.4;1.5
2B033;2B;2B0330202;18.3;14250;21090;30130;0.75;0.33;64.9;54.1;1.9;8.9;34.3;12.5;7.5;1.8;4.0;1.7
2B033;2B;2B0330301;33.3;11550;15610;21750;0.65;0.256;57.4;52.8;2.4;2.2;29.9;4.7;19.2;3.3;11.7;4.2
2B033;2B;2B0330302;24.7;13250;17840;24830;0.65;0.252;57.9;52.9;2.1;2.9;37.5;6.2;11.2;2.4;6.1;2.7
2B033;2B;2B0330401;33.6;12110;15480;21160;0.58;0.234;52.5;47.0;3.0;2.5;35.0;3.8;18.6;2.1;11.9;4.6
2B033;2B;2B0330402;22.4;13650;17630;23390;0.55;0.234;68.7;62.4;3.1;3.2;24.7;4.1;14.9;2.6;8.6;3.7
2B033;2B;2B0330501;32.6;11970;15550;20680;0.56;0.244;51.0;46.0;3.1;1.9;34.3;5.1;20.1;2.7;12.5;4.9
2B033;2B;2B0330502;28.1;12700;17100;22510;0.57;0.239;59.7;54.8;2.4;2.5;30.8;4.1;16.2;2.6;9.5;4.1
2B033;2B;2B0330601;14.5;16780;25410;36690;0.78;0.362;74.0;56.4;1.6;16.0;29.9;16.4;4.1;0.7;2.4;1.0
2B033;2B;2B0330603;17.4;14640;20830;28020;0.64;0.282;66.6;58.4;2.0;6.2;35.1;7.3;8.0;1.4;4.6;2.0
2B033;2B;2B0330604;15.0;15710;21860;29590;0.64;0.315;75.9;62.1;1.6;12.2;26.1;12.8;6.2;1.4;3.2;1.6
2B033;2B;2B0330701;16.8;15100;21830;30740;0.72;0.325;67.7;53.5;1.8;12.4;34.0;13.1;5.6;1.0;3.2;1.4
2B033;2B;2B0330702;16.2;16390;23550;31550;0.64;0.295;68.4;57.0;1.7;9.7;35.8;9.5;5.3;1.0;3.1;1.2
