DEP;IRIS;COM;DISP_TP6018;DISP_Q118;DISP_MED18;DISP_Q318;DISP_EQ18;DISP_GI18;DISP_PACT18;DISP_PTSA18;DISP_PCHO18;DISP_PBEN18;DISP_PPEN18;DISP_PPAT18;DISP_PPSOC18;DISP_PPFAM18;DISP_PPMINI18;DISP_PPLOGT18
53;530620102;53062;14,6;15570.0;20540.0;28360.0;0,62;0,293;66,9;57,9;3,0;6,0;33,6;11,1;5,7;1,7;2,4;1,6
53;530620103;53062;;14120.0;18850.0;23400.0;0,49;0,240;48,9;42,8;2,5;3,6;47,5;8,6;8,2;2,6;3,3;2,3
53;530620104;53062;;16770.0;21510.0;26350.0;0,45;0,230;59,3;53,0;3,0;3,3;42,4;9,6;4,8;2,0;1,6;1,2
53;530620105;53062;6,7;17230.0;21650.0;26940.0;0,45;0,215;73,2;67,3;2,1;3,8;28,9;9,1;4,9;2,6;1,3;1,0
53;530620108;53062;15,1;15210.0;19560.0;24790.0;0,49;0,234;61,7;56,0;2,7;3,0;35,7;7,7;8,9;2,4;4,2;2,3
53;530620201;53062;6,1;17670.0;21800.0;26370.0;0,40;0,206;68,7;61,9;1,9;4,9;33,6;8,7;4,2;2,4;1,1;0,7
53;530620202;53062;;18360.0;22020.0;28190.0;0,45;0,217;67,1;61,1;1,7;4,3;34,1;12,0;3,5;2,1;0,7;0,7
53;531300101;53130;15,3;15540.0;21960.0;31460.0;0,73;0,393;79,8;67,4;2,9;9,5;25,1;14,1;5,1;1,3;2,1;1,7
53;531300102;53130;20,1;14140.0;19520.0;25750.0;0,60;0,289;65,7;59,2;2,8;3,7;32,9;10,1;8,4;3,1;3,2;2,1
53;531300103;53130;;11640.0;15700.0;20920.0;0,59;0,269;55,8;48,1;3,4;4,3;37,2;5,8;13,6;4,6;5,1;3,9
53;531300104;53130;;17890.0;22490.0;29500.0;0,52;0,265;65,5;58,8;2,3;4,4;39,5;10,6;3,6;1,4;1,2;1,0
53;531300105;53130;18,5;14580.0;20290.0;28880.0;0,71;0,315;74,2;65,2;3,5;5,5;26,6;11,2;6,8;1,7;3,0;2,1
53;531300106;53130;;18850.0;25880.0;34290.0;0,60;0,311;80,3;72,1;2,0;6,2;24,2;14,3;3,3;1,1;1,2;1,0
53;531300107;53130;12,6;16180.0;21150.0;28280.0;0,57;0,256;69,2;62,7;2,8;3,7;33,8;8,5;5,9;1,7;2,4;1,8
53;531300108;53130;12,1;16830.0;22120.0;29290.0;0,56;0,305;70,5;61,4;2,5;6,6;34,3;10,7;4,6;1,1;2,0;1,5
53;531300109;53130;16,9;15260.0;21050.0;28040.0;0,61;0,304;63,7;54,7;2,5;6,5;35,7;13,0;6,3;2,3;2,3;1,7
53;531300110;53130;9,1;17940.0;22530.0;28100.0;0,45;0,249;79,9;73,6;2,0;4,3;25,4;8,7;4,7;2,1;1,6;1,0
53;531300111;53130;8,9;17820.0;23050.0;28580.0;0,47;0,212;56,4;53,3;1,8;1,3;48,5;7,7;3,8;1,7;1,2;0,9
53;531300112;53130;14,8;15840.0;21290.0;27580.0;0,55;0,270;77,6;69,0;2,6;6,0;25,7;7,8;6,3;3,2;1,6;1,5
53;531300113;53130;21,6;13480.0;18470.0;24470.0;0,60;0,266;70,8;63,2;4,1;3,5;28,6;6,6;9,2;3,1;3,5;2,6
53;531300114;53130;;19390.0;25230.0;32710.0;0,53;0,267;72,3;65,5;2,4;4,4;33,3;11,0;3,4;1,6;1,1;0,7
53;531300115;53130;37,2;11600.0;15220.0;20080.0;0,56;0,238;62,6;56,0;4,6;2,0;28,1;4,4;15,9;6,0;5,9;4,0
53;531300117;53130;48,2;10900.0;13330.0;17520.0;0,50;0,209;58,3;;;;24,4;3,2;23,2;8,8;8,6;5,8
53;531300118;53130;31,0;11880.0;15950.0;19950.0;0,51;0,213;60,0;54,1;5,0;0,9;33,5;3,2;14,6;4,6;6,0;4,0
53;531300119;53130;;10300.0;12820.0;16310.0;0,47;0,211;55,0;46,2;7,5;1,3;22,8;2,8;27,3;9,6;11,0;6,7
53;531300120;53130;10,1;16970.0;21830.0;27810.0;0,50;0,256;64,1;59,5;2,1;2,5;39,5;9,9;4,8;2,4;1,4;1,0
53;531470101;53147;18,4;14640.0;20090.0;27380.0;0,63;0,324;65,8;58,5;2,8;4,5;32,1;13,1;6,8;1,6;3,1;2,1
53;531470102;53147;16,6;15060.0;20190.0;25820.0;0,53;0,287;67,8;58,3;2,7;6,8;32,0;10,8;6,3;1,8;2,7;1,8
53;531470103;53147;;15290.0;20280.0;26220.0;0,54;0,258;59,7;53,6;2,6;3,5;41,7;9,8;6,1;2,3;2,2;1,6
53;531470104;53147;;17670.0;21960.0;27820.0;0,46;0,224;62,5;56,0;1,6;4,9;39,3;10,1;4,4;1,9;1,4;1,1
53;531470105;53147;17,8;14560.0;20120.0;24960.0;0,52;0,243;60,1;55,3;2,6;2,2;38,2;9,2;7,2;2,0;3,2;2,0
53;531470106;53147;;17610.0;21680.0;26400.0;0,41;0,210;60,0;54,2;2,4;3,4;41,8;9,0;5,1;2,0;1,8;1,3
53;531470107;53147;9,3;17470.0;21690.0;27200.0;0,45;0,225;67,0;61,6;2,1;3,3;35,1;9,0;5,0;2,4;1,6;1,0
