INSEE_COM;DEP;IRIS;DISP_TP6019;DISP_Q119;DISP_MED19;DISP_Q319;DISP_EQ19;DISP_GI19;DISP_PACT19;DISP_PTSA19;DISP_PCHO19;DISP_PBEN19;DISP_PPEN19;DISP_PPAT19;DISP_PPSOC19;DISP_PPFAM19;DISP_PPMINI19;DISP_PPLOGT19
94002;94;940020101;21.6;14490;21440;29440;0.7;0.298;93.1;86.9;3.6;2.6;13.5;5.3;6.8;2.3;2.5;2.0
94002;94;940020102;19.1;14810;22250;31030;0.73;0.292;93.3;85.8;3.9;3.6;14.3;6.1;5.6;1.6;2.5;1.5
94002;94;940020103;15.8;16490;22900;31840;0.67;0.28;91.4;84.3;3.6;3.5;17.4;5.7;5.4;1.6;2.5;1.3
94002;94;940020104;19.5;14890;22410;32450;0.78;0.301;94.6;88.0;3.6;3.0;14.1;5.7;5.6;1.6;2.4;1.6
94002;94;940020105;17.2;15900;24050;33800;0.74;0.294;97.6;91.0;3.3;3.3;11.7;5.2;6.0;1.7;2.9;1.4
94002;94;940020106;23.1;13540;18660;24950;0.61;0.261;79.3;73.3;4.2;1.8;20.5;4.0;11.1;3.0;5.1;3.0
94002;94;940020107;12.9;17160;23590;31890;0.62;0.258;85.0;78.9;3.8;2.3;22.3;7.0;5.0;1.7;2.1;1.2
94002;94;940020108;13.9;17520;25760;35960;0.72;0.31;91.6;83.0;3.5;5.1;16.7;9.3;4.3;1.5;1.8;1.0
94002;94;940020109;13.2;18670;26410;35130;0.62;0.27;95.9;90.3;3.2;2.4;15.1;6.5;3.8;1.2;1.6;1.0
94002;94;940020201;16.6;16420;24910;34250;0.72;0.285;92.4;85.8;3.3;3.3;16.0;7.0;4.9;1.3;2.3;1.3
94002;94;940020202;30.3;12300;16500;21980;0.59;0.24;71.4;66.7;3.8;0.9;22.4;2.9;15.3;5.0;6.8;3.5
94002;94;940020203;28.0;12570;17710;25470;0.73;0.296;84.4;76.6;4.7;3.1;14.7;5.9;10.7;3.2;4.4;3.1
94002;94;940020204;28.3;12640;16830;23630;0.65;0.263;86.4;79.0;4.9;2.5;11.4;1.9;14.7;4.1;6.7;3.9
94002;94;940020205;22.7;14070;20510;28670;0.71;0.3;74.0;66.4;3.8;3.8;29.3;7.9;6.3;1.7;2.9;1.7
94002;94;940020206;27.3;12890;17910;24970;0.67;0.275;80.4;73.9;4.6;1.9;16.6;5.6;12.2;3.6;5.6;3.0
94003;94;940030101;17.1;16250;23700;32780;0.7;0.286;93.8;87.5;3.1;3.2;14.3;5.5;5.3;2.1;1.9;1.3
94003;94;940030102;26.1;12870;18670;26780;0.74;0.3;80.3;74.4;3.8;2.1;20.6;5.9;9.6;2.7;4.6;2.3
94003;94;940030103;13.4;18120;27210;38540;0.75;0.313;92.5;83.8;3.1;5.6;17.7;8.7;3.8;1.3;1.6;0.9
94003;94;940030104;20.1;14540;20790;29150;0.7;0.293;85.6;77.8;3.4;4.4;19.6;5.9;7.1;2.7;3.0;1.4
94003;94;940030105;24.0;13290;19110;25170;0.62;0.282;78.2;72.9;3.7;1.6;24.3;3.7;9.9;2.9;4.7;2.3
94003;94;940030106;19.7;14040;20880;29790;0.75;0.3;84.8;79.1;3.1;2.6;19.4;6.3;7.4;2.7;2.9;1.8
94003;94;940030107;13.1;18080;26870;36360;0.68;0.293;87.9;78.6;3.5;5.8;22.2;8.2;3.3;1.1;1.4;0.8
94003;94;940030108;11.8;17660;24920;33710;0.64;0.272;93.0;87.1;2.8;3.1;15.9;5.4;5.4;2.4;1.9;1.1
94003;94;940030109;13.3;17590;26020;35130;0.67;0.305;86.1;79.9;2.9;3.3;22.7;9.1;4.3;1.5;1.8;1.0
94004;94;940040101;24.2;13330;17950;23440;0.56;0.232;78.1;72.0;4.9;1.2;18.5;2.8;13.5;5.0;5.4;3.1
94004;94;940040102;25.0;13200;17940;24260;0.62;0.255;78.6;72.4;3.7;2.5;21.6;3.5;11.0;4.0;4.7;2.3
94004;94;940040103;35.2;11590;15640;21300;0.62;0.256;77.0;71.7;4.2;1.1;16.7;2.2;16.2;5.1;7.2;3.9
94004;94;940040104;15.2;15420;22120;30030;0.66;0.262;78.2;72.2;2.4;3.6;26.0;6.2;7.4;2.8;3.1;1.5
94004;94;940040105;14.6;16060;21840;29070;0.6;0.255;92.6;86.6;3.1;2.9;14.5;4.6;6.1;2.3;2.4;1.4
94004;94;940040106;8.1;20270;26630;33280;0.49;0.231;81.3;76.5;2.1;2.7;27.3;7.7;3.2;1.8;1.1;0.3
94011;94;940110102;16.9;15940;21720;29860;0.64;0.279;80.0;72.9;2.8;4.3;22.8;9.0;6.1;2.7;2.2;1.2
94011;94;940110103;10.1;17750;24390;33240;0.64;0.284;79.0;68.9;2.8;7.3;25.4;8.7;5.5;3.0;1.6;0.9
94011;94;940110104;;11810;15920;20700;0.56;0.233;67.0;;;;25.0;2.4;16.3;4.7;7.9;3.7
