CODGEO;P17_POP;P12_POP;SUPERF;NAIS1217;DECE1217;P17_MEN;NAISD19;DECESD19;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_RP_PROP;NBMENFISC17;PIMP17;MED17;TP6017;P17_EMPLT;P17_EMPLT_SAL;P12_EMPLT;P17_POP1564;P17_CHOM1564;P17_ACT1564;ETTOT15;ETAZ15;ETBE15;ETFZ15;ETGU15;ETGZ15;ETOQ15;ETTEF115;ETTEFP1015;INSEE_COM;REG;DEP
29001;991.0;996.0;31.73;62.0;51.0;436.0;8.0;7.0;708.0;436.0;215.0;57.0;354.0;409.0;;19040.0;;134.201917900891;63.1553212800883;147.318588593019;613.0;66.0;466.0;95.0;26.0;4.0;10.0;43.0;8.0;12.0;13.0;1.0;29001;53;29
29002;1387.0;1396.0;34.04;59.0;130.0;582.200344484024;11.0;31.0;674.0080331840239;582.200344484024;37.3284009;54.4792878;434.88533562563;564.0;;19830.0;;277.97149536847803;211.095489174456;278.125662350465;833.010849944275;71.2122148588865;636.989669207648;99.0;27.0;11.0;10.0;39.0;8.0;12.0;19.0;4.0;29002;53;29
29003;3692.0;3742.0;18.37;92.0;374.0;1961.0;13.0;80.0;3830.0;1961.0;1643.98287493513;225.01712506486803;1538.0;1924.0;44.0;20110.0;11.0;1238.0950495213401;920.582739120512;1317.6911602606401;1812.9059829059802;182.0;1226.2234432234402;471.0;18.0;20.0;33.0;323.0;77.0;77.0;115.0;24.0;29003;53;29
29004;5659.0;5552.0;77.51;268.0;328.0;2569.55330513129;51.0;75.0;3065.12384776695;2569.55330513129;169.654780361757;325.915762273901;2011.9141023003;2467.0;44.0;19810.0;10.0;1410.21140177646;1095.72101942373;1430.5047290624402;3449.7160199013897;276.813705002435;2620.33274979755;428.0;88.0;26.0;49.0;203.0;56.0;62.0;88.0;22.0;29004;53;29
29005;1149.0;1137.0;7.29;49.0;36.0;502.99999999990797;12.0;4.0;555.236940298415;502.99999999990797;23.5578358208954;28.679104477611798;418.45094206327104;512.0;;22770.0;;159.804400457089;120.824605067894;204.86509375000702;692.9982570043311;46.2249936660765;503.176809776112;72.0;9.0;6.0;7.0;40.0;7.0;10.0;15.0;4.0;29005;53;29
29006;3568.0;3453.0;10.53;116.0;225.0;1842.99999998557;17.0;49.0;4202.19758974204;1842.99999998557;2294.50665327643;64.69093648004029;1379.72356331637;1905.0;63.0;25100.0;8.0;1101.9222312242698;869.5518758075509;1195.12246155179;1809.6362613213698;149.461211112811;1266.4550031521699;468.0;5.0;28.0;41.0;349.0;64.0;45.0;104.0;17.0;29006;53;29
29008;1001.0;1055.0;34.54;33.0;71.0;456.00000000000097;2.0;7.0;689.041916167666;456.00000000000097;181.812874251497;51.2290419161676;395.58582487325;463.0;;20630.0;;188.58857519813202;102.32467051731199;183.462610118544;556.097117212037;47.9121653075729;433.28957660963204;113.0;38.0;3.0;4.0;52.0;12.0;16.0;26.0;1.0;29008;53;29
29010;1609.0;1563.0;20.08;92.0;36.0;562.0;15.0;8.0;621.0;562.0;18.0;41.0;454.0;554.0;;20300.0;;671.493149093164;559.850416601;653.9950690460511;1057.0;68.0;857.0;115.0;37.0;5.0;18.0;48.0;13.0;7.0;32.0;8.0;29010;53;29
29011;3458.0;3512.0;7.27;148.0;403.0;1301.0;30.0;69.0;1360.0;1301.0;9.0;50.0;1037.0;1312.0;68.0;26310.0;;981.947960951564;901.5659492145711;1036.25590884595;1949.0;119.0;1415.0;166.0;8.0;11.0;11.0;94.0;14.0;42.0;27.0;9.0;29011;53;29
29012;205.0;186.0;17.47;8.0;15.0;104.509803921568;0.0;3.0;163.18202614378998;104.509803921568;44.75;13.9222222222222;87.42647058823499;90.0;;16630.0;;38.1469845611201;12.9852778314589;32.0617731807268;121.593137254902;16.078431372548998;83.4068627450977;28.0;15.0;1.0;1.0;9.0;2.0;2.0;5.0;0.0;29012;53;29
29015;3568.0;3402.0;28.31;237.0;186.0;1353.00000000002;42.0;46.0;1441.2821052631698;1353.00000000002;14.206315789473601;74.075789473684;1124.00192436664;1332.0;54.0;21950.0;6.0;947.539951664126;774.356676733213;1035.3718098803301;2157.2477924030604;122.10443105537901;1627.71317958875;267.0;48.0;12.0;40.0;131.0;35.0;36.0;72.0;15.0;29015;53;29
29016;1024.0;1032.0;46.69;50.0;67.0;497.0;9.0;11.0;766.0;497.0;206.0;63.0;391.0;449.0;;18470.0;;207.28711994756802;125.28964515065901;258.53627721186297;590.0;67.0;429.0;114.0;34.0;7.0;6.0;53.0;18.0;14.0;26.0;4.0;29016;53;29
29017;875.0;846.0;14.06;55.0;26.0;356.713953488371;13.0;6.0;407.04728682170503;356.713953488371;25.1666666666667;25.1666666666667;316.06279069767396;345.0;;21760.0;;132.615242994026;88.06030903134001;151.320793472764;522.367441860464;32.5209302325581;406.511627906976;63.0;20.0;1.0;8.0;26.0;1.0;8.0;17.0;2.0;29017;53;29
29018;444.0;461.0;18.69;27.0;34.0;218.44393592677397;4.0;2.0;365.302091955143;218.44393592677397;90.59431703048729;56.26383899788161;177.803203661328;214.0;;17960.0;;233.79079803090698;198.244190105066;326.690244303207;265.180778032038;31.496567505721;188.979405034326;51.0;12.0;7.0;1.0;23.0;7.0;8.0;11.0;3.0;29018;53;29
29019;140064.0;139676.0;49.51;8421.0;6239.0;74722.6208589915;1449.0;1246.0;83179.25097054;74722.6208589915;2753.5987853607203;5703.031326187729;32172.3528882826;62813.0;47.0;19640.0;17.0;80061.2139519726;73767.5889180743;81515.4098324752;96075.4868942088;11358.0389935391;64871.8216807783;10933.0;31.0;418.0;803.0;7611.0;1832.0;2070.0;2725.0;853.0;29019;53;29
29020;5630.0;5497.0;67.87;336.0;304.0;2300.45483496873;51.0;58.0;2629.67441992333;2300.45483496873;72.0776606113631;257.141924343241;1605.31739570644;2246.0;42.0;20000.0;10.0;2857.9284509972;2545.7729247520897;2898.45366066534;3481.25731287368;279.05517345925;2677.95330879737;499.0;91.0;40.0;60.0;237.0;85.0;71.0;134.0;46.0;29020;53;29
29021;1922.0;1982.0;14.28;60.0;167.0;981.1057046979871;8.0;26.0;2072.10570469798;981.1057046979871;969.745762711863;121.25423728813499;804.614093959731;1004.0;49.0;21250.0;12.0;396.124075389759;274.483636199897;387.053954837621;1034.49161073825;110.657718120805;723.503355704698;180.0;29.0;10.0;13.0;99.0;15.0;29.0;45.0;5.0;29021;53;29
29022;2543.0;2602.0;11.64;76.0;258.0;1358.5862621280198;10.0;47.0;2440.4507341246;1358.5862621280198;963.790532284442;118.073939712138;1100.6921349207198;1291.0;48.0;20920.0;10.0;453.854177253915;308.380444956824;511.00370141887396;1251.19672822692;142.294667392692;845.8298464141859;208.0;9.0;11.0;15.0;142.0;29.0;31.0;61.0;5.0;29022;53;29
