INSEE_COM;DEP;ARR;CV;EPCI;NATURE_EPCI;ZE2020;UU2020;P19_POP;P13_POP;SUPERF;NAIS1319;DECE1319;P19_MEN;NAISD21;DECESD21;P19_LOG;P19_RP;P19_RSECOCC;P19_LOGVAC;P19_RP_PROP;NBMENFISC19;PIMP19;MED19;TP6019;P19_EMPLT;P19_EMPLT_SAL;P13_EMPLT;P19_POP1564;P19_CHOMEUR1564;P19_ACT1564;ETTOT19;ETAZ19;ETBE19;ETFZ19;ETGU19;ETGZ19;ETOQ19;ETTEF119;ETTEFP1019;Indice de Gini
66001;66;661;6617;246600373;CC;7620;66000;73.0;82.0;17.1;4.0;0.0;33.0;0;0;42.0;33.0;6.0;3.0;15.0;;;;;21.1189336481238;9.0765163516504;20.8870574656233;45.0;8.0;38.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0
66002;66;661;6612;246600282;CC;7620;66501;3645.0;3358.0;5.34;191.0;173.0;1587.07929568347;24;43;1837.85884488633;1587.07929568347;129.921935129191;120.857614073666;1121.5934009755;1611.0;54.0;21140.0;15.0;511.47447451154;394.314968443283;493.71214138857;2145.12031622589;244.441204117429;1606.27166171085;74.0;7.0;5.0;18.0;37.0;13.0;7.0;55.0;11.0;0.257
66003;66;661;6602;246600548;CC;7620;66203;3542.0;3616.0;29.43;131.0;391.0;2093.50000000006;23;72;5314.21996817827;2093.50000000006;2886.29535034118;334.424617837026;1107.55555555559;2177.0;37.0;17720.0;26.0;1211.84861853497;935.064233392034;1368.21410489547;1725.67567567566;331.299999999997;1153.08888888887;133.0;0.0;9.0;7.0;101.0;22.0;16.0;95.0;14.0;0.256
66004;66;663;6613;246600464;CC;7620;66000;553.0;528.0;43.2;15.0;34.0;306.570318289751;1;5;3997.4387168053;306.570318289751;3564.22095346845;126.647445047102;176.627250524351;308.0;;20480.0;;591.066160053456;468.589198062754;526.516958048157;345.705548057478;13.8406363541882;278.699197619856;90.0;1.0;2.0;7.0;76.0;19.0;4.0;70.0;11.0;0.0
66005;66;663;6613;246600399;CC;7620;66000;561.0;714.0;87.87;15.0;28.0;253.690443811145;2;5;601.073863500264;253.690443811145;289.989637305699;57.3937823834196;176.21490412705;225.0;;20820.0;;64.6934565432076;43.6808254409474;196.745614501931;350.463045703919;10.979286803153;259.469443974858;17.0;0.0;0.0;4.0;9.0;0.0;4.0;10.0;2.0;0.0
66006;66;663;6615;246600423;CC;7620;66000;165.0;198.0;7.84;6.0;17.0;78.0538922155689;1;2;158.562114526528;78.0538922155689;68.4319889643155;12.0762333466439;54.3413173652695;84.0;;15510.0;;24.9122730046221;15.9734398724494;29.3871849148583;98.8023952095808;20.748502994012;72.125748502994;4.0;1.0;0.0;1.0;0.0;0.0;2.0;4.0;0.0;0.0
66007;66;663;6615;200049211;CC;7620;66000;124.0;105.0;14.08;4.0;8.0;65.4173228346457;2;3;109.917322834646;65.4173228346457;33.6463414634146;10.8536585365854;45.8897637795276;67.0;;17560.0;;13.6550923737751;8.73102990900631;14.8681525637292;67.3700787401575;5.85826771653543;51.748031496063;2.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0
66008;66;661;6605;200043602;CC;7620;66501;10260.0;9914.0;58.67;510.0;946.0;5365.49457513916;83;193;15690.6295329382;5365.49457513916;10029.1188210266;296.016136772369;3345.84356853406;6182.0;51.0;20540.0;17.0;4596.15708055648;3665.60565297432;4091.11595894308;5168.7945493335;804.041886996548;3604.82423707258;866.0;14.0;26.0;58.0;707.0;219.0;61.0;515.0;75.0;0.27
66009;66;661;6602;246600548;CC;7620;66203;2724.0;2687.0;28.82;102.0;348.0;1270.08660632148;24;87;1825.64976487485;1270.08660632148;200.450443653873;355.112714899501;791.419366069067;1219.0;44.0;18800.0;20.0;705.02279415762;586.11059177293;705.523533537937;1528.00182463373;236.477986255985;1079.71186212544;64.0;1.0;4.0;9.0;35.0;9.0;15.0;44.0;14.0;0.262
66010;66;663;6613;246600464;CC;7620;66000;36.0;46.0;29.68;0.0;3.0;22.7368421052632;0;0;146.697779605263;22.7368421052632;108.84375;15.1171875;18.0;;;;;5.89803537499801;4.95066695394538;3.07870535369109;21.7894736842105;0.0;15.1578947368421;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66011;66;661;6612;200043602;CC;7620;66114;4291.0;3987.0;11.95;281.0;223.0;1978.438768781;53;46;2360.9187343131;1978.438768781;89.5165876777251;292.963377854373;1408.75590663704;2064.0;50.0;20520.0;14.0;500.944632434833;339.452465244399;509.914191254452;2525.75782827875;304.033357329539;1887.16504965118;82.0;6.0;5.0;25.0;35.0;6.0;11.0;62.0;11.0;0.234
66012;66;662;6614;200027183;CU;7620;66701;3431.0;3203.0;7.9;161.0;116.0;1442.47594421259;23;29;1608.90415501285;1442.47594421259;35.6631880286273;130.765022771633;1081.30180745217;1414.0;55.0;21020.0;13.0;365.880263956025;254.948963136076;336.767997104616;2161.7257580161;236.022335922975;1641.80495350489;57.0;4.0;3.0;19.0;25.0;5.0;6.0;44.0;6.0;0.257
66013;66;663;6602;200049211;CC;7620;66000;117.0;109.0;17.89;3.0;1.0;52.0;0;0;92.5287356321839;52.0;38.551724137931;1.97701149425287;35.0;;;;;11.0;2.0;19.0459064287334;73.0;8.0;40.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
66014;66;662;6614;200027183;CU;7620;66104;2612.0;2579.0;18.91;169.0;123.0;1212.67746076461;47;22;1498.36667446781;1212.67746076461;118.687063045816;167.002150657387;853.493315484958;1215.0;47.0;19890.0;18.0;388.802870947612;251.495792356903;410.553597745418;1686.4424996461;225.337856943836;1283.88539406415;55.0;21.0;3.0;5.0;19.0;10.0;7.0;39.0;4.0;0.258
66015;66;661;6601;246600449;CC;7620;66000;1271.0;1257.0;10.53;76.0;66.0;579.93065244549;11;18;754.964573748068;579.93065244549;84.4640434192673;90.5698778833107;439.746228966128;595.0;;21030.0;;170.505740495451;113.411347218251;207.244711141193;777.762562030731;102.43692555332;596.69162641874;34.0;4.0;2.0;9.0;15.0;5.0;4.0;25.0;4.0;0.0
66016;66;661;6605;200043602;CC;7620;66117;4738.0;4681.0;42.43;153.0;547.0;2411.89756499438;24;87;4981.20411168925;2411.89756499438;2546.20488501622;23.1016616786482;1486.53822166995;2185.0;55.0;20760.0;17.0;1561.85553638757;1230.0446678623;1619.20808131018;2377.9429703702;287.127884670696;1674.24271471464;192.0;19.0;8.0;16.0;130.0;38.0;19.0;130.0;18.0;0.261
66017;66;662;6604;200027183;CU;7620;00457;5771.0;4037.0;11.65;195.0;381.0;3087.88501731516;28;91;16081.6032613727;3087.88501731516;12958.463969752;35.2542743055825;2096.25438136061;3104.0;49.0;19770.0;19.0;1474.02259491164;1098.3191433595;1261.8691253368;3083.80785315945;563.693588315228;2048.17503625175;278.0;4.0;7.0;10.0;246.0;51.0;11.0;143.0;27.0;0.253
66018;66;661;6602;246600548;CC;7620;66000;68.0;79.0;15.63;2.0;6.0;37.7799657570954;0;1;114.779965757095;37.7799657570954;77.0;0.0;26.5480840455265;;;;;22.6199373142102;11.4789964016405;15.9287365887451;37.3675953320848;8.16864124477738;26.8524389108198;3.0;1.0;0.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0
66019;66;663;6615;246600415;CC;7620;66000;216.0;227.0;20.52;19.0;18.0;104.428897590965;1;4;196.86699282906;104.428897590965;60.285714285714;32.1523809523808;79.2837539096287;114.0;;16630.0;;42.7222846900996;33.7000713103734;51.030873544428;121.163211082811;23.892986428643;92.3865406221369;8.0;2.0;1.0;0.0;2.0;0.0;3.0;7.0;1.0;0.0
66020;66;663;6613;246600464;CC;7620;66000;818.0;790.0;17.61;26.0;19.0;392.0;2;2;3471.0;392.0;3043.0;36.0;246.0;411.0;;22280.0;;286.240653787225;204.008271799364;267.432775743814;518.0;25.0;398.0;59.0;0.0;1.0;10.0;45.0;11.0;3.0;46.0;6.0;0.0
