INSEE_COM;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2018;Part des prof. intermédiaires dans le nb d’emplois au LT 2018;Part des employés dans le nb d’emplois au LT 2018;Part des ouvriers dans le nb d’emplois au LT 2018;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2018;Part des agriculteurs expl. dans le nb d’emplois au LT 2018;Artisans, commerçants, chefs d'entreprise;Cadres et professions intellectuelles supérieures;Professions intermédaires;Employés;Ouvriers;Nb d'emplois au lieu de travail (LT) 2018;Part des emplois sal. dans le nb d’emplois au LT 2018;Part des emplois non sal. dans le nb d’emplois au LT 2018
01001;5.1;25.3;9.7;25.2;19.5;15.1;20;5;26;10;25;93;66.7;33.3
01002;0;49.6;25.7;24.7;0;0;0;0;10;5;5;17;46.3;53.7
01004;12;29.3;30;23.7;5;0.1;391;931;2279;2332;1843;7871;89;11
01005;10;30;21.8;12.6;25.6;0;87;34;102;74;43;260;68.8;31.2
01006;;;;;;;0;0;0;0;0;6;66.7;33.3
01007;12.8;32;23.6;21;8.5;2.1;40;60;149;110;98;472;76.8;23.2
01008;0.6;26.6;34.4;20.9;17.4;0;25;1;38;50;30;135;73.3;26.7
01009;0;100;0;0;0;0;0;0;5;0;0;19;42.4;57.6
01010;11.3;23.3;16.4;35.8;8.2;5;25;34;71;50;109;274;87.9;12.1
01011;20.1;20.1;20.2;19.8;0;19.8;0;5;5;5;5;25;59.9;40.1
01012;0;2.9;24.9;41.6;22.3;8.3;13;0;2;15;25;59;63.7;36.3
01013;0;50;0;0;0;50;0;0;5;0;0;21;28.7;71.3
01014;9;25.1;24;33.2;8.6;0.1;194;205;570;543;751;2187;89.8;10.2
01015;17.1;25.7;22.7;17.3;8.6;8.6;5;10;15;13;10;54;59.6;40.4
01016;0;12.4;37.3;37.8;12.4;0;5;0;5;15;15;36;52.7;47.3
01017;0;0;73.9;0;0;26.1;0;0;0;15;0;34;73.1;26.9
01019;0;0;100;0;0;0;0;0;0;5;0;2;100;0
01021;8.4;16.8;38.1;15.5;21.3;0;70;28;55;125;51;197;71.5;28.5
01022;13.4;23.9;32.3;17.6;12.8;0;51;53;95;128;70;360;77.9;22.1
01023;0;3.3;51.5;15.8;0;29.4;0;0;1;17;5;16;75.7;24.3
01024;6;24.4;15.5;46.5;5.9;1.7;55;57;229;146;436;934;89.4;10.6
01025;12;14.1;25.1;26.6;12.8;9.4;82;77;90;161;170;627;78.5;21.5
01026;8.3;16;53.3;11.8;8.4;2.1;20;20;38;126;28;273;80;20
01027;4.6;21.6;50.2;20.3;3;0.3;55;84;395;918;370;1825;94.5;5.5
01028;0;25.9;36.7;7.3;30.1;0;20;0;17;24;5;67;53;47
01029;0;10.9;56.8;21.5;0;10.8;0;0;15;79;30;182;79.7;20.3
01030;19.7;14.9;26.3;0;39.1;0;30;15;12;20;0;64;63.6;36.4
01031;15.4;24.3;16.3;38.2;5.9;0;130;339;534;358;840;2232;90.8;9.2
01032;13;28.1;38.2;15.4;5.4;0;75;181;391;531;214;1397;90.1;9.9
01033;11.9;21.2;31.2;27.8;7.4;0.5;428;688;1223;1799;1601;5707;87.3;12.7
01034;14;25.7;28.2;25.3;6.7;0.1;392;823;1511;1657;1490;6025;88.7;11.3
01035;0;0;20;20;20;40;5;0;0;5;5;23;52.1;47.9
01036;10.1;15.1;15.1;14.9;29.8;15;30;10;15;15;15;115;48.2;51.8
01037;21;15.7;36.8;15.7;0;10.8;0;20;15;35;15;120;78;22
01038;11.5;6.5;39.8;18.3;17.6;6.2;15;10;5;33;15;98;67.6;32.4
01039;10.3;17.2;31.1;34.4;7;0;10;15;25;45;50;107;84.1;15.9
01040;0;0;33.8;32.4;33.8;0;10;0;0;10;10;41;52.4;47.6
01041;0;24.2;45.5;15.2;15.2;0;5;0;8;15;5;46;78.3;21.7
01042;0;22.1;44.5;0;11.1;22.3;5;0;10;20;0;20;54.8;45.2
01043;16.9;23.5;26.6;27;5.9;0;193;554;769;871;883;3445;90.7;9.3
01044;0;28.7;24.4;46.9;0;0;0;0;15;13;25;68;73.2;26.8
01045;23.8;28.4;33.5;0;0;14.3;0;8;10;12;0;55;80.1;19.9
01046;0;21.2;21.1;20.9;10.5;26.3;10;0;20;20;20;108;59.8;40.2
01047;20.8;22.4;14.8;34.3;7.3;0.5;68;194;209;139;320;900;91.5;8.5
01049;16.3;28.7;20.3;25.5;8.7;0.5;78;147;258;182;229;953;86.5;13.5
01050;0;11.9;32.7;0;44.5;10.9;19;0;5;14;0;32;50.8;49.2
01051;;;;;;;0;0;0;0;0;11;27.4;72.6
01052;0;9;18.1;18.6;18.1;36.2;10;0;5;10;10;55;60.2;39.8
01053;15.1;32.4;30;18.3;4.1;0.1;1310;4838;10380;9598;5869;32077;92.3;7.7
01054;4.5;13.6;45.3;4.8;22.6;9.1;25;5;15;50;5;78;56.5;43.5
01056;0;16.5;33.4;33.4;0;16.7;0;0;5;10;10;50;48;52
01057;7.5;17;18.4;34.3;22.7;0;25;8;19;20;38;114;78.9;21.1
01058;5;23.7;20;38;13.3;0;41;15;72;61;116;286;84;16
01060;11.2;16.5;27.2;17.1;11.2;17;10;10;15;24;15;109;76.5;23.5
01061;4.6;30.5;27.8;18.4;18.6;0;20;5;33;31;20;90;73.8;26.2
01062;17.8;23.3;14.4;31.3;9.4;3.7;25;47;62;38;83;216;87.9;12.1
01063;9.7;19.2;5.5;60.2;5.5;0;20;36;71;20;223;421;94;6
01064;13.7;20.7;20.3;35.1;8.8;1.6;53;83;125;123;213;595;91.2;8.8
01065;4.2;13.5;24.6;27.8;19.6;10.3;48;10;33;60;68;200;69.1;30.9
01066;0;0;0;100;0;0;0;0;0;0;5;7;28.8;71.2
01067;0;10.4;57.1;32.5;0;0;0;0;8;44;25;97;92.8;7.2
01068;0;13.1;27.6;33.2;13.1;13;15;0;15;32;38;142;65.2;34.8
01069;9.6;25;14.2;37.3;12.5;1.4;45;35;91;52;136;321;85.6;14.4
01071;8.6;20.2;42.2;16.9;12.1;0;102;73;171;357;143;940;83.9;16.1
01072;14.3;27;26.8;23.8;7.4;0.7;85;164;309;308;273;1153;88.8;11.2
01073;7.1;21.6;17.9;25.1;21.1;7.1;30;10;30;25;35;105;54.4;45.6
01074;8.2;15.1;25.1;30.5;19.3;1.7;119;51;93;155;189;636;78.3;21.7
01075;11.8;23;11.9;36.8;9.9;6.7;50;60;117;61;188;441;81.6;18.4
01076;0;27.6;28.2;44.1;0;0;0;0;5;5;8;17;100;0
01077;0;0;33.3;0;0;66.7;0;0;0;5;0;21;43.1;56.9
01078;7.7;20.5;52.4;4;7.7;7.7;10;10;25;65;5;121;75.3;24.7
01079;10.1;20.2;39.2;18.7;8.4;3.4;25;30;60;117;56;323;79.1;20.9
01080;0;38.7;23;7.7;7.7;22.9;5;0;25;15;5;93;72.1;27.9
01081;24.5;21.8;10.1;37.5;3.9;2.2;18;113;100;47;172;462;92.3;7.7
01082;21.7;30.7;26.5;11.7;5.8;3.5;10;37;53;45;20;182;92.8;7.2
01083;2.7;13.1;26;28.7;26.7;2.8;51;5;25;50;55;180;64.4;35.6
01084;15.2;0;23.2;8.1;45.9;7.6;29;9;0;14;5;55;49.6;50.4
01085;0;10.5;50.8;17.7;10.3;10.7;5;0;5;25;9;60;51.1;48.9
01087;10.9;7.6;42.7;28.1;10.7;0;5;5;3;20;13;29;76.5;23.5
01088;15.4;24.3;19.2;29.8;6;5.4;11;28;45;35;55;189;80;20
01089;11.2;27.8;18.7;32.1;9.6;0.6;75;87;218;146;251;784;83.7;16.3
01090;9;9;26.9;37.1;18;0;10;5;5;15;20;33;63.9;36.1
01092;3;25.5;44.5;8.9;12;6;20;5;42;74;15;177;74.1;25.9
01093;14.4;25.8;25.9;25.2;8.2;0.5;250;441;791;792;772;2978;88.3;11.7
01094;13;18.9;13;35.8;19.3;0;15;10;15;10;28;80;73.6;26.4
01095;11.9;20.9;11.2;29.6;18.8;7.5;25;16;28;15;40;135;73;27
01096;0;17.4;18.6;28.5;23.7;11.8;50;0;37;40;61;159;65.9;34.1
01098;6.5;20.2;22;43;4.6;3.7;25;35;109;119;233;444;85.8;14.2
01099;16.9;32.8;17.9;11.4;16.8;4.3;59;59;115;63;40;281;68.4;31.6
01100;0;0;0;0;0;100;0;0;0;0;0;9;66.1;33.9
01101;50;0;0;50;0;0;0;5;0;0;5;9;22.2;77.8
01102;0;25.4;29.1;23.8;7.2;14.4;10;0;35;40;33;138;68.1;31.9
01103;9;29.4;29;9;20.7;2.9;33;14;46;46;14;139;73.2;26.8
01104;4.5;4.5;40.7;13.6;13.9;22.8;15;5;5;45;15;87;64.3;35.7
01105;6.2;28;14.4;36.2;10.1;5.1;67;41;185;96;240;538;84.6;15.4
01106;0;66.9;0;0;33.1;0;5;0;10;0;0;16;62.4;37.6
01107;100;0;0;0;0;0;0;5;0;0;0;7;14.4;85.6
01108;8.2;17.3;45.1;14.9;12.5;2.1;31;20;42;110;36;312;76.8;23.2
01109;13.6;26.6;29.8;10.8;19.3;0;50;35;69;77;28;231;67.2;32.8
01110;0;0;100;0;0;0;0;0;0;5;0;9;56.1;43.9
01111;100;0;0;0;0;0;0;15;0;0;0;3;100;0
01112;8.5;27.8;17.7;20.8;16.8;8.5;18;9;30;19;23;93;76;24
01113;3.5;7.1;14.5;36.2;14.1;24.6;20;5;10;21;51;136;55.5;44.5
01114;5.1;21.4;26.5;34.8;2.7;9.6;6;11;44;55;72;196;84.2;15.8
01115;2;21.6;18.2;35.4;16.7;6.1;41;5;53;45;87;247;75.9;24.1
01116;0;25.2;50.2;24.6;0;0;0;0;5;10;5;48;62.4;37.6
01117;0;25;25;0;50;0;10;0;5;5;0;10;10;90
01118;5.6;15.5;40.1;21.4;11.1;6.3;35;18;49;128;68;292;83.9;16.1
01121;0;24.2;0;75.8;0;0;0;0;3;0;10;20;65.4;34.6
01123;5.2;23.8;18.3;39.2;5.4;8.2;10;10;46;35;75;191;82.4;17.6
01124;9;9;9.1;18.3;45.6;9;24;5;5;5;10;56;56.4;43.6
01125;4.9;28.2;14.8;35.8;12.2;4.1;15;6;35;18;44;106;82.9;17.1
01127;0;0;0;50;50;0;5;0;0;0;5;29;37.9;62.1
01128;0;10.1;9.9;50.9;18.7;10.4;9;0;5;5;25;65;81.6;18.4
01129;0;14.5;48.3;8;14.5;14.5;5;0;5;15;3;27;55.5;44.5
01130;10.3;29.8;15.8;24.5;11.8;7.7;46;40;117;62;96;449;81.9;18.1
01133;0;20.7;39.2;0;40.1;0;10;0;5;10;0;23;39;61
01134;6.2;17;20.6;40.4;14.9;1;74;31;84;102;200;507;85.5;14.5
01135;10.5;16.7;31.2;22.1;18.3;1.1;87;50;79;148;104;395;80.8;19.2
01136;0;18.1;45.8;9;27.1;0;15;0;10;25;5;51;57.1;42.9
01138;13;23.7;18.2;40.7;4.3;0;70;211;386;297;662;1612;91.8;8.2
01139;3.8;15.3;19.1;30.8;11.4;19.6;15;5;20;25;41;91;56.7;43.3
01140;4;16;32;32;8;7.9;10;5;20;40;40;111;75.5;24.5
01141;0;0;49.5;0;50.5;0;10;0;0;10;0;21;52.1;47.9
01142;13.5;30;21.7;29.4;5.3;0;145;366;813;589;797;2629;90.7;9.3
01143;15.7;19.4;43.3;10.5;10.9;0.2;235;338;417;931;225;2257;80.2;19.8
01145;6.2;17.2;12.4;30;24.7;9.5;40;10;28;20;49;163;59.8;40.2
01146;0;19.8;20.1;0;20.1;40.1;5;0;5;5;0;25;60.2;39.8
01147;0;6.7;26.4;20;26.9;20;20;0;5;20;15;75;55.5;44.5
01148;3;21.9;20.9;34.8;19.4;0;65;10;74;70;117;287;73.6;26.4
01149;9.4;9.4;33.8;19.1;28.4;0;15;5;5;17;10;50;70.8;29.2
01150;0;0;17.1;49.7;0;33.2;0;0;0;5;15;31;58.1;41.9
01151;9.7;34.9;40;10.4;5;0;5;10;35;40;10;93;67.4;32.6
01152;8.1;24.3;36.4;15.6;7.7;7.9;5;5;15;23;10;75;60.5;39.5
01153;13;25;30.9;21.9;2.3;6.9;5;28;55;67;48;191;77;23
01155;0;19.4;20;20;20.3;20.3;5;0;5;5;5;21;47.6;52.4
01156;5.2;15.6;5.1;48.1;15.4;10.5;15;5;15;5;46;107;80.3;19.7
01157;9.6;21;22.4;29.4;16.8;0.9;96;55;121;129;169;563;72.8;27.2
01158;33.1;16.7;17.1;16.5;16.5;0;5;10;5;5;5;40;70.2;29.8
01159;7.5;21.1;18.9;44.1;5.8;2.5;94;122;342;306;713;1563;88.6;11.4
01160;17.1;25.5;38.6;13.8;5;0;185;634;945;1430;512;3569;87.6;12.4
01162;0;0;0;50.2;0;49.8;0;0;0;0;10;14;56.9;43.1
01163;2.3;14.5;18.5;32.3;27.8;4.6;61;5;32;41;71;276;62.6;37.4
01165;8.5;11.2;25.4;34.9;11.5;8.5;21;15;20;46;62;147;69.7;30.3
01166;9.2;24;29.4;23.4;14;0;46;30;79;97;77;347;74.7;25.3
01167;23.2;8.4;15.5;22;7.7;23.2;5;15;5;10;14;54;79.5;20.5
01169;0;21.9;22.5;33.1;11.3;11.3;5;0;10;10;15;49;65.1;34.9
01170;11.1;15.6;19.3;46.7;4.8;2.4;10;23;32;40;97;182;86.9;13.1
01171;0;21.6;16.9;42.5;19;0;18;0;20;16;40;114;81;19
01173;13.8;21.7;35.5;16.8;12;0.2;354;407;642;1049;495;2841;85.1;14.9
01174;6.6;28.9;21.3;7.1;28.9;7.2;20;5;20;15;5;37;55.3;44.7
01175;8.2;10.9;16.2;51.4;13.3;0;25;15;21;31;97;169;83.7;16.3
01177;0;0;0;50;50;0;5;0;0;0;5;9;33;67
