dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-15T10:29:51.000Z|2A004|D1106|CDI|E|BOULANGERIE CAVIGLIOLI|Mensuel de 1555,00 Euros à 1555,00 Euros sur 12 mois|Temps plein||5|10|20560|2A004|
2021-03-12T18:07:10.000Z|2A004|N4105|CDI|D||Mensuel de 1725,00 Euros sur 13 mois|Temps plein||5|46|11999|2A004|
2021-03-12T14:01:54.000Z|2A004|A1203|DDI|D||Horaire de 10,25 Euros sur 12 mois|Temps partiel||5|88|17480|2A004|
2021-03-12T13:59:48.000Z|2A004|M1604|CDD|D||Mensuel de 1750,00 Euros à 1800,00 Euros sur 14 mois|Temps plein||6|84|11227|2A004|
2021-03-11T10:34:48.000Z|2A004|G1703|CDD|E|LE WEEK END||Temps plein||6|55|18325|2A004|
2021-03-10T14:33:12.000Z|2A004|M1607|CDD|D||Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|94|11183|2A004|
2021-03-10T10:53:46.000Z|2A004|G1801|CDD|D|BAR DU MARCHE|Mensuel de 1750,06 Euros sur 12 mois|Temps plein||4|56|19426|2A004|
2021-03-10T10:39:40.000Z|2A004|D1214|CDD|E|GIE FACETTES|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|70|20605|2A004|
2021-03-10T10:08:42.000Z|2A004|N4105|CDI|D|CHEZ FRANCINE|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||1|56|16206|2A004|
2021-03-09T14:04:53.000Z|2A004|N1103|CDD|E|www.mr-bricolage.com|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|47|14809|2A004|
2021-03-09T12:02:29.000Z|2A004|H1404|SAI|D||Mensuel de 1600,00 Euros sur 12 mois|Temps plein||5|46|10552|2A004|
2021-03-06T07:02:47.000Z|2A004|J1303|CDI|D|||Temps plein||||11265|2A004|
2021-03-05T15:30:11.000Z|2A004|K1304|CDI|D|A2MICILE|Horaire de 10,25 Euros sur 12 mois|Temps partiel||6|88|10805|2A004|
2021-03-05T12:07:08.000Z|2A004|D1505|CDD|D|GROUPE ALTERNANCE AJACCIO|Mensuel de 856,00 Euros à 1555,00 Euros sur 12 mois|Temps plein||5|85|15487|2A004|
2021-03-05T11:55:16.000Z|2A004|G1501|CDD|D|HOTEL CAMPO DELL'ORO|Mensuel de 1732,25 Euros|Temps plein||5|55|20500|2A004|
2021-03-05T11:37:01.000Z|2A004|D1214|CDD|D|GROUPE ALTERNANCE AJACCIO|Mensuel de 856,00 Euros à 1555,00 Euros sur 12 mois|Temps plein||5|85|20566|2A004|
2021-03-05T11:24:52.000Z|2A004|N4105|CDD|E|G O TRANSPORTS|Mensuel de 1776,66 Euros sur 12 mois|Temps plein||3|49|11999|2A004|
2021-03-05T11:22:54.000Z|2A004|D1106|CDD|D|GROUPE ALTERNANCE AJACCIO|Mensuel de 856,00 Euros à 1555,00 Euros sur 12 mois|Temps plein||5|85|20560|2A004|
2021-03-05T10:08:53.000Z|2A004|M1604|CDD|E|AGENCE DE L ENVIRONNEMENT ET DE LA MAITR||Temps plein||6|84|11227|2A004|
2021-03-04T17:04:28.000Z|2A004|K1801|CDD|E|pôle emploi - DR Corse|Annuel de 26200,00 Euros|Temps plein||6|84|13389|2A004|
2021-03-03T16:28:43.000Z|2A004|N1105|MIS|D|LMDC|Horaire de 10,25 Euros sur 12 mois|Temps partiel||1|78|16361|2A004|
2021-03-03T12:03:27.000Z|2A004|D1212|CDI|D|SOCODI|Mensuel de 1581,00 Euros à 2800,00 Euros sur 12 mois|Temps plein||6|47|20629|2A004|
2021-03-03T10:39:40.000Z|2A004|D1106|CDI|E||Mensuel de 1077,00 Euros sur 12 mois|Temps partiel||5|70|20560|2A004|
2021-03-02T11:54:55.000Z|2A004|J1301|CDD|D|A SERENITA|Mensuel de 1700,00 Euros à 1850,00 Euros sur 12 mois|Temps plein||5|94|10698|2A004|
2021-03-02T11:03:02.000Z|2A004|D1106|CDD|E|L'ARBRE A PAIN BASTELICACCIA|Mensuel de 1555,00 Euros à 1555,00 Euros sur 12 mois|Temps plein||5|10|20560|2A004|
2021-03-02T11:01:15.000Z|2A004|D1106|CDD|E|L'ARBRE A PAIN BASTELICACCIA|Horaire de 10,25 Euros à 10,25 Euros sur 12 mois|Temps partiel||5|10|20560|2A004|
2021-03-02T06:08:12.000Z|2A004|M1203|CDI|D|COGEP||Temps plein||||11213|2A004|
2021-03-01T15:04:22.000Z|2A004|K1304|CDI|D|PER ELLI SEMPRE A FIANCA A VOI|Mensuel de 1555 Euros sur 12 mois|Temps plein||5|88|10805|2A004|
2021-03-01T12:00:59.000Z|2A004|D1209|CDD|E|mr-bricolage|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|47|20589|2A004|
2021-03-01T10:10:39.000Z|2A004|G1703|CDD|E||Mensuel de 1600,00 Euros à 1700,00 Euros sur 12 mois|Temps plein||6|55|18325|2A004|
2021-03-01T10:07:35.000Z|2A004|G1501|CDD|E||Mensuel de 1600,00 Euros sur 12 mois|Temps plein||6|55|20500|2A004|
2021-02-26T16:14:54.000Z|2A004|E1101|CDD|D|ALTERNANCE AUVERGNE|Mensuel de 1554,58 Euros à 1554,58 Euros sur 12 mois|Temps plein||5|85|38383|2A004|
2021-02-26T15:35:03.000Z|2A004|E1101|CDD|D|GROUPE ALTERNANCE AJACCIO|Mensuel de 1554,58 Euros à 1554,58 Euros sur 12 mois|Temps plein||5|85|38383|2A004|
2021-02-26T15:21:44.000Z|2A004|D1214|CDD|D|GROUPE ALTERNANCE AJACCIO|Mensuel de 1554,58 Euros à 1554,58 Euros sur 12 mois|Temps plein||5|85|20613|2A004|
2021-02-26T15:12:16.000Z|2A004|D1212|CDD|D|GROUPE ALTERNANCE AJACCIO|Mensuel de 1554,58 Euros à 1554,58 Euros sur 12 mois|Temps plein||5|85|20629|2A004|
2021-02-26T12:03:46.000Z|2A004|D1507|CDD|D|GROUPE ALTERNANCE AJACCIO|Mensuel de 1554,58 Euros à 1554,58 Euros sur 12 mois|Temps plein||5|85|14778|2A004|
2021-02-26T11:09:48.000Z|2A004|D1507|CDD|D|GROUPE ALTERNANCE AJACCIO|Mensuel de 1554,58 Euros à 1554,58 Euros sur 12 mois|Temps plein||5|85|14778|2A004|
2021-02-25T14:13:51.000Z|2A004|G1501|SAI|E|CALA DI SOLE|Mensuel de 1733,00 Euros sur 12 mois|Temps plein||5|55|20500|2A004|
2021-02-25T10:17:02.000Z|2A004|K1801|CDI|E|SNC ACTUAL MEZZAVIA 379|Mensuel de 1700,00 Euros à 1900,00 Euros sur 12 mois|Temps plein||6|78|13436|2A004|
2021-02-23T11:25:19.000Z|2A004|M1203|CDD|E|A. LUCIANI|Mensuel de 1666,76 Euros sur 12 mois|Temps plein||5|46|11213|2A004|
2021-02-23T11:02:09.000Z|2A004|K1303|CDD|E|MNH SERVICES A L'ENFANCE|Mensuel de 888,33 Euros sur 12 mois|Temps partiel||6|88|11180|2A004|
