dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-16T09:51:40.000Z|2A247|G1703|SAI|E|Golden Tulip Porto-Vecchio|Mensuel de 1794,00 Euros à 1794,00 Euros sur 12 mois|Temps plein||6|55|18325|2A247|
2021-03-15T12:00:38.000Z|2A247|D1214|SAI|E|Boutique CLEMENTE|Mensuel de 1950,00 Euros sur 12 mois|Temps plein||6|47|20613|2A247|
2021-03-15T09:33:40.000Z|2A247|A1203|SAI|E|||Temps plein||1|55|17480|2A247|
2021-03-15T09:07:39.000Z|2A247|D1211|CDD|D|INTERSPORT|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|47|20552|2A247|
2021-03-15T09:04:21.000Z|2A247|D1214|CDD|D|INTERSPORT|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|47|20566|2A247|
2021-03-15T08:58:57.000Z|2A247|D1505|CDD|D|INTERSPORT|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|47|15487|2A247|
2021-03-15T07:06:59.000Z|2A247|J1303|CDI|D|||Temps plein||||11265|2A247|
2021-03-12T16:23:54.000Z|2A247|G1501|SAI|E|HÔTEL MARIOSA|Mensuel de 1777,00 Euros sur 12 mois|Temps plein||5|55|20500|2A247|
2021-03-12T15:39:48.000Z|2A247|N4105|SAI|E|Blanchisserie PICCIOCCHI|Mensuel de 1684,72 Euros sur 12 mois|Temps plein||5|96|11999|2A247|
2021-03-11T15:07:47.000Z|2A247|G1605|SAI|E|PAVIDDONU||Temps plein||3|55|17846|2A247|
2021-03-11T15:05:34.000Z|2A247|I1203|SAI|E|PAVIDDONU||Temps plein||3|55|15058|2A247|
2021-03-11T13:24:23.000Z|2A247|M1601|SAI|D|AZTECH MARINE|Mensuel de 1589,02 Euros sur 12 mois|Temps plein||5|33||2A247|
2021-03-11T13:24:12.000Z|2A247|D1505|CDD|D|SUPER U Sainte-Lucie|Mensuel de 1632,31 Euros sur 12 mois|Temps plein||5|47|15487|2A247|
2021-03-11T12:18:28.000Z|2A247|M1608|CDI|E|HÔTEL MARIOSA|Mensuel de 2302,00 Euros sur 12 mois|Temps plein||6|55|19370|2A247|
2021-03-11T10:17:36.000Z|2A247|K1304|CDI|E|SUD CORSE DOMICILE|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|94|10805|2A247|
2021-03-10T20:04:22.000Z|2A247|M1601|SAI|E|AZTECH MARINE|Mensuel de 1589,02 Euros sur 12 mois|Temps plein||6|33||2A247|
2021-03-10T14:56:57.000Z|2A247|D1212|CDI|E|CUISINE PASSION Porto-Vecchio|Mensuel de 1732,25 Euros sur 12 mois|Temps plein||6|70|20579|2A247|
2021-03-10T13:57:07.000Z|2A247|G1703|SAI|E|MARINA DI SANTA GIULIA|Mensuel de 2078,00 Euros sur 12 mois|Temps plein||6|55|18325|2A247|
2021-03-10T11:52:12.000Z|2A247|I1203|SAI|E|Camping U Pirellu|Mensuel de 1819,00 Euros sur 12 mois|Temps plein||3|55|15058|2A247|
2021-03-09T18:15:25.000Z|2A247|G1501|CDD|D|MARANATHA PORTO VECCHIO|Mensuel de 1600,00 Euros à 1700,00 Euros sur 12 mois|Temps plein||5|55||2A247|
2021-03-09T17:09:44.000Z|2A247|D1212|CDD|D|LA FOIR FOUILLE|Mensuel de 1555,00 Euros sur 12 mois|Temps plein||5|47|20579|2A247|
2021-03-09T15:39:08.000Z|2A247|N1103|CDI|E|S.A.S PIETRI AUTOMOBILES|Mensuel de 1923,00 Euros sur 12 mois|Temps plein||6|45|16276|2A247|
