dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-11T10:58:49.000Z|2B096|D1104|CDI|E|JOBXPERT|Annuel de 25000,00 Euros à 30000,00 Euros sur 12 mois|Temps plein||4|78|12631|2B096|
2021-03-15T14:50:55.000Z|2B096|J1307|CDI|E|||Temps plein||||18027|2B096|
2021-03-15T05:06:08.000Z|2B096|C1102|CDI|E|||Temps plein||7|||2B096|
2021-03-12T03:02:43.000Z|2B096|G1503|CDI|D|||Temps plein|||||2B096|
2021-03-07T10:48:43.000Z|2B096|G1804|CDI|D|||Temps plein||||12602|2B096|
2021-03-04T08:49:50.000Z|2B096|M1302|FRA|D|ELYSEE CONCEPT||Temps plein||9|70||2B096|
2021-03-02T05:00:38.000Z|2B096|C1102|CDI|E|R.a.s Intérim||Temps plein||7|||2B096|
2021-03-01T15:12:41.000Z|2B096|A1407|CDD|D||Mensuel de 1560,00 Euros à 1600,00 Euros sur 12 mois|Temps partiel||1|78|17389|2B096|
2021-03-01T13:55:51.000Z|2B096|K1404|CDD|E|QUALITAIR CORSE|Mensuel de 2300,00 Euros sur 12 mois|Temps plein||6|71|11827|2B096|
2021-02-25T08:04:08.000Z|2B096|D1105|CDI|D|||Temps plein||||17862|2B096|
2021-02-24T10:56:08.000Z|2B096|L1302|CDD|E|504 PRODUCTIONS|Horaire de 10,25 Euros sur 12 mois|Temps plein||9|59|10306|2B096|
2021-02-22T16:38:38.000Z|2B096|D1403|CCE|D|"ACR MEDIA"||Temps plein||5|61|12738|2B096|
2021-02-18T09:44:58.000Z|2B096|J1202|CDI|E|||Temps plein||||17676|2B096|
2021-02-17T11:48:05.000Z|2B096|M1703|CDI|E|Manon||Temps plein||||15865|2B096|
2021-02-15T16:12:42.000Z|2B096|D1103|CDI|D|||Temps plein||||11741|2B096|
2021-01-30T02:53:36.000Z|2B096|A1412|CDI|D|||Temps plein||||15170|2B096|
2021-01-20T03:01:11.000Z|2B096|D1102|CDI|D|||Temps plein||||11573|2B096|
2020-12-30T10:32:44.000Z|2B096|B1601|CDD|E|ALBERTINI ETIENNE|Mensuel de 1800,00 Euros sur 12 mois|Temps plein||3|43||2B096|
2021-03-12T03:03:08.000Z|2B096|D1104|CDI|D|||Temps plein||||17576|2B096|
2021-03-10T10:46:01.000Z|2B096|G1602|CDD|E|CASANOVA 1887|Mensuel de 2080,00 Euros à 2850,00 Euros sur 12 mois|Temps plein||6|10|13861|2B096|
2021-02-25T06:02:51.000Z|2B096|G1602|CDI|D|||Temps plein||||13861|2B096|
2021-02-19T04:02:49.000Z|2B096|D1101|CDI|D|||Temps plein||||11564|2B096|
2021-02-15T16:11:15.000Z|2B096|D1104|CDI|D|||Temps plein||||12592|2B096|
2021-03-03T12:17:56.000Z|2B096|C1504|LIB|D|SAFTI||Temps plein||5|46|13464|2B096|
2021-02-17T02:55:05.000Z|2B096|J1506|CDI|D|||Temps plein||||15545|2B096|
2021-02-05T08:32:23.000Z|2B096|J1506|CDI|D|U SERENU 2|Mensuel de 2600,00 Euros à 2900,00 Euros sur 12 mois|Temps plein||6|87|38222|2B096|
2021-01-07T04:53:07.000Z|2B096|C1504|LIB|D|||Temps plein||||10362|2B096|
