dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-12T10:54:29.000Z|2B120|K1303|CDD|D|SOL.ID'R SOLUTIONS IDEES REACTIVITE|Mensuel de 1556,00 Euros à 1557,00 Euros sur 12 mois|Temps plein||5|82|38633|2B120|
2021-02-01T11:58:25.000Z|2B120|G1605|SAI|E|VILLAGE VACANCES - IGESA LA MARANA|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||5|55|17846|2B120|
2021-03-16T11:05:29.000Z|2B120|K1201|CDD|D|LE FOYER DE FURIANI|Mensuel de 1900 Euros sur 12 mois|Temps plein||6|87|11335|2B120|
2021-03-10T12:32:15.000Z|2B120|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|2B120|
2021-03-09T14:18:48.000Z|2B120|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|2B120|
2021-02-25T14:40:31.000Z|2B120|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|2B120|
2021-02-22T09:24:46.000Z|2B120|G1602|CDD|E||Mensuel de 605,28 Euros à 618,80 Euros sur 12 mois|Temps partiel||6|68|13863|2B120|
2021-02-01T12:04:40.000Z|2B120|G1803|SAI|E|VILLAGE VACANCES - IGESA LA MARANA|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||5|55|19430|2B120|
2021-02-01T12:01:35.000Z|2B120|G1801|SAI|D|VILLAGE VACANCES - IGESA LA MARANA|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||5|55|11494|2B120|
2021-02-01T11:16:02.000Z|2B120|G1602|SAI|E|VILLAGE VACANCES - IGESA LA MARANA |Mensuel de 1554,58 Euros sur 12 mois|Temps plein||5|55|12756|2B120|
2021-03-15T09:32:29.000Z|2B120|D1402|CDI|E|SARL POLYMAT|Mensuel de 1600,00 Euros sur 12 mois|Temps plein||6|46||2B120|
2021-03-10T14:11:25.000Z|2B120|I1606|CDD|E|EXPL CAR WASH||Temps plein||6|45|11698|2B120|
2021-03-09T13:48:43.000Z|2B120|F1704|CDI|D|E.M.A|Mensuel de 1761,00 Euros sur 12 mois|Temps plein||1|43|16351|2B120|
