dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2020-12-10T03:02:14.000Z|57412|K1207|CDD|D|||Temps plein||||16740|57412|
2021-03-12T16:45:03.000Z|57412|K1304|CDI|D|JUNIOR SENIOR|Horaire de 10,4 Euros à 12,87 Euros sur 12 mois|Temps partiel||6|88|10857|57412|
2021-03-07T19:13:04.000Z|57412|F1108|CDI|E|R. FLUCKLINGER|Mensuel de 2500,00 Euros à 3000,00 Euros sur 12 mois|Temps plein||7|43|16653|57412|
2021-03-06T10:11:30.000Z|57412|H2209|CDI|E|R. FLUCKLINGER|Horaire de 14,00 Euros à 16,00 Euros sur 12 mois|Temps plein||3|43||57412|
2021-03-06T09:32:47.000Z|57412|H2209|CDI|E|R. FLUCKLINGER|Mensuel de 2500,00 Euros à 3500,00 Euros sur 12 mois|Temps plein||7|43|14043|57412|
2021-03-06T09:31:53.000Z|57412|H1203|CDI|E|R. FLUCKLINGER|Mensuel de 2500,00 Euros à 3500,00 Euros sur 12 mois|Temps plein||7|43|14069|57412|
2021-03-12T16:26:18.000Z|57412|K1302|CDI|D|JUNIOR SENIOR|Horaire de 10,4 Euros à 12,87 Euros sur 12 mois|Temps partiel||6|88|11453|57412|
2021-03-06T09:35:21.000Z|57412|F1106|CDI|E|R. FLUCKLINGER|Mensuel de 3000,00 Euros à 3500,00 Euros sur 12 mois|Temps plein||9|43||57412|
2021-03-06T10:56:40.000Z|57412|M1202|CDI|E|Adsearch Strasbourg|Annuel de 25000,00 Euros ï¿½ 32000,00 Euros|Temps plein||8|69||57412|
2021-03-14T13:16:06.000Z|57412|I1308|MIS|E|Agence Face Job Intérim de Metz|Horaire de 11,00 Euros ï¿½ 13,00 Euros|Temps plein||3|78|19837|57412|
2021-03-06T09:57:07.000Z|57412|H2206|CDI|E|R. FLUCKLINGER|Horaire de 11,00 Euros à 14,00 Euros sur 12 mois|Temps plein||3|43||57412|
