dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-12T07:58:22.000Z|91665|N1103|CDD|D|||Temps plein||5|47||91665|
2021-02-18T15:50:42.000Z|91665|G1501|CDI|E|HOTEL PREMIERE CLASSE|Horaire de 10,66 Euros|Temps partiel||5|55|20500|91665|
2021-02-18T06:00:03.000Z|91665|D1505|CDD|D|||Temps plein||5|47|15487|91665|
2021-02-05T02:48:03.000Z|91665|D1507|CDD|D|||Temps plein||||38097|91665|
2021-02-03T06:45:12.000Z|91665|D1505|CDD|D|||Temps plein||5|47|15487|91665|
2021-02-03T06:45:07.000Z|91665|D1507|CDD|D|||Temps plein||5|47|38097|91665|
2021-03-04T16:18:52.000Z|91665|J1304|CDD|D|CALINS MATINS|Mensuel de 1555,00 Euros à 1800,00 Euros sur 12 mois|Temps plein||6|64|11448|91665|
2021-03-11T13:43:23.000Z|91665|K1302|CDI|E|ONELA Savigny sur Orge|Horaire de 10,15 Euros|Temps partiel||||11255|91665|
2021-03-10T09:45:41.000Z|91665|I1607|CDI|E|AZZURRO|Annuel de 21000,00 Euros à 24000,00 Euros sur 12 mois|Temps plein||7|45|16515|91665|
2021-03-07T09:14:09.000Z|91665|G1601|CDI|D|||Temps plein||||12110|91665|
2021-03-04T10:24:40.000Z|91665|H2206|CDI|E|L'ARTISAN DE LA RENOVATION|Mensuel de 1800,00 Euros à 2000,00 Euros sur 12 mois|Temps plein||2|43|16611|91665|
2021-02-24T15:23:58.000Z|91665|K2107|CDD|D|JEDEON|Horaire de 14 Euros à 20 Euros sur 12 mois|Temps partiel||6|85|38345|91665|
2021-02-18T15:53:36.000Z|91665|G1703|CDI|E|HOTEL PREMIERE CLASSE|Horaire de 10,66 Euros sur 12 mois|Temps partiel||5|55|18321|91665|
2021-02-12T10:41:22.000Z|91665|K1304|CDD|D|Particulier Employeur||Temps plein|||97|10857|91665|
2021-02-11T02:59:27.000Z|91665|D1505|CDD|D|||Temps plein||||11640|91665|
2021-01-14T04:46:10.000Z|91665|K1104|CDI|E|||Temps plein|||70|38675|91665|
2021-03-02T16:48:50.000Z|91665|F1607|CDI|E||Mensuel de 3000 Euros sur 12 mois|Temps plein||4|43|16626|91665|
2020-11-24T15:53:44.000Z|91665|N4101|CDI|E|OMEGA INTERIM IDF|Mensuel de 1900,00 Euros à 2800,00 Euros sur 12 mois|Temps plein||6|78|11989|91665|
2021-03-04T15:02:55.000Z|91665|K2107|CDD|D|Complétude|Horaire de 18,68 Euros ï¿½ 23,68 Euros|Temps plein||5|85|18109|91665|
