libcom_source;Nombre d’habitants de la commune;Mise en commun d'agents de police municipale entre communes;nb_agents de police municipale;nb_ASVP;Nombre de gardes-champêtres;Nombre de maîtres chiens de police municipale;Nombre de chiens de patrouille de police municipale;Nombre de communes ou EPCI doté(e)s d’une brigade canine;DEP;INSEE_COM
Ambérieu en Bugey;14586.0;1;8;0;0;0;0;0;01;01004
Ambérieux en Dombes;1792.0;0;0;0;1;0;0;0;01;01005
Ambronay;2915.0;0;0;1;0;0;0;0;01;01007
Anglefort;1130.0;0;0;1;0;0;0;0;01;01010
Arbent;3367.0;0;3;0;0;0;0;0;01;01014
Attignat;3300.0;0;1;0;0;0;0;0;01;01024
Bage dommartin;4171.0;0;1;0;0;0;0;0;01;01025
Balan;2615.0;0;1;0;0;0;0;0;01;01027
Belley;9520.0;0;5;2;0;0;0;0;01;01034
Bellignat;3800.0;0;3;0;0;0;0;0;01;01031
Beynost;4800.0;1;4;1;0;0;0;0;01;01043
Biziat;903.0;0;0;0;1;0;0;0;01;01046
BOURG EN BRESSE;41527.0;1;26;9;0;3;3;1;01;01053
Cerdon;790.0;0;0;0;1;0;0;0;01;01068
Cessy;4808.0;1;3;0;0;0;0;0;01;01071
Ceyzériat;3200.0;0;1;0;0;0;0;0;01;01072
Chalamont;2484.0;0;0;1;0;0;0;0;01;01074
Châtillon sur chalaronne;5200.0;0;3;1;0;0;0;0;01;01093
Civrieux;1882.0;0;0;0;1;0;0;0;01;01105
Coligny;1200.0;0;1;0;0;0;0;0;01;01108
Collonges;6200.0;1;2;0;0;0;0;0;01;01109
Culoz;3068.0;0;2;0;0;0;0;0;01;01138
Dagneux;4834.0;0;1;0;0;0;0;0;01;01142
Divonne les Bains;10190.0;1;9;0;0;0;0;0;01;01143
Dortan;1905.0;0;1;0;0;0;0;0;01;01148
Ferney Voltaire;10026.0;0;6;2;0;0;0;0;01;01160
Gex;13391.0;0;7;1;0;1;1;1;01;01173
Groissiat;1291.0;0;0;0;1;0;0;0;01;01181
Jassans Riottier;6458.0;0;4;1;0;0;0;0;01;01194
La boisse;3200.0;1;1;0;0;0;0;0;01;01049
Lagnieu;7404.0;0;0;1;1;0;0;0;01;01202
